序号,单位,业务范围,证书编号,类别
1.0,廊坊市继方工程设计咨询有限公司,建筑工程,039001-SⅠ,一类
2.0,香河光祖工程设计咨询有限公司,建筑工程,039002-SⅡ,二类
3.0,廊坊市信德工程设计咨询有限公司,市政工程（给水、排水、道路、桥隧）,039003-SⅡ,二类
4.0,三河世飞建筑工程设计审图有限公司,建筑工程,039004-SⅡ,二类
5.0,河北晓玲工程设计咨询有限公司,建筑工程,039005-SⅠ,一类
6.0,河北晓玲工程设计咨询有限公司,市政工程（热力、园林、给水、排水、道路、桥隧）,039005-SⅡ,二类
7.0,石家庄刘颖工程设计咨询有限公司,建筑工程,039006-SⅠ,一类
8.0,石家庄刘颖工程设计咨询有限公司,市政工程（道路、桥隧、给水、排水）,039006-SⅡ,二类
9.0,承德市丰泰施工图设计审查有限公司,建筑工程,039007-SⅡ,二类
10.0,秦皇岛市聪良工程设计咨询有限公司,建筑工程,039008-SⅡ,二类
11.0,沧州华油和玢工程设计咨询有限公司,建筑工程,039009-SⅡ,二类
12.0,邯郸市安泰岩土工程咨询有限公司,工程勘察（岩土）,039010-SⅡ,二类
13.0,邯郸市奇斌工程设计咨询有限公司,市政工程（燃气、热力、给水、排水、道路、桥隧）,039011-SⅡ,二类
14.0,邯郸市国宁工程设计咨询有限公司,建筑工程,030002-SⅠ,一类
15.0,廊坊市百通工程设计咨询有限公司,建筑工程,030005-SⅠ,一类
16.0,河北荣丰工程设计咨询事务所,建筑工程,030006-SⅠ,一类
17.0,河北荣丰工程设计咨询事务所,市政工程（燃气、热力、园林、环卫、给水、排水、道路、桥隧）,030006-SⅡ,二类
18.0,河北贺宸工程设计咨询事务所,超限高层建筑工程；建筑工程、市政工程（燃气、热力）,030008-SⅠ,一类
19.0,河北贺宸工程设计咨询事务所,市政工程（园林）,030008-SⅡ,二类
20.0,邯郸市国运工程设计咨询有限公司,建筑工程,030020-SⅡ,二类
21.0,河北玉民工程设计咨询事务所有限公司,超限高层建筑工程；建筑工程,030102-SⅠ,一类
22.0,河北玉民工程设计咨询事务所有限公司,市政工程（热力、给水、排水）,030102-SⅡ,二类
23.0,石家庄尚德建筑工程设计咨询事务所,建筑工程,030104-SⅠ,一类
24.0,石家庄尚德建筑工程设计咨询事务所,市政工程（热力、给水、排水）,030104-SⅡ,二类
25.0,张家口市维佳工程设计咨询有限公司,建筑工程,030105-SⅠ,一类
26.0,张家口市维佳工程设计咨询有限公司,市政工程（给水、排水）,030105-SⅡ,二类
27.0,唐山庆森工程设计咨询事务所,建筑工程,030106-SⅠ,一类
28.0,唐山庆森工程设计咨询事务所,市政工程（燃气、热力）,030106-SⅡ,二类
29.0,邯郸市国安工程设计咨询事务所有限公司,建筑工程,030107-SⅡ,二类
30.0,保定全祥工程设计咨询事务所,建筑工程,030108-SⅠ,一类
31.0,保定全祥工程设计咨询事务所,市政工程（热力、园林、给水、排水、道路、桥隧）,030108-SⅡ,二类
32.0,秦皇岛永祥工程设计咨询事务所有限公司,建筑工程,030109-SⅠ,一类
33.0,邢台市占增工程设计咨询事务所,建筑工程,030117-SⅠ,一类
34.0,保定文泉工程设计咨询有限公司,建筑工程,031106-SⅠ,一类
35.0,衡水向阳工程勘察设计咨询服务有限公司,建筑工程,031108-SⅡ,二类
36.0,承德秀峰工程设计咨询有限责任公司,建筑工程,031113-SⅡ,二类
37.0,廊坊市王荣霄工程设计咨询事务有限公司,建筑工程,030015-SⅡ,二类
38.0,河北博实工程设计咨询有限公司,建筑工程（限人防工程）,031138-SⅡ,二类
39.0,张家口市卫红工程设计咨询事务所有限责任公司,建筑工程,031165-SⅡ,二类
40.0,唐山幼坡工程设计咨询事务所,建筑工程,031170-SⅠ,一类
41.0,秦皇岛市永生建设工程咨询有限公司,建筑工程,032377-SⅠ,一类
42.0,衡水国震工程设计咨询有限公司,建筑工程,033053-SⅡ,二类
43.0,沧州文勇工程设计咨询有限公司,建筑工程、市政工程（道路、桥隧）,033203-SⅡ,二类
44.0,沧州方圆工程设计咨询有限公司,建筑工程、市政工程（道路、桥隧）,033213-SⅡ,二类
,建 筑 工 程 施 工 图 审 查 专 用 章                                            (有效期至：2006年4月30日),,,
,单    位：,,,
,审查范围：,,,
,类    别：        证书号：,,,
,河 北  省  建  设  厅  监 制,,,
