第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-项目,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-项目.1,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目.1,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目.2,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目.3,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目.4,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目.5,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-加减分值,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-加减分值.1
Ⅰ,安,1,保护用具未正确穿戴，乱扔旧保护具,保护用具未正确穿戴，乱扔旧保护具,保护用具未正确穿戴，乱扔旧保护具,保护用具未正确穿戴，乱扔旧保护具,保护用具未正确穿戴，乱扔旧保护具,-2.0,
Ⅰ,安,2,不按规定走安全通道、横穿物流通道,不按规定走安全通道、横穿物流通道,不按规定走安全通道、横穿物流通道,不按规定走安全通道、横穿物流通道,不按规定走安全通道、横穿物流通道,-2.0,
Ⅰ,安,3,未在指定地点吸烟，不熄灭烟头,未在指定地点吸烟，不熄灭烟头,未在指定地点吸烟，不熄灭烟头,未在指定地点吸烟，不熄灭烟头,未在指定地点吸烟，不熄灭烟头,-2.0,
Ⅰ,安,4,未按标准作业造成个人或他人灾害,未按标准作业造成个人或他人灾害,未按标准作业造成个人或他人灾害,未按标准作业造成个人或他人灾害,未按标准作业造成个人或他人灾害,-10.0,
Ⅰ,安,5,设备异常时不及时上报造成伤害,设备异常时不及时上报造成伤害,设备异常时不及时上报造成伤害,设备异常时不及时上报造成伤害,设备异常时不及时上报造成伤害,-5.0,
Ⅰ,全,6,发现他人保护用具未正常穿戴并及时提醒,发现他人保护用具未正常穿戴并及时提醒,发现他人保护用具未正常穿戴并及时提醒,发现他人保护用具未正常穿戴并及时提醒,发现他人保护用具未正常穿戴并及时提醒,,2.0
Ⅰ,全,7,制止他人在非指定地点吸烟,制止他人在非指定地点吸烟,制止他人在非指定地点吸烟,制止他人在非指定地点吸烟,制止他人在非指定地点吸烟,,2.0
Ⅰ,全,8,发现设备异常易造成伤害并及时上报,发现设备异常易造成伤害并及时上报,发现设备异常易造成伤害并及时上报,发现设备异常易造成伤害并及时上报,发现设备异常易造成伤害并及时上报,,5.0
Ⅰ,全,9,发现安全隐患及时联络并加以改善（表彰或创意功夫）,发现安全隐患及时联络并加以改善（表彰或创意功夫）,发现安全隐患及时联络并加以改善（表彰或创意功夫）,发现安全隐患及时联络并加以改善（表彰或创意功夫）,发现安全隐患及时联络并加以改善（表彰或创意功夫）,,10.0
Ⅰ,全,10,保持工作场所4S，无火灾隐患,保持工作场所4S，无火灾隐患,保持工作场所4S，无火灾隐患,保持工作场所4S，无火灾隐患,保持工作场所4S，无火灾隐患,,5.0
