ZMID,DEH,ZMMC,DW,基价,RGF,CLF,JXF,QTF
1,1-1,台式及仪表机床 设备重量(0.3t以内),台,177.61,87.07,21.11,69.43,0
2,1-2,台式及仪表机床 设备重量(0.7t以内),台,434.95,223.92,137.78,73.25,0
3,1-3,台式及仪表机床 设备重量(1.5t以内),台,674.13,365.33,200.83,107.97,0
4,1-4,车床 设备重量(2.0t以内),台,791.96,449.81,234.18,107.97,0
5,1-5,车床 设备重量(3.0t以内),台,1003.24,570.53,290.03,142.68,0
6,1-6,车床 设备重量(5.0t以内),台,1368.89,796.8,394.69,177.4,0
7,1-7,车床 设备重量(7.0t以内),台,2702.48,1107.55,653.44,941.49,0
8,1-8,车床 设备重量(10t以内),台,4002.44,1837.44,1096.19,1068.81,0
9,1-9,车床 设备重量(15t以内),台,4714.74,2291.18,1144.59,1278.97,0
10,1-10,车床 设备重量(20t以内),台,6675.87,2644.56,3050.24,981.07,0
11,1-11,车床 设备重量(25t以内),台,9268.2,3083.23,4682.47,1502.5,0
12,1-12,车床 设备重量(35t以内),台,12296.39,4278.0,6204.86,1813.53,0
13,1-13,车床 设备重量(50t以内),台,15479.98,5772.82,7090.16,2617.0,0
14,1-14,车床 设备重量(70t以内),台,20687.54,8162.4,8309.12,4216.02,0
15,1-15,车床 设备重量(100t以内),台,24643.83,10742.88,9039.08,4861.87,0
16,1-16,车床 设备重量(150t以内),台,31121.8,15387.79,10222.58,5511.43,0
17,1-17,车床 设备重量(200t以内),台,37142.04,19863.84,10679.68,6598.52,0
18,1-18,车床 设备重量(250t以内),台,43001.98,24622.32,11407.18,6972.48,0
19,1-19,车床 设备重量(350t以内),台,55685.44,33952.85,12501.29,9231.3,0
20,1-20,车床 设备重量(450t以内),台,68364.75,43678.99,13752.74,10933.02,0
21,1-21,立式车床 设备重量(7t以内),台,2493.45,1443.79,420.65,629.01,0
22,1-22,立式车床 设备重量(10t以内),台,3085.92,1890.0,523.71,672.21,0
23,1-23,立式车床 设备重量(15t以内),台,4482.54,2691.6,988.08,802.86,0
24,1-24,立式车床 设备重量(20t以内),台,6350.45,3102.72,1829.26,1418.47,0
25,1-25,立式车床 设备重量(25t以内),台,6920.32,3565.68,1936.17,1418.47,0
26,1-26,立式车床 设备重量(35t以内),台,9489.6,4589.95,2180.45,2719.2,0
27,1-27,立式车床 设备重量(50t以内),台,12482.82,6591.55,2393.92,3497.35,0
28,1-28,立式车床 设备重量(70t以内),台,16738.09,9299.04,2431.84,5007.21,0
29,1-29,立式车床 设备重量(100t以内),台,20927.47,11853.22,3145.24,5929.01,0
30,1-30,立式车床 设备重量(150t以内),台,28491.54,17535.6,4230.84,6725.1,0
31,1-31,立式车床 设备重量(200t以内),台,35611.68,20419.58,7146.7,8045.4,0
32,1-32,立式车床 设备重量(250t以内),台,41473.03,24801.22,7802.09,8869.72,0
33,1-33,立式车床 设备重量(300t以内),台,48802.09,30011.47,8321.05,10469.57,0
34,1-34,立式车床 设备重量(400t以内),台,65028.31,39067.92,9621.46,16338.93,0
35,1-35,立式车床 设备重量(500t以内),台,80674.07,48014.78,12078.77,20580.52,0
36,1-36,立式车床 设备重量(600t以内),台,95410.89,57527.76,13018.46,24864.67,0
37,1-37,钻床 设备重量(1t以内),台,497.21,262.13,157.75,77.33,0
38,1-38,钻床 设备重量(2t以内),台,711.71,423.12,174.62,113.97,0
39,1-39,钻床 设备重量(3t以内),台,967.05,547.82,268.61,150.62,0
40,1-40,钻床 设备重量(5t以内),台,1194.76,686.45,321.05,187.26,0
41,1-41,钻床 设备重量(7t以内),台,2173.44,1015.54,528.89,629.01,0
42,1-42,钻床 设备重量(10t以内),台,3081.13,1701.55,707.37,672.21,0
43,1-43,钻床 设备重量(15t以内),台,4074.63,2157.36,1157.62,759.65,0
44,1-44,钻床 设备重量(20t以内),台,7136.58,2381.62,3532.38,1222.58,0
45,1-45,钻床 设备重量(25t以内),台,7689.65,2804.74,3619.13,1265.78,0
46,1-46,钻床 设备重量(30t以内),台,9629.59,3223.06,3734.57,2671.96,0
47,1-47,钻床 设备重量(35t以内),台,11152.22,3797.57,4635.45,2719.2,0
48,1-48,钻床 设备重量(40t以内),台,12292.28,4194.34,4686.99,3410.95,0
49,1-49,钻床 设备重量(50t以内),台,14364.64,5389.54,5477.75,3497.35,0
50,1-50,钻床 设备重量(60t以内),台,16940.13,6774.38,6001.52,4164.23,0
51,1-51,镗床 设备重量(3t以内),台,1100.57,690.82,259.13,150.62,0
52,1-52,镗床 设备重量(5t以内),台,1392.12,926.3,278.56,187.26,0
53,1-53,镗床 设备重量(7t以内),台,2845.32,1677.26,495.85,672.21,0
54,1-54,镗床 设备重量(10t以内),台,3709.76,2320.27,674.08,715.41,0
55,1-55,镗床 设备重量(15t以内),台,4647.28,2750.54,1093.88,802.86,0
56,1-56,镗床 设备重量(20t以内),台,6405.64,3315.07,1818.42,1272.15,0
57,1-57,镗床 设备重量(25t以内),台,7048.79,3819.07,1914.37,1315.35,0
58,1-58,镗床 设备重量(30t以内),台,8764.42,4316.26,2027.96,2420.2,0
59,1-59,镗床 设备重量(35t以内),台,9603.88,4915.06,2072.73,2616.09,0
60,1-60,镗床 设备重量(40t以内),台,11685.51,5783.57,2546.88,3355.06,0
61,1-61,镗床 设备重量(50t以内),台,13735.14,7020.62,3316.26,3398.26,0
62,1-62,镗床 设备重量(60t以内),台,16184.06,8196.67,3904.54,4082.85,0
63,1-63,镗床 设备重量(70t以内),台,18290.34,9758.4,4064.87,4467.07,0
64,1-64,镗床 设备重量(100t以内),台,24292.76,13600.99,5336.53,5355.24,0
65,1-65,镗床 设备重量(150t以内),台,31826.16,19536.34,6248.95,6040.87,0
66,1-66,镗床 设备重量(200t以内),台,39577.71,25592.83,6839.72,7145.16,0
67,1-67,镗床 设备重量(250t以内),台,47222.81,31440.91,8095.69,7686.21,0
68,1-68,镗床 设备重量(300t以内),台,54596.31,37287.07,8395.07,8914.17,0
69,1-69,磨床 设备重量(1t以内),台,534.57,328.7,128.54,77.33,0
70,1-70,磨床 设备重量(2t以内),台,747.39,474.48,158.94,113.97,0
71,1-71,磨床 设备重量(3t以内),台,989.96,627.5,211.84,150.62,0
72,1-72,磨床 设备重量(5t以内),台,1406.38,869.33,349.79,187.26,0
73,1-73,磨床 设备重量(7t以内),台,2503.42,1286.83,544.38,672.21,0
74,1-74,磨床 设备重量(10t以内),台,4006.82,2119.1,1215.51,672.21,0
75,1-75,磨床 设备重量(15t以内),台,4665.81,2493.6,1268.46,903.75,0
76,1-76,磨床 设备重量(20t以内),台,8002.79,2895.17,3571.45,1536.17,0
77,1-77,磨床 设备重量(25t以内),台,9074.48,3421.44,4116.87,1536.17,0
78,1-78,磨床 设备重量(30t以内),台,14764.17,3973.25,4667.49,6123.43,0
79,1-79,磨床 设备重量(35t以内),台,12762.88,4695.94,4714.16,3352.78,0
80,1-80,磨床 设备重量(40t以内),台,14679.49,5377.2,5490.48,3811.81,0
81,1-81,磨床 设备重量(50t以内),台,15962.15,6382.75,5703.02,3876.38,0
82,1-82,磨床 设备重量(60t以内),台,19220.11,8004.24,6855.75,4360.12,0
83,1-83,磨床 设备重量(70t以内),台,20691.28,9174.77,7006.24,4510.27,0
84,1-84,磨床 设备重量(100t以内),台,25997.38,12456.77,8288.59,5252.02,0
85,1-85,磨床 设备重量(150t以内),台,33118.91,17871.84,9249.41,5997.66,0
86,1-86,铣床及齿轮、螺纹加工机床 设备重量(1t以内),台,564.89,338.64,148.92,77.33,0
87,1-87,铣床及齿轮、螺纹加工机床 设备重量(3t以内),台,1000.13,625.49,224.02,150.62,0
88,1-88,铣床及齿轮、螺纹加工机床 设备重量(5t以内),台,1285.08,819.12,278.7,187.26,0
89,1-89,铣床及齿轮、螺纹加工机床 设备重量(7t以内),台,2209.38,1146.58,433.79,629.01,0
90,1-90,铣床及齿轮、螺纹加工机床 设备重量(10t以内),台,3602.49,2083.25,847.03,672.21,0
91,1-91,铣床及齿轮、螺纹加工机床 设备重量(15t以内),台,4580.69,2477.23,1300.6,802.86,0
92,1-92,铣床及齿轮、螺纹加工机床 设备重量(20t以内),台,7303.41,2858.93,3026.01,1418.47,0
93,1-93,铣床及齿轮、螺纹加工机床 设备重量(25t以内),台,8527.01,3719.47,3345.87,1461.67,0
94,1-94,铣床及齿轮、螺纹加工机床 设备重量(30t以内),台,10580.4,4199.14,3818.79,2562.47,0
