订单排产情况登记表,订单排产情况登记表.1,订单排产情况登记表.2,订单排产情况登记表.3,订单排产情况登记表.4,订单排产情况登记表.5,订单排产情况登记表.6,订单排产情况登记表.7,订单排产情况登记表.8,订单排产情况登记表.9,订单排产情况登记表.10,订单排产情况登记表.11,订单排产情况登记表.12,订单排产情况登记表.13,订单排产情况登记表.14,订单排产情况登记表.15
订单日期,订单名称,业务员,合同号,订单交期,订单数量,生产单号,生产日期,本次排产数量,完工日期,完工数量,入库数量,发货日期,是否延误,延误天数,异常
2020/9/15,名称1,田万成,LEA1815034,2020/9/27,164,1900/1/0,2020/9/20,250,2020/9/28,250,0,9月30日,延误,3天,否
2020/9/16,名称2,田万成,LEA1815036,2020/9/29,100,1900/1/0,2020/9/21,125,2020/9/29,125,0,9月29日,FALSE,FALSE,否
2020/9/17,名称3,白杰,LEA1715027,2020/9/30,40,1900/1/0,2020/9/22,82,2020/9/30,82,0,9月29日,FALSE,FALSE,否
2020/9/18,名称4,白杰,LEA1715027,2020/9/30,411,1900/1/0,2020/9/23,452,2020/10/1,452,0,10月2日,延误,2天,否
2020/9/19,名称5,刘昭柠,LEA1818037-D,2020/10/2,511,1900/1/0,2020/9/24,511,2020/10/2,511,0,2020/10/2,FALSE,FALSE,否
2020/9/20,名称6,刘正英,LEA1825006,2020/10/3,144,1900/1/0,2020/9/25,195,2020/10/3,195,0,2020/10/3,FALSE,FALSE,否
2020/9/21,名称7,刘正英,LEA1825006,2020/9/15,441,1900/1/0,2020/9/26,198,2020/10/4,198,0,2020/9/20,延误,5天,否
2020/9/22,名称8,刘正英,LEA1825006,2020/10/5,841,1900/1/0,2020/9/27,950,2020/10/5,950,0,2020/10/5,FALSE,FALSE,否
2020/9/23,名称9,于文洲,LEA1629004,2020/10/6,111,1900/1/0,2020/9/28,251,2020/10/6,251,0,2020/10/6,FALSE,FALSE,否
