Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,编码001-物料编码,物料001-物料名称,23-入库数量,10-出库数量,483.0-入库金额,580.0-出库金额,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
月份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合计,,,
入库,23,25,30,19,25,30,20,25,27,16,22,30,292,,,
出库,10,6,16,14,12,20,10,6,8,7,10,11,130,,,
,,,,,,,,,,,,,,,,
序号,日期,物料编码,物料名称,规格型号,单位,入库明细,入库明细,入库明细,出库明细,出库明细,出库明细,实时库存,备注,,,统计年份
序号,日期,物料编码,物料名称,规格型号,单位,入库数量,入库单价,入库金额,出库数量,出库单价,出库金额,实时库存,备注,,,2022年
1,2022/1/1,编码001,物料001,规格0,件,23,21.0,483.0,10,58.0,580.0,13,无,,,
2,2022/2/1,编码002,物料002,规格0,件,25,17.0,425.0,6,65.0,390.0,19,无,,,
3,2022/3/1,编码003,物料003,规格0,件,30,23.0,690.0,16,75.0,1200.0,14,无,,,
4,2022/4/1,编码004,物料004,规格0,件,19,18.0,342.0,14,59.0,826.0,5,无,,,
5,2022/5/1,编码005,物料005,规格0,件,25,26.0,650.0,12,85.0,1020.0,13,无,,,
6,2022/6/1,编码006,物料006,规格0,件,30,30.0,900.0,20,79.0,1580.0,10,无,,,
7,2022/7/1,编码007,物料007,规格0,件,20,15.0,300.0,10,59.0,590.0,10,无,,,
8,2022/8/1,编码008,物料008,规格0,件,25,10.0,250.0,6,35.0,210.0,19,无,,,
9,2022/9/1,编码009,物料009,规格0,件,27,26.0,702.0,8,88.0,704.0,19,无,,,
10,2022/10/1,编码010,物料010,规格1,件,16,18.0,288.0,7,65.0,455.0,9,无,,,
11,2022/11/1,编码011,物料011,规格2,件,22,22.0,484.0,10,88.0,880.0,12,无,,,
12,2022/12/1,编码012,物料012,规格3,件,30,26.0,780.0,11,65.0,715.0,19,无,,,
