到期时间,贴现天数,贴现利率,贴现利息,实付贴现金额,考核数
2004/3/1,#REF!,4.2,#REF!,#REF!,#REF!
2004/3/8,#REF!,4.2,#REF!,#REF!,#REF!
2004/7/6,#REF!,3.9,#REF!,#REF!,#REF!
2004/8/18,#REF!,4.2,#REF!,#REF!,#REF!
2004/4/30,#REF!,2.5,#REF!,#REF!,#REF!
2004/4/26,#REF!,2.5,#REF!,#REF!,#REF!
2004/4/15,#REF!,2.5,#REF!,#REF!,#REF!
2004/5/28,#REF!,2.5,#REF!,#REF!,#REF!
2004/6/11,#REF!,2.5,#REF!,#REF!,#REF!
2004/4/23,#REF!,2.5,#REF!,#REF!,#REF!
2004/5/24,#REF!,2.5,#REF!,#REF!,#REF!
2004/6/15,#REF!,2.5,#REF!,#REF!,#REF!
2004/5/25,#REF!,2.5,#REF!,#REF!,#REF!
2004/4/15,#REF!,2.5,#REF!,#REF!,#REF!
2004/8/12,#REF!,2.91,#REF!,#REF!,#REF!
2004/4/24,#REF!,2.5,#REF!,#REF!,#REF!
2004/4/23,#REF!,2.5,#REF!,#REF!,#REF!
2004/7/17,#REF!,2.5,#REF!,#REF!,#REF!
2004/6/18,#REF!,2.5,#REF!,#REF!,#REF!
2004/5/26,#REF!,2.5,#REF!,#REF!,#REF!
2004/6/6,#REF!,2.5,#REF!,#REF!,#REF!
2004/6/30,#REF!,2.5,#REF!,#REF!,#REF!
