贴现本金,贴现时间,到期时间,贴现天数,贴现利率,贴现利息,实付贴现金额,考核数
20.0,2004/3/29,2004/4/17,22,2.5,366.67,"￥199,633.33",2.44
36.72,2004/3/29,2004/5/18,53,2.5,1621.8,"￥365,578.20",10.81
18.28,2004/3/29,2004/5/18,53,2.5,807.37,"￥181,992.63",5.38
67.8735,2004/3/29,2004/7/7,103,2.5,5825.81,"￥672,909.19",38.84
80.0,2004/3/29,2004/4/30,35,2.5,2333.33,"￥797,666.67",15.56
80.0,2004/3/29,2004/4/26,31,2.5,2066.67,"￥797,933.33",13.78
60.0,2004/3/29,2004/4/15,20,2.5,1000.0,"￥599,000.00",6.67
200.0,2004/3/29,2004/5/28,63,2.5,10500.0,"￥1,989,500.00",70.0
150.0,2004/3/29,2004/6/11,77,2.5,9625.0,"￥1,490,375.00",64.17
120.0,2004/3/29,2004/4/23,28,2.5,2800.0,"￥1,197,200.00",18.67
14.6,2004/3/29,2004/5/24,59,2.5,717.83,"￥145,282.17",4.79
20.0,2004/3/29,2004/6/15,81,2.5,1350.0,"￥198,650.00",9.0
180.0,2004/3/29,2004/5/25,60,2.5,9000.0,"￥1,791,000.00",60.0
300.0,2004/3/29,2004/4/15,20,2.5,5000.0,"￥2,995,000.00",33.33
500.0,2004/4/7,2004/8/12,130,2.91,63050.0,"￥4,936,950.00",361.11
10.0,2004/3/29,2004/4/24,29,2.5,241.67,"￥99,758.33",1.61
110.0,2004/3/29,2004/4/23,28,2.5,2566.67,"￥1,097,433.33",17.11
350.0,2004/3/29,2004/7/17,113,2.5,32958.33,"￥3,467,041.67",219.72
30.0,2004/3/29,2004/6/18,84,2.5,2100.0,"￥297,900.00",14.0
24.78,2004/3/29,2004/5/26,61,2.5,1259.65,"￥246,540.35",8.4
86.0,2004/3/29,2004/6/6,72,2.5,5160.0,"￥854,840.00",34.4
20.0,2004/3/29,2004/6/30,96,2.5,1600.0,"￥198,400.00",10.67
