号,日期,合同编码,合同名称,结算金额,开票状态,开票类型,发票号码,开票金额,未开票金额,已收款金额,未收款金额,备注
1,2021/7/1,h01014,合同A,2500.0,已开票,专用发票,1010140.0,1500.0,1000.0,1000.0,1500.0,1
2,2021/7/2,h01015,合同B,1200.0,已开票,普通发票,1010141.0,1200.0,-,1000.0,200.0,2
3,2021/7/3,h01016,合同C,1500.0,待开票,,,,1500.0,1000.0,500.0,3
4,2021/7/4,h01017,合同D,2300.0,已开票,专用发票,20256635.0,2000.0,300.0,1000.0,1300.0,4
5,2021/7/5,h01018,合同E,1400.0,已开票,普通发票,20256636.0,1400.0,-,1000.0,400.0,5
6,2021/7/6,h01019,合同F,2500.0,待开票,,,,2500.0,1000.0,1500.0,6
7,2021/7/7,h01020,合同G,1700.0,已开票,专用发票,35521540.0,1700.0,-,1000.0,700.0,7
8,2021/7/8,h01021,合同H,2300.0,已开票,专用发票,25544147.0,1500.0,800.0,1000.0,1300.0,8
9,2021/7/9,h01022,合同|,2300.0,待开票,,,,2300.0,1000.0,1300.0,9
0,2021/7/10,h01023,合同J,2500.0,已开票,普通发票,21254747.0,2500.0,-,1000.0,1500.0,10
1,2021/7/11,h01024,合同K,3200.0,已开票,普通发票,36685477.0,3200.0,-,1000.0,2200.0,11
2,2021/7/12,h01025,合同L,1500.0,待开票,,,,1500.0,1000.0,500.0,12
3,2021/7/13,h01026,合同M,2300.0,已开票,专用发票,1254757.0,2300.0,-,1000.0,1300.0,13
4,2021/7/14,h01027,合同J,2450.0,已开票,专用发票,27005000.44,2755.74,-305.74,1000.0,1450.0,14
5,2021/7/15,h01028,合同K,2501.1,已开票,普通发票,28239627.89,2871.15,-370.05,1000.0,1501.1,15
6,2021/7/16,h01029,合同L,2552.2,待开票,,,,2552.2,1000.0,1552.2,16
7,2021/7/17,h01030,合同M,2603.3,已开票,专用发票,30708882.78,3101.97,-498.67,1000.0,1603.3,17
8,2021/7/18,h01031,合同J,2654.4,已开票,普通发票,31943510.23,3217.38,-562.98,1000.0,1654.4,18
9,2021/7/19,h01032,合同K,2705.49,待开票,,,,2705.49,1000.0,1705.49,19
!0,2021/7/20,h01033,合同L,2756.59,已开票,专用发票,34412765.12,3448.2,-691.6,1000.0,1756.59,20
!1,2021/7/21,h01034,合同M,2807.69,已开票,专用发票,35647392.56,3563.61,-755.91,1000.0,1807.69,21
!2,2021/7/22,h01035,合同J,2858.79,待开票,,,,2858.79,1000.0,1858.79,22
