农业银行-2016全年基本信息,农业银行-2016全年基本信息.1,农业银行-贷款规模明细,农业银行-贷款规模明细.1,Unnamed: 4
市值,,核心一级资本,1.23万亿,
资产总额,19.57万亿,资本净额,1.55万亿,
归母所有者权益,1.32万亿,加权风险资产净额,11.85万亿,
归母净利润,1840亿,核心一级资本充足率,10%,
营收,5060亿,资本充足率,13%,
,,,,
,,不良贷款率,2.37%,
利润明细表,利润明细表,不良贷款率拨备覆盖率,173%,
净利息收入,4000亿,利润拨备比率,2.17,
净手续费及佣金收入,910亿,：损失准备/净利润,,
其他净收入,170亿,,,
业务及管理费,（1750亿）,客户贷款总额,9.70万亿,境外4000亿
资产减值损失,（865亿）,公司贷款,5.40万亿,
税前利润,2300亿,零售贷款,3.35万亿,
所得税,425亿,：个人住房贷款,2.6万亿,农户2000亿
本行股东净利润,1840亿,：信用卡贷款,2400亿,
,,：小微贷款,,
净利息收入明细,净利息收入明细,：其他,消费贷2000亿,
生息资产利息总收入,6570亿,票据贴现,,
：贷款和垫款,4100亿,,,
：投资,1700亿,不良贷款总额,2300亿,
：存拆放同业,370亿,：公司贷款,1900亿,
计息负债利息支出,（2600亿）,：零售贷款,380亿,
：客户存款,2090亿,关注类贷款,3770亿,
：同业存拆放,340亿,已重组贷款,520亿,
净利息收入,4000亿,不良+关注+重组,6600亿,
,,贷款损失准备,4000亿,
非息收入明细,非息收入明细,,,
手续费及佣金收入,1000亿,主要资产,,
：银行卡手续费,200亿,投资证券及其他金融资产,5.33万亿,
：结算与清算手续费,170亿,：可出售金融资产,1.40万亿,
：代理服务手续费,400亿,：持有到期投资,2.90万亿,
：托管,30亿,：应收款项投资,6250亿,
：其他,,,,
：手续费及佣金支出,（100亿）,负债端,,
净手续费及佣金收入,910亿,客户存款总额,15万亿,
其他非利息收入,,：企业存款,5.60万亿,
投资收益,（20亿）,：零售存款,8.80万亿,
非利息净收入总额,170亿,客户存款平均成本率,1.47%,
,,总资产明细,总资产明细,
补充财务指标,补充财务指标,资产总额,19.57万亿,
净利差,2.10%,客户贷款总额,9.72万亿,
净利息收入占比,79.00%,投资证券及其他金融资产,5.33万亿,
非利息收入占比,21.00%,现金，贵金属及央行存款,2.80万亿,
客户存款平均成本率,1.47%,同业存放款,1.20万亿,
,,拆出资金及买入返售资产,3200亿,
,,商誉及其他,5800亿,
作者估值,净利润X6.5,12000亿,,
,净资产X1,13200亿,,
