饱和水蒸汽表(按温度排列)-温度-℃,饱和水蒸汽表(按温度排列)-绝对压力-kPa,饱和水蒸汽表(按温度排列)-蒸汽比容-m3/kg,饱和水蒸汽表(按温度排列)-蒸汽密度-kg/m3,饱和水蒸汽表(按温度排列)-液体焓-kJ/kg,饱和水蒸汽表(按温度排列)-蒸汽焓-kJ/kg,饱和水蒸汽表(按温度排列)-汽化热-kJ/kg
0,0.61,206.5,0.0048,0.0,2491.3,2491.3
5,0.87,147.1,0.0068,20.94,2500.9,2480.0
10,1.23,106.4,0.0094,41.87,2510.5,2468.6
15,1.71,77.9,0.0128,62.81,2520.6,2457.8
20,2.33,57.8,0.0172,83.74,2530.1,2446.3
25,3.17,43.4,0.023,104.68,2538.6,2433.9
30,4.25,32.93,0.0304,125.6,2549.5,2423.7
35,5.62,25.25,0.0396,146.55,2559.1,2412.6
40,7.37,19.55,0.0511,167.47,2568.7,2401.1
45,9.58,15.28,0.0654,188.42,2577.9,2389.5
50,14.98,12.054,0.083,209.34,2587.6,2378.1
55,15.74,9.589,0.1043,230.29,2596.8,2366.5
60,19.92,7.687,0.1301,251.21,2606.3,2355.1
65,25.01,6.209,0.1611,272.16,2615.6,2343.4
70,31.16,5.052,0.1979,293.08,2624.4,2331.2
75,38.5,4.139,0.2416,314.03,2629.7,2315.7
80,47.4,3.414,0.2929,334.94,2642.4,2307.3
85,57.9,2.832,0.3531,355.9,2651.2,2295.3
90,70.1,2.365,0.4229,376.81,2660.0,2283.1
95,84.5,1.985,0.5039,397.77,2668.8,2271.0
100,101.3,1.675,0.597,418.68,2677.2,2258.4
105,120.8,1.421,0.7036,439.64,2685.1,2245.5
110,143.3,1.212,0.8254,460.97,2693.5,2232.4
115,170.0,1.038,0.9635,481.51,2702.5,2221.0
120,198.6,0.893,1.1199,503.67,2708.9,2205.2
125,232.1,0.7715,1.296,523.38,2716.5,2193.1
130,270.2,0.6693,1.494,546.38,2723.9,2177.6
135,313.0,0.5831,1.715,565.25,2731.2,2166.0
140,361.4,0.5096,1.962,589.08,2737.8,2148.7
145,415.6,0.4469,2.238,607.12,2744.6,2137.5
150,476.1,0.3933,2.543,632.21,2750.7,2118.5
160,618.1,0.3075,3.252,675.75,2762.9,2087.1
170,792.4,0.2431,4.113,719.29,2773.3,2054.0
180,1003.0,0.1944,5.145,763.25,2782.6,2019.3
190,1255.0,0.1568,6.378,807.63,2790.1,1982.5
200,1554.0,0.1276,7.84,852.01,2795.5,1943.5
210,1917.0,0.1045,9.569,897.23,2799.3,1902.1
220,2320.0,0.0862,11.6,942.45,2801.0,1858.5
230,2797.0,0.07155,13.98,988.5,2800.1,1811.6
240,3347.0,0.05967,16.76,1034.56,2796.8,1762.2
250,3976.0,0.04998,20.01,1081.45,2790.1,1708.6
260,4693.0,0.04199,23.82,1128.76,2780.9,1652.1
270,5503.0,0.03538,28.27,1176.91,2760.3,1591.4
280,6220.0,0.02988,33.47,1225.48,2752.0,1526.5
290,7442.0,0.02525,39.6,1274.46,2732.3,1457.8
300,8591.0,0.02131,46.93,1325.54,2708.0,1382.5
310,9876.0,0.01799,55.59,1378.71,2680.0,1301.3
320,11300.0,0.01516,65.95,1436.07,2648.2,1212.1
330,12880.0,0.01273,78.53,1446.78,2610.5,1113.7
340,14510.0,0.01064,93.98,1562.93,2568.6,1005.7
350,16530.0,0.00884,113.2,1632.2,2516.7,880.5
