库存现金盘点表-单位名称-审查项目-清点日期,库存现金盘点表-单位名称-审查项目-清点日期.1,库存现金盘点表-天津滨海新区塘沽福安康中医门诊部-库存现金-清点日期,库存现金盘点表-天津滨海新区塘沽福安康中医门诊部-编制人-2015年2月28日,库存现金盘点表-天津滨海新区塘沽福安康中医门诊部-孙艺淳-2015年2月28日,库存现金盘点表-单位：元-天津滨海新区塘沽福安康中医门诊部-孙艺淳-2015年2月28日
清点现金明细,清点现金明细,清点现金明细,核对帐目,核对帐目,核对帐目
货币面额,张数,金额,项目,项目,金额
100元,6,600,现金帐面余额,现金帐面余额,618.6
50元,,,加：收入凭证未记帐,加：收入凭证未记帐,
10元,1,10,减：付出凭证未记帐,减：付出凭证未记帐,
5元,1,5,调整后现金帐余额,调整后现金帐余额,
2元,,,实点现金,实点现金,618.6
1元,3,3,长款（+）,长款（+）,
5角,1,0.5,短款（-）,短款（-）,
2角,,,,,
1角,1,0.1,,,
5分,,,,,
2分,,,,,
1分,,,,,
实点,合计,618.6,折合人民币,陆佰壹拾捌元陆角整,陆佰壹拾捌元陆角整
,,,,,
会计主管：,会计主管：,高素荣,盘点人：高素荣,出纳人员：,孙艺淳
