公司产品成本预算及分析表-应本项目-应本项目,公司产品成本预算及分析表-应本项目-应本项目.1,公司产品成本预算及分析表-计量单位A-计量单位A,公司产品成本预算及分析表-预算成本-单位成本B,公司产品成本预算及分析表-预算成本-总产量D,公司产品成本预算及分析表-预算成本-储构比重E,公司产品成本预算及分析表-实环成本-单位成本F,公司产品成本预算及分析表-实环成本-总产量G,公司产品成本预算及分析表-实环成本-总成本H,公司产品成本预算及分析表-实环成本-描构比重,公司产品成本预算及分析表-成本理降-塑异率J=(F-BMB*100%,公司产品成本预算及分析表-成本理降-单位或本型异K-F-B,公司产品成本预算及分析表-成本理降-总产量型异L=F*G·B*D,公司产品成本预算及分析表-成本理降
序号,理H,"计量单位

A","单位成本
   B","总产量
D","储构比重
E","单位成本
F","总产量
G","  总成本
  H",描构比重,"塑异率
J=(F-BMB*100%","单位或本型异
K-F-B","总产量型异
L=F*G·B*D",
,直撞材料,元,11000,45,1,110m,61,9040.0,1,7.27%,80,22480,
11,原材料,元,110.0,4,7.06%,120.0,6,720.0,"7,9%%",9.09%,10,280,
12,描材材料,元,120.0,5,9.6%,130.0,7,910.0,10.07%,8.339%,10,310,
13,备品配件,元,150.0,7,16.筋%,160.0,9,1.440.00,15.93%,6.67%,10,90,
14,外约学成品,元,220.0,5,17.66%,230.0,7,1610.0,1781%,4.55%,10,510,
1.5,厘料,开,120.0,5,9.65%,130.0,7,910.0,10.07%,8.3J%,10,310,
16,动力,元,150.0,7,16.筋衡,160.0,9,1440.0,15.93%,6.67%,10,390,
二,直撞工费,晃,270.0,2,1,260.0,4,520,1,-3.70%,-10,300,
21,工资,元,120.0,1,4444%,130.0,2,260.0,5000%,8.33%,10,140,
22,福利费,元,150.0,1,55.56%,180.0,2,260.0,50.00%,-1333%,20,110,
三,料动力,元,190.0,6,100.00%,210.0,8,870,100.00%,10.53%,20,540,
11,重料,元,110.0,4,73.33%,120.0,5,600.0,68.97%,9.090%,10,160,
3.2,动力费用,元,80.0,2,26.67%,90.0,3,270.0,31.03%,12.50%,10,110,
四,法费用,元,70000,50,100.00%,1710.0,74,7500.0,100.00%,65.75%,480,53040,
4.1,管理人员工要,元,120.0,4,15.58%,160.0,6,980.0,12.80%,30%,40,480,
42,职工细利费,元,HO.00,5,12.99%,120.0,7,840.0,11.20%,50.00%,40,440,
4.3,国定资产折白费,元,70.0,2,4.55%,110.0,4,440.0,5.87%,57.14%,40,0,
4.4,修理费,元,60.0,7,13.64%,100.0,9,900.0,12.00%,66.67%,40,480,
4.5,永电费,元,30.0,5,4.87间,70.0,7,490.0,6.53%,133.0%,40,340,
4.6,取源费,元,40.0,4,5.19%,80.0,6,480.0,6.40%,100.00%,40,320,
47,塑族费,元,60.0,1,1.95%,100.0,3,100.0,4.00%,66.67%,40,240,
