生产进度跟踪表-来生产,生产进度跟踪表-来生产.1,生产进度跟踪表-来生产.2,生产进度跟踪表-生产中,生产进度跟踪表,已案r,Unnamed: 6,虎工率,Unnamed: 8,8个,2个,2023年6月-日,2023年6月,2023年6月-五
1 个,1 个,1 个,5个,,2个,,25.00%,25.00%,25.00%,25.00%,25.00%,25.00%,25.00%
,,,,,,,,,订 单 数 量,完 工 数 展,4      6,,9
,,,,,,,,,,,11 12  13 14,   11 12  13 14,16 17
来7日数止订单,来7日数止订单,来7日数止订单,来7日数止订单,来7日数止订单,来7日数止订单,,,,,,18 19 20 21 22,   18 19 20 21 22,2224
今 日 订 单 题 量 1 个,今 日 订 单 题 量 1 个,今 日 订 单 题 量 1 个,今 日 订 单 题 量 1 个,今 日 订 单 题 量 1 个,今 日 订 单 题 量 1 个,今 日 订 单 题 量 1 个,查淘订单,110102,订单日期,2023/6/3,25 26;27 20 29,   25 26;27 20 29,   25 26;27 20 29
今日数止     1 个,今日数止     1 个,今日数止     1 个,今日数止     1 个,今日数止     1 个,今日数止     1 个,今日数止     1 个,产晶名称,产 品B,规临型号,规格2,规格2,规格2,规格2
,,,,,,,下单数量,80,截止日期,222/6/24,222/6/24,222/6/24,222/6/24
/B       6/20 677  20   4    /     1,   /B       6/20 677  20   4    /     1,   /B       6/20 677  20   4    /     1,   /B       6/20 677  20   4    /     1,   /B       6/20 677  20   4    /     1,   /B       6/20 677  20   4    /     1,   /B       6/20 677  20   4    /     1,类工数量,450,完工进度,100%,100%,100%,100%
订单确码,订单确码,订单日期,订单日期,产晶名称,规酯型号,下单数置,最止日用,光工数题,制条数置,光工进里,是香翅周,番注值息,番注值息
1010101,01010101,2023/6/2,2023/6/2,产  A,规热1,500,2023/6/20,150,350,30.00%,0,0,0
1010102,01010102,2023/6/3,2023/6/3,产品B,规格2,450,2023/6/24,450,0,0.00%,0,0,0
1010103,01010103,2023/6/4,2023/6/4,产,规想3,370,21/627,370,0,0.00%,0,0,0
1010194,01010194,2023/6/5,2023/6/5,产品D,观格4,400,221/40,150,250,37.50%,0,0,0
D1010105,D1010105,2023/6/6,2023/6/6,产品E,规热5,390,2023/6/29,270,120,0.2%,0,0,0
0101010*,0101010*,2023/6/3,2023/6/3,产BF,,200,2022/6/0,0,200,0.0%,0,0,0
D1010107,D1010107,2023/6/4,2023/6/4,产品G,规格7,500,2023/7/1,270,230,54.0m,0,0,0
1010104,01010104,023/4/24,023/4/24,产  B,观,300,2223/6/20,190,110,60.3N,0,0,0
