附件2-瓶(桶)装饮用水产品质量监督抽查实物质量不合格产品及生产企业名单-序号,Unnamed:1-产品名称,Unnamed:2-生产单位,Unnamed:3-规格型号,Unnamed:4-生产日期,Unnamed:5-生产单位地址,Unnamed:6-不合格指标
1,家乐饮用天然泉水,遵义县枫香温泉家乐天然矿泉水有限公司,18.9L,2010.04.08,贵州省遵义县枫香镇,菌落总数
2,甘露康饮用天然泉水,遵义县龙泉矿泉水厂,18.9L,2010.04.12,遵义县龙坑镇茅酒房,1、菌落总数 2、大肠菌群
3,枫香天然优质饮用山泉水,贵州省遵义县枫香矿泉水公司,18.9L,2010.04.12,贵州省遵义县枫香镇温水村,菌落总数
4,霜月饮用天然泉水,遵义霜月矿泉水厂,18.9L,2010.04.12,遵义市海龙镇,菌落总数
5,太极冰泉饮用天然泉水,遵义市凤冈县淼尔矿泉水厂,18.9L,2010.04.09,凤冈县何坝乡水河村,电导率
6,祥龙山饮用山泉水,遵义市祥龙山水厂,18.9L,2010.04.13,凤冈县花坪镇红沙沟村,电导率
7,溢冰泉饮用纯净水,道真仡佬族苗族自治县源活饮品厂,18.9L,2010.04.14,贵州省遵义市道真仡佬族苗族自治县玉溪镇桑木坝村,菌落总数
8,南山饮用天然泉水,桐梓县南山离子水厂,18.9L,2010.04.13,桐梓县娄山关生态乐园,余氯
9,叮咚山泉饮用山泉水,余庆县云峰天然泉水厂,18.9L,2010.04.14,余庆县小腮镇中关村,菌落总数
10,名镇古泉饮用天然泉水,湄潭县永兴福临门水厂,18.9L,2010.04.11,湄潭县永兴镇天棚村,电导率
11,美星饮用纯净水,贵州五七○七航空发动机修理厂美星纯净水分厂,18.9L,2010.04.12,遵义市汇川区李家湾,游离氯
12,鱼翅富锶饮用天然泉水,正安县鱼翅山泉水厂,18.9L,2010.04.14,正安县安场镇兴庄村鱼翅组,锶
13,沁园春饮用天然泉水,习水县沁园春山泉水厂,18.9L,2010.04.15,习水县东皇镇伏龙村,菌落总数
14,龙箐清泉饮用天然泉水,习水县龙箐清泉水厂,18.9L,2010.04.15,贵州省遵义习水县东皇镇伏龙村,菌落总数
15,四洞山泉天然饮用山泉水,赤水市康辉山泉水有限责任公司,18.9L,2010.04.15,赤水市大同王云村二组,偏硅酸
16,竹泉饮用天然泉水,赤水桫椤保护区竹泉山泉饮用水有限公司,18.9L,2010.04.14,赤水市国家级桫椤保护区,1、偏硅酸  2、 电导率      3、 余氯
17,庵斯傅天然弱碱性水,遵义陶然山泉水厂,550ml,2010.03.28,遵义县毛石镇,1、菌落总数  2、电导率
18,龙泉山饮用山泉水,湄潭县龙泉山纯净水厂,18.9L,2010.04.10,湄潭县湄江镇龙泉村,菌落总数
19,特丽洁天然泉水,遵义新特丽洁思源纯净水厂,18.9L,2010.04.18,遵义市开发区河溪坝高台组,菌落总数
20,酒都泉饮用天然泉水,贵州省仁怀市山野矿泉水有限公司,18.9L,2010.04.14,仁怀市鲁班镇生界村永红组,亚硝酸盐
21,国酒山泉饮用天然泉水,贵州省仁怀市思源矿泉水有限公司,18.9L,2010.04.14,仁怀市喜头镇中心村红旗组,1、亚硝酸盐  2、余氯
22,奶子山饮用天然山泉水,贵州省仁怀市茅台镇喜洋洋纯净水厂,18.9L,2010.04.14,仁怀市中元村,1、亚硝酸盐  2、 余氯
23,金鼎源山泉饮用天然泉水,红花岗区玉龙山泉水厂,18.9L,2010.04.20,遵义市红花岗区金鼎山镇千弓堰,电导率
24,饮用天然泉水,安顺市西秀区黔之泉纯天然山泉水厂,18.9L,2010-04-08 00:00:00,七眼桥镇孙家庄村,1、菌落总数  2、酵母菌     3、PH
25,小龙泉,平坝县龙井矿泉水厂,18.9L,2010-04-08 00:00:00,平坝县白云镇,1、菌落总数  2、酵母菌
26,天源泉水,安顺市天源饮业有限责任公司,18.9L,2010-04-08 00:00:00,安顺开发区二环路新世纪小区内,菌落总数
27,夜郎茗泉饮用泉水,贵州夜郎湖茶业有限公司茗泉水厂,18.9L,2010-04-08 00:00:00,普定县城关镇富强路245号,菌落总数
28,徐旭泉饮用纯净水,镇宁自治县将军泉水厂,18.9L,2010-04-09 00:00:00,镇宁自治县丁旗镇刘关村将军岩,菌落总数
29,峡谷山泉,贵州省关岭自治县峡谷山泉天然饮品有限公司,18.9L,2010-04-09 00:00:00,贵州省关岭县断桥村下基德组,菌落总数
30,纯净水,六盘水吉兆工贸有限公司,18.9L,2010-04-07 00:00:00,水城县新街乡马路村,1、菌落总数  2、酵母菌
31,饮用纯净水,六盘水三源工贸实业有限公司,18.9L,2010-04-12 00:00:00,钟山区汪家寨水帘洞,菌落总数
32,东明思陡箐山泉,水城茗露矿泉饮料有限公司,18.9L,2010-04-05 00:00:00,水城县陡箐乡茨冲村,1、耗氧量  2、PH
