超市每日库存销售统计表-超市每日库存销售统计表-序号,超市每日库存销售统计表-超市每日库存销售统计表-品名,超市每日库存销售统计表-超市每日库存销售统计表-规格,超市每日库存销售统计表-超市每日库存销售统计表-单价,超市每日库存销售统计表-超市每日库存销售统计表-期初库存,超市每日库存销售统计表-超市每日库存销售统计表-本日入库,超市每日库存销售统计表-超市每日库存销售统计表-A班：,超市每日库存销售统计表-超市每日库存销售统计表-A班：.1,超市每日库存销售统计表-超市每日库存销售统计表-B班：,超市每日库存销售统计表-超市每日库存销售统计表-B班：.1,超市每日库存销售统计表-超市每日库存销售统计表-本日销售数量总计,超市每日库存销售统计表-超市每日库存销售统计表-本日销售金额总计,超市每日库存销售统计表-超市每日库存销售统计表-本日余额库存,超市每日库存销售统计表-超市每日库存销售统计表-备注
序号,品名,规格,单价,期初库存,本日入库,销售数量,库存,销售数量,库存,"本日销售
数量总计","本日销售
金额总计","本日余额
库存",备注
1,硬盒中华,盒,￥ 50.00,15,30,2,43,1,42,3,150,42,无
2,软盒苏烟,盒,￥ 50.00,10,20,,30,2,28,2,100,28,无
3,软包红云,盒,￥ 30.00,20,30,1,49,,49,1,30,49,无
4,黄鹤楼,盒,￥ 25.00,20,35,,55,3,52,3,75,52,无
5,玉溪,盒,￥ 30.00,15,25,3,37,1,36,4,120,36,无
6,雪碧,听,￥   4.00,40,55,5,90,6,84,11,44,84,无
7,可口可乐,听,￥   4.00,30,60,6,84,3,81,9,36,81,无
8,加多宝,听,￥   6.00,35,100,10,125,5,120,15,90,120,无
9,红牛,听,￥   8.00,25,45,2,68,5,63,7,56,63,无
10,果粒橙,瓶,￥   5.00,45,65,4,106,8,98,12,60,98,无
