物流公司资料-名称,物流公司资料-路线,物流公司资料-地址,物流公司资料-联系人,物流公司资料-电话
,,,,
佳怡物流,山东济南、江苏、浙江、天津、河北,白云区增槎路白云通达物流南场A18-19,李永刚,020-62658091
广利物流,杭州、温州、宁波、昆山、上海,白云区增槎路广利大道2号,王瑞勤,020-86256188
南地物流,北京、天津、上海、杭州、武汉,广清路槎龙路段华盛联运中心海元集团122-123档,郭永周,020-86442877
方方达物流,山东、浙江、江西、合肥,新市鹤南货运市场172栋,,020-36300582
宜昌市宏泰运输有限公司,湖北宜昌,白云区石井镇石盘西路1号神州货场6号档口,刘先生,020-61160218
国全物流,全国各地,白云区沙太北路大源林安物流园五509-511,,020-87278986/13751893522
长通物流,河南专线,新市客货站对面云通货运市场19-20档,,020-86295602
广州旭东快运服务公司,山东、胶州、即墨、威海、潍坊、淄博、济南,白云区沙太北路大源村泰邦物流园12栋102-103,吴占曙,020-62131169 /13822275685
广宁物流,江苏、安徽、南京,增槎路522号西城货运中心35档(广佛高速广清出口处),唐英姿,020-81794993/13828490399
天地华宇物流,全国各地,广花路去通货运市场E栋11档,,020-86299336
万盛物流,河南信阳,沙太北路林安停车场A1栋25号,,020-87233079
远征物流,内蒙古,白云区太和镇大源丰和物流市场B1000档,彭先生,020-86400058/13602432468
云达物流,广西南宁,罗冲围客运中心后运通货运市场28号,冯先生,020-81984126
广东邮政物流明珠第三营业部,兰州、青海、宁夏,站前路195号铂灵顿货场,,020-61116003
泓利物流,东北三省、东莞,站前路195号铂灵顿货场B47档,胡先生,020-62636982/13229958594
亚非物流,河南,白云区沙太路盛和物流北场D103栋,王先生,13924069627
来福物流,广西玉林,白云区石井镇黄岗恩明货运市场M排56栋,,020-86417459
金天地物流,惠州,白云区石井镇水泥厂对面,,020-86442432
