工程质量情况月报-填报单位：重庆秀山龙洋建筑有限公司-工程名称-单位工程名称,工程质量情况月报-分部工程名称-分部工程名称,工程质量情况月报-分部工程名称-分部工程名称.1,工程质量情况月报-主要检查项目-主要检查项目,工程质量情况月报-检查比例%-检查比例%,工程质量情况月报-检查比例%-检查比例%.1,工程质量情况月报-记录时间：-检查数,工程质量情况月报-记录时间：-检查数.1,工程质量情况月报-记录时间：-合格数,工程质量情况月报-2012.6.30-合格数,工程质量情况月报-2012.6.30-一次合格率%-一次合格率%,工程质量情况月报-2012.6.30-最后合格率%-最后合格率%,工程质量情况月报-最后合格率%-最后合格率%,工程质量情况月报-本月质量动态及主要质量问题-本月质量动态及主要质量问题,工程质量情况月报-本月质量动态及主要质量问题-本月质量动态及主要质量问题.1,工程质量情况月报-本月质量动态及主要质量问题-本月质量动态及主要质量问题.2
重庆秀山工业园区20万平方米标准厂房,3#楼配套仓库二基础孔桩工程,3#楼配套仓库二基础孔桩工程,定位桩复线,100,100,95,95,95,95,100.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
"重庆秀山工业园区20万平方米标准厂房
",3#楼配套仓库二基础孔桩工程,3#楼配套仓库二基础孔桩工程,护壁钢筋,100,100,95,95,95,95,100.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
"重庆秀山工业园区20万平方米标准厂房
",3#楼配套仓库二基础孔桩工程,3#楼配套仓库二基础孔桩工程,护壁质量,100,100,95,95,93,93,97.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
"重庆秀山工业园区20万平方米标准厂房
",3#楼配套仓库二基础孔桩工程,3#楼配套仓库二基础孔桩工程,嵌岩,100,100,95,95,90,90,94.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
"重庆秀山工业园区20万平方米标准厂房
",3#楼配套仓库二基础孔桩工程,3#楼配套仓库二基础孔桩工程,岩芯取样,100,100,95,95,95,95,100.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,穿越工程,穿越工程,管道焊接,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,穿越工程,穿越工程,管道补口补伤,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,穿越工程,穿越工程,管道穿越就位,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,穿越工程,穿越工程,管道清管、吹扫、试压,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,阴极保护工程,阴极保护工程,外加电流阴极保护,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,牺牲阳极阴极保护,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,站场、阀室工程,站场、阀室工程,管沟开挖,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,管道安装,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,管道焊接,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,管道补口补伤,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,管道下沟回填,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,阀井安装及防水,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,建筑面积小于60m2的建筑,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,建筑工程,建筑工程,土石方工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,基础工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,现浇钢筋混凝土主体结构工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,砌砖工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,室内初装修工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,门窗工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,屋面防水工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,室内给排水管道安装工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,室内电气线路安装工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,球罐工程,球罐工程,球壳板到货检验及无损检测,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,焊接材料到货检验及复验,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,球罐组装几何尺寸检查,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,球罐焊接质量检查,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,球罐热处理,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,压力试验,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,基础沉降观测,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,涂漆保温检查,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,梯子平台及附件检查,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,11#楼、6#楼、10#楼、8#楼基础 工程,11#楼、6#楼、10#楼、8#楼基础 工程,护壁质量,100,100,288,288,268,268,91.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,11#楼、6#楼、10#楼、8#楼基础 工程,11#楼、6#楼、10#楼、8#楼基础 工程,8#楼、11#楼、6#楼嵌岩,100,100,220,220,210,210,93.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,11#楼、6#楼、10#楼、8#楼基础 工程,11#楼、6#楼、10#楼、8#楼基础 工程,8#楼、11#楼6#楼岩芯取样,10,10,220,220,220,220,100.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,11#楼、6#楼、10#楼、8#楼基础 工程,11#楼、6#楼、10#楼、8#楼基础 工程,8#楼、10#楼钢筋笼,100,100,136,136,134,134,98.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,11#楼、6#楼、10#楼、8#楼基础 工程,11#楼、6#楼、10#楼、8#楼基础 工程,8#、10#楼浇筑桩芯砼,100,100,136,136,136,136,100.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,11#楼、6#楼、10#楼、8#楼基础 工程,11#楼、6#楼、10#楼、8#楼基础 工程,,,,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,,,,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,,,,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,,,,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
本月单位工程质量评定情况,序号,工 程 名 称 及 单 位 工 程 名 称,工 程 名 称 及 单 位 工 程 名 称,工 程 名 称 及 单 位 工 程 名 称,建筑面积,建筑面积,建安量,建安量,单位工程开竣工,单位工程开竣工,单位工程开竣工,质量评定等级,质量评定等级,评定日期,备 注
本月单位工程质量评定情况,序号,工 程 名 称 及 单 位 工 程 名 称,工 程 名 称 及 单 位 工 程 名 称,工 程 名 称 及 单 位 工 程 名 称,（m2）,（m2）,（万元）,（万元）,时间,时间,时间,质量评定等级,质量评定等级,评定日期,备 注
本月单位工程质量评定情况,1,重庆秀山工业园区20万平方米标准厂房,重庆秀山工业园区20万平方米标准厂房,重庆秀山工业园区20万平方米标准厂房,,,,,,,,,,,
