工程质量情况月报,工程质量情况月报.1,工程质量情况月报.2,工程质量情况月报.3,工程质量情况月报.4,工程质量情况月报.5,工程质量情况月报.6,工程质量情况月报.7,工程质量情况月报.8,工程质量情况月报.9,工程质量情况月报.10,工程质量情况月报.11,工程质量情况月报.12,工程质量情况月报.13,工程质量情况月报.14,工程质量情况月报.15
填报单位：广西佳迅管道工程有限公司,,,,,,记录时间：,记录时间：,记录时间：,2011.6.1,2011.6.1,2011.6.1,,,,
工程名称,分部工程名称,分部工程名称,主要检查项目,检查比例%,检查比例%,检查数,检查数,合格数,合格数,一次合格率%,最后合格率%,最后合格率%,本月质量动态及主要质量问题,本月质量动态及主要质量问题,本月质量动态及主要质量问题
单位工程名称,分部工程名称,分部工程名称,主要检查项目,检查比例%,检查比例%,（单位）,（单位）,（单位）,（单位）,一次合格率%,最后合格率%,最后合格率%,本月质量动态及主要质量问题,本月质量动态及主要质量问题,本月质量动态及主要质量问题
"1、思源南路：
穿越管道焊接dn200-120m
2、武华大道：
开挖回填dn200-2620m
穿越管道焊接dn200-140m
开挖管道焊接dn200-2970m",管线 工程,管线 工程,管沟开挖,100,100,2620,2620,2600,2600,99.24,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
"1、思源南路：
穿越管道焊接dn200-120m
2、武华大道：
开挖回填dn200-2620m
穿越管道焊接dn200-140m
开挖管道焊接dn200-2970m",管线 工程,管线 工程,管道焊接,100,100,3230,3230,3230,3230,100.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
"1、思源南路：
穿越管道焊接dn200-120m
2、武华大道：
开挖回填dn200-2620m
穿越管道焊接dn200-140m
开挖管道焊接dn200-2970m",管线 工程,管线 工程,管道补口补伤,,,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
"1、思源南路：
穿越管道焊接dn200-120m
2、武华大道：
开挖回填dn200-2620m
穿越管道焊接dn200-140m
开挖管道焊接dn200-2970m",管线 工程,管线 工程,管道下沟回填,100,100,2620,2620,2620,2620,100.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
"1、思源南路：
穿越管道焊接dn200-120m
2、武华大道：
开挖回填dn200-2620m
穿越管道焊接dn200-140m
开挖管道焊接dn200-2970m",管线 工程,管线 工程,清管吹扫试压,100,100,140,140,140,140,100.0,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,穿越工程,穿越工程,管道焊接,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,穿越工程,穿越工程,管道补口补伤,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
