公告日期,城市,区域,宗地名称,土地用途,土地面积(m²),规划建筑面积(m²),容积率,起拍总价(万元),成交状态,成交总价(万元),成交日期
2015/8/5,北京市,朝阳区,"北京市朝阳区孙河乡西甸村2902-l01,2902-l02地块","a61机构养老设施用地,r2二类居住用地",69123,89860,--,196000,未成交,--,--
2015/8/5,北京市,朝阳区,"北京市朝阳区孙河乡西甸村2902-l01,2902-l02地块","a61机构养老设施用地,r2二类居住用地",69123,89860,--,196000,未成交,--,--
2015/8/3,北京市,朝阳区,北京市朝阳区东坝南区1106-657地块,f1住宅混合公建用地,63913,159783,--,305000,未成交,--,--
2015/7/30,北京市,朝阳区,"北京市朝阳区孙河乡北甸西村2902-18,2902-19,2902-27地块","f1住宅混合公建用地,r2二类居住用地,r22社区配套服务设施",121096,143685,--,432200,未成交,--,--
2015/7/28,北京市,丰台区,北京市丰台区南苑乡石榴庄村0517-659等地块,"f1住宅混合公建用地,a33基础教育用地,a5医疗卫生用地",84985,166387,--,335000,未成交,--,--
2015/7/3,北京市,大兴区,北京经济技术开发区路东区e6m-1地块,工业,106518,213036,--,18534,未成交,--,--
2015/6/12,北京市,房山区,北京市房山区拱辰街道16-01-07等地块,"b4综合性商业金融服务业用地,a61机构养老设施用地,r2二类居住用地",112608,226086,--,227000,已成交,317800,2015/7/16
2015/6/12,北京市,房山区,"北京市房山区拱辰街道16-03-04,16-01-05等地块","r2二类居住用地,b4综合性商业金融服务业用地,a33基础教育用地,a6社会福利用地,a5医疗卫生用地",103406,176437,1.7,111000,已成交,157000,2015/7/16
2015/6/11,北京市,丰台区,北京市丰台区花乡四合庄(中关村科技园丰台园东区三期)1516-12-a地块,b4综合性商业金融服务业用地,27500,110000,4,129000,已成交,176000,2015/7/15
2015/6/1,北京市,大兴区,北京市大兴区瀛海镇区dx08-0002-0301地块,f1住宅混合公建用地,61031,152577,2.5,173000,已成交,259500,2015/7/7
2015/5/29,北京市,大兴区,北京市大兴区瀛海镇区dx08-0002-0304等地块,"f1住宅混合公建用地,a33基础教育用地",57932,137735,2.38,152000,已成交,228000,2015/7/3
2015/5/28,北京市,大兴区,"北京市大兴区庞各庄镇pgz01-04,pgz01-05地块","f3其他类多功能用地,f2公建混合住宅用地",118127,198800,--,117000,已成交,200000,2015/7/2
2015/5/27,北京市,大兴区,北京市大兴区庞各庄镇pgz02-34地块,b4综合性商业金融服务业用地,24464,48928,--,28200,已成交,46800,2015/7/1
2015/5/26,北京市,大兴区,"北京市大兴区庞各庄镇pgz01-01,pgz01-02地块","f3其他类多功能用地,f2公建混合住宅用地",158280,266222,1.68,151000,已成交,241000,2015/6/30
2015/5/25,北京市,大兴区,北京市大兴区新城北区dx00-0301-6001地块,f3其它类多功能用地,38024,106468,--,87000,已成交,97000,2015/6/30
2015/5/22,北京市,大兴区,北京市大兴区采育镇区六号地-1土地一级开发项目01-0044地块,b4综合性商业金融服务业用地,13921,16705,--,10500,已成交,12200,2015/6/26
2015/5/21,北京市,大兴区,北京市大兴区瀛海镇姜场村02-1-1地块,r2二类居住用地,13542,18958,1.4,15000,已成交,22500,2015/6/25
2015/3/31,北京市,密云县,"北京市密云县十里堡镇双井村北侧my00-0204-l002,6006,l001地块","r2二类居住用地,a33基础教育用地,a61机构养老设施用地",96640,142550,--,53700,已成交,72500,2015/5/5
2015/3/26,北京市,丰台区,北京市丰台区小屯西路地块,"r2二类居住用地,r53托幼用地",93400,290000,3.1,--,已成交,485745,2015/4/20
2015/3/23,北京市,海淀区,北京市海淀北部地区整体开发中关村永丰产业基地hd-0402-0030地块,f1住宅混合公建用地,65219,208702,3.2,378700,已成交,564000,2015/4/27
2015/3/23,北京市,丰台区,"北京市丰台区丽泽路e-01,e-05,e-06地块",c2商业金融用地,35709,336000,--,504000,已成交,504000,2015/4/27
2015/3/5,北京市,通州区,北京市通州区台湖镇4-1-020等地块f2公建混合住宅用地和4-1-034等地块,"f2公建混合住宅用地,f3其他类多功能用地",144005,258968,1.8,--,已成交,200000,2015/3/30
2015/3/4,北京市,顺义区,顺义区高丽营镇中关村临空国际3-2-4(南区)地块,m1一类工业用地,13289,10631,--,1597,已成交,1597,2015/4/8
2015/3/4,北京市,顺义区,顺义区高丽营镇中关村临空国际5-3-2地块,m1一类工业用地,56803,45442,--,7121,已成交,7121,2015/4/8
2015/2/13,北京市,通州区,北京市通州区宋庄镇0301-1201地块,f3其它类多功能用地,65873,164683,--,78000,已成交,108000,2015/3/24
2015/2/4,北京市,顺义区,顺义区赵全营b5-02地块,m1一类工业用地,71328,57063,--,8968,已成交,8968,2015/3/16
