实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-导线号,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-方位角,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-斜距(L),实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-坡角±(β),实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-平距（M）,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-高差（m）,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-累计-平距（m）,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-累计-高差±(h),实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-产状-倾向/倾角α,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线与走向间夹角（γ）-导线与走向间夹角（γ）,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-真厚度(D)-真厚度(D),实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-分层-代号,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-分层-厚度,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-地质描述-地质描述,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-地质描述-地质描述.1,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-地质描述-地质描述.2,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-地质描述-地质描述.3,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-样品-编号/位置,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-备注-备注
1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,14,14,15,16
2-3,15º,50m,+2º,,,,,,,,,,"①0-6.5m,岩性为安山岩，描述同上 ②6.5-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","①0-6.5m,岩性为安山岩，描述同上 ②6.5-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。 ","①0-6.5m,岩性为安山岩，描述同上 ②6.5-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。 ","①0-6.5m,岩性为安山岩，描述同上 ②6.5-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。 ",B023/34.7m,
3-4,5º,13m,-1º,,,,,,,,,,0-13m，岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。,0-13m，岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。,0-13m，岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。,0-13m，岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。,,
4-5,15º,50m,-5º,,,,,,,,,,"0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。",,
5-6,50º,50m,+5º,,,,,,,,,,"0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。",,
6-7,50º,50m,+10º,,,,,,,,,,"0-50m,地表均被稻田覆盖，未见基岩出露，滚石岩性为粉砂岩","0-50m,地表均被稻田覆盖，未见基岩出露，滚石岩性为粉砂岩","0-50m,地表均被稻田覆盖，未见基岩出露，滚石岩性为粉砂岩","0-50m,地表均被稻田覆盖，未见基岩出露，滚石岩性为粉砂岩",,
7-8,45º,50m,+10º,,,,,,,,,,"0-38m,岩性为石英砂岩，沙状结构，块状构造，石英颗粒粒径2mm-5mm,有次生加大现象，胶结物以硅质为主，含少量泥质。","0-38m,岩性为石英砂岩，沙状结构，块状构造，石英颗粒粒径2mm-5mm,有次生加大现象，胶结物以硅质为主，含少量泥质。","0-38m,岩性为石英砂岩，沙状结构，块状构造，石英颗粒粒径2mm-5mm,有次生加大现象，胶结物以硅质为主，含少量泥质。","0-38m,岩性为石英砂岩，沙状结构，块状构造，石英颗粒粒径2mm-5mm,有次生加大现象，胶结物以硅质为主，含少量泥质。",B024/7m  B025/47m,
8-9,40º,33m,-2º,,,,,,,,,,"①38-50m，岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。②0-33m,岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。在25m处可见较大的石英砂岩角砾，直径5cm-20cm,具有碎裂结构","①38-50m，岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。②0-33m,岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。在25m处可见较大的石英砂岩角砾，直径5cm-20cm,具有碎裂结构","①38-50m，岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。②0-33m,岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。在25m处可见较大的石英砂岩角砾，直径5cm-20cm,具有碎裂结构","①38-50m，岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。②0-33m,岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。在25m处可见较大的石英砂岩角砾，直径5cm-20cm,具有碎裂结构",B026/27m,
9-10,85º,28m,+16º,,,,,,,,,,0-28m，地表为稻田所覆盖，未见基岩出露,0-28m，地表为稻田所覆盖，未见基岩出露 ,0-28m，地表为稻田所覆盖，未见基岩出露 ,0-28m，地表为稻田所覆盖，未见基岩出露 ,B027/12m  B028/5m,
10-11,100º,50m,+11º,,,,,,,,,,0-50m，岩性为英安玢岩，灰白—浅黄色,0-50m，岩性为英安玢岩，灰白—浅黄色,0-50m，岩性为英安玢岩，灰白—浅黄色,0-50m，岩性为英安玢岩，灰白—浅黄色,,
