序号-序号-序号,方向/岗位-方向/岗位-方向/岗位,前程无忧-前程无忧-前程无忧,英才网-英才网-英才网,智联招聘-智联招聘-智联招聘,合计-合计-合计,————地区————　　　　　　～～～～～～～～～～～～～————地区————-北京-前程,————地区————　　　　　　～～～～～～～～～～～～～————地区————-北京-英才,————地区————　　　　　　～～～～～～～～～～～～～————地区————-北京-智联,————地区————　　　　　　～～～～～～～～～～～～～————地区————-上海-前程,————地区————　　　　　　～～～～～～～～～～～～～————地区————-上海-英才,————地区————　　　　　　～～～～～～～～～～～～～————地区————-上海-智联,————地区————　　　　　　～～～～～～～～～～～～～————地区————-广东-前程,————地区————　　　　　　～～～～～～～～～～～～～————地区————-广东-英才,————地区————　　　　　　～～～～～～～～～～～～～————地区————-广东-智联,————地区————　　　　　　～～～～～～～～～～～～～————地区————-福建-前程,————地区————　　　　　　～～～～～～～～～～～～～————地区————-福建-英才,————地区————　　　　　　～～～～～～～～～～～～～————地区————-福建-智联,————地区————　　　　　　～～～～～～～～～～～～～————地区————-江苏-前程,————地区————　　　　　　～～～～～～～～～～～～～————地区————-江苏-英才,————地区————　　　　　　～～～～～～～～～～～～～————地区————-江苏-智联,————地区————　　　　　　～～～～～～～～～～～～～————地区————-湖北-前程,————地区————　　　　　　～～～～～～～～～～～～～————地区————-湖北-英才,————地区————　　　　　　～～～～～～～～～～～～～————地区————-湖北-智联,————地区————　　　　　　～～～～～～～～～～～～～————地区————-湖南-前程,————地区————　　　　　　～～～～～～～～～～～～～————地区————-湖南-英才,————地区————　　　　　　～～～～～～～～～～～～～————地区————-湖南-智联,————地区————　　　　　　～～～～～～～～～～～～～————地区————-山东-前程,————地区————　　　　　　～～～～～～～～～～～～～————地区————-山东-英才,————地区————　　　　　　～～～～～～～～～～～～～————地区————-山东-智联,————地区————　　　　　　～～～～～～～～～～～～～————地区————-浙江-前程,————地区————　　　　　　～～～～～～～～～～～～～————地区————-浙江-英才,————地区————　　　　　　～～～～～～～～～～～～～————地区————-浙江-智联
1,RFID,542,211,754,1507,99,69,135,147,42,63,37,48,91,11,7,16,86,28,48,28,3,20,0,2,14,3,4,26,27,5,33
2,嵌入式 Linux,3242,14072,2528,19842,658,6596,746,709,2838,445,199,1940,395,76,321,70,264,1071,214,145,356,69,20,178,24,37,256,70,237,1014,117
3,嵌入式 WinCE,635,4278,477,5390,123,1719,169,146,875,78,53,718,65,10,150,8,53,474,25,23,158,15,8,76,1,7,113,23,36,303,16
4,嵌入式 Android,607,5045,408,6060,117,2151,136,163,986,83,28,816,72,6,157,10,63,540,34,11,174,10,0,82,2,4,123,1,38,336,13
5,ARM,3702,1792,2657,8151,728,774,805,1033,374,835,217,353,450,35,45,52,268,138,190,139,55,62,24,24,21,45,38,91,198,97,87
6,弱电,9314,2029,8208,19551,1428,887,2076,1871,315,845,745,216,694,108,47,127,756,213,702,470,70,193,144,46,115,265,59,476,552,113,279
7,安防,6414,1506,4568,12488,946,614,1030,948,188,456,571,332,700,118,48,74,326,128,272,353,84,128,77,37,99,137,53,211,342,84,151
8,智能楼宇,270,184,278,732,62,67,74,41,35,28,17,33,21,6,5,3,19,29,27,17,11,5,2,5,1,7,8,36,22,16,12
9,智能大厦,59,10,2632,2701,7,5,730,8,1,266,5,1,258,1,0,44,1,0,224,1,0,60,0,0,20,3,0,160,3,2,88
10,智能家居,240,68,135,443,34,20,35,35,18,11,23,9,13,3,1,16,19,7,20,3,1,0,0,2,0,6,3,8,36,13,6
11,Java 工程师,16526,80815,17036,114377,4434,30153,6221,3373,14733,2701,1536,14172,1913,217,2298,215,1311,8719,1191,419,2770,317,136,1953,146,248,2949,481,1283,5652,936
12,.NET 工程师,10074,80893,7417,98384,2229,30124,2375,2471,14912,1307,1042,14509,907,129,2584,110,763,9072,584,320,3031,172,82,2217,85,209,3237,295,569,5869,262
13,电子工程师,2076,1450,1505,5031,161,355,223,398,330,283,327,471,340,15,36,15,180,205,185,62,40,44,4,30,13,35,45,55,147,125,104
14,单片机,4614,1874,3178,9666,658,689,801,987,268,427,485,490,534,62,30,47,370,194,296,211,63,106,50,20,40,89,48,169,352,129,155
15,FPGA,1915,1121,1595,4631,381,483,464,564,231,341,104,183,211,17,15,15,171,94,143,111,46,68,22,17,18,19,23,35,105,44,75
16,物联网,312,143,743,1198,72,63,70,43,27,28,20,14,45,4,1,28,70,34,143,5,2,14,2,0,14,2,4,90,35,8,35
17,无线通信,1230,905,1150,3285,291,413,342,285,204,198,80,186,139,23,78,12,124,186,79,56,62,31,6,41,12,16,51,34,57,85,50
18,传感器,1463,517,1141,3121,203,218,221,415,114,225,94,79,123,22,11,11,173,68,176,58,20,41,13,12,14,27,18,46,88,32,44
19,物流,44211,9186,53531,106928,4666,2642,8866,10812,2025,8255,6087,1994,7389,674,317,961,2818,970,3831,1716,304,1183,539,289,834,1635,442,3944,2479,680,2090
20,物流工程师,101,69,129,299,8,17,12,31,15,14,5,7,6,0,0,1,18,7,27,2,2,18,9,2,5,1,3,7,2,4,7
