序号,检测内容,西南水泥,红狮水泥,海螺水泥,备注
1.0,生料磨料层厚度,60-135mm以上,40-50mm,40-60mm,
2.0,立磨主电机正常满负荷运转时电流,210-230A,210A,160A,
,尾排风机电流,80A,39A,42A,
3.0,循环风机电流,215-235A,210A,160A,
4.0,循环风机风门开度,60-90%,,68,
,立磨磨辊研磨压力,8~11mpa,9~10.5mpa,9mpa,
5.0,回渣提升机电流,60A以内,74A,64A,
,生料磨水平/垂直震动,2.0/2.5,2.0/0.6,1.8/1.2,
6.0,旋风筒出口负差,6900~9400,,,
7.0,旋风筒压差,1200~3500,,1200,
,袋收尘进出口压力,450/2450,压差250,压差250,
,,,,,
,进出口风温,150/70,180/85,300/95,
8.0,生料细度,,,24~26±2,
,立磨压差,6500~9500pa,6500pa,6500pa,
,循环风机吨生料电耗,8.1,6.1,6.3,
,尾排风机吨生料电耗,5.9,1.1,1.6,
,立磨主电机吨生料电耗,7.3,6.1,5.3,
9.0,生料电耗,18kw.h/t,,14kw.h/t,
10.0,尾排风机电流,≥80A,40A左右,40A左右,
11.0,头排风机电流,50A左右,35A左右,50A左右,
,预热器出口压力,5000pa左右,5000pa左右,5000pa左右,
,预热器出口温度,320~350,310,340,
,分解炉出口压力,680,780,980,
,分解炉出口温度,870~880,880℃,880℃,
,窑尾烟室温度,,1150~1200,1150~1200,
,窑尾负压,,300~400pa,300~400pa,
,三次风温,,950~1050℃,950~1050℃,
,二次风温,,≥1100℃,≥1100℃,
,窑头负压,,65pa左右,65pa左右,
,窑主电机电流,650~770A,650A,670A,
,AQC锅炉入口温度,,380~400℃,380~400℃,
,一次风压,,24kpa,24kpa,
,熟料温度,,150℃,150℃,
,篦床压力,,7000pa 6500pa 5500pa 4500pa 3500pa 2200pa,6200pa 5500pa 3850pa,
,实物煤耗,,150kg/t,150kg/t,
,熟料制造成本,,130~140元/吨,130~140元/吨,
