2022年-2022年-日期,1月营销计划-1月营销计划-关键字,1月营销计划-1月营销计划-活动热点,1月营销计划-1月营销计划-销售目标,Unnamed: 4,星期六-2022/1/1-元旦节,星期日-2022/1/2-卅十,星期一-2022/1/3-腊月,星期二-2022/1/4-初二,星期三-2022/1/5-小寒,星期四-2022/1/6-初四,星期五-2022/1/7-初五,Unnamed: 12,营销总结-营销总结-营销业绩,营销总结-营销总结-目标达成
1月1日,元旦,满减,48000,,2022/1/8,2022/1/9,2022/1/10,2022/1/11,2022/1/12,2022/1/13,2022/1/14,,46666,97.22%
1月10日,腊八节,礼品,38000,,初六,初七,腊八节,初九,初十,十一,十二,,39999,105.26%
1月25日,小年,礼品,42000,,2022/1/15,2022/1/16,2022/1/17,2022/1/18,2022/1/19,2022/1/20,2022/1/21,,40999,97.62%
1月29日,年货节,9.5折,55000,,十三,十四,十五,十六,十七,大寒,十九,,56666,103.03%
1月30日,年货节,9.0折,53000,,2022/1/22,2022/1/23,2022/1/24,2022/1/25,2022/1/26,2022/1/27,2022/1/28,,52321,98.72%
1月31日,年货节,8.8折,50000,,二十,廿一,廿二,小年,廿四,廿五,廿六,,46985,93.97%
,,,,,2022/1/29,2022/1/30,2022/1/31,2022/2/1,2022/2/2,2022/2/3,2022/2/4,,,
,,,,,廿七,廿八,除夕,春节,初二,初三,立春,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2022年,2月营销计划,2月营销计划,2月营销计划,,星期二,星期三,星期四,星期五,星期六,星期日,星期一,,营销总结,营销总结
2022年,2月营销计划,2月营销计划,2月营销计划,,2022/2/1,2022/2/2,2022/2/3,2022/2/4,2022/2/5,2022/2/6,2022/2/7,,营销总结,营销总结
日期,关键字,活动热点,销售目标,,春节,初二,初三,立春,初五,初六,初七,,营销业绩,目标达成
2月1日,新年,大额红包,26666,,2022/2/8,2022/2/9,2022/2/10,2022/2/11,2022/2/12,2022/2/13,2022/2/14,,22222,83.33%
2月14日,情人节,玫瑰赠品,38888,,初八,初九,初十,十一,十二,十三,情人节,,39999,102.86%
2月15日,元宵节,猜谜有奖,22000,,2022/2/15,2022/2/16,2022/2/17,2022/2/18,2022/2/19,2022/2/20,2022/2/21,,25555,116.16%
