现金流量表分析-编制单位：广东韶钢松山股份有限公司-2009年现金流入结构表,现金流量表分析-2009年现金流入结构表,现金流量表分析-所属行业：冶金-2009年现金流入结构表,现金流量表分析-所属行业：冶金-2009年现金流出结构表,现金流量表分析-2009年现金流出结构表,现金流量表分析-2009年现金流出结构表.1,现金流量表分析-单位：百万元-现金净流量结构表,现金流量表分析-单位：百万元-现金净流量结构表.1
项目,金额,结构百分比,项目,金额,结构百分比,金额,结构百分比
一、经营活动产生的现金流入量,,,一、经营活动产生的现金流出量,,,,
销售商品、提供劳务收到的现金,15784.47,99.12%,购买商品、接受劳务支付的现金,27884.91,91.18%,,
收到的税费返还,10.52,0.07%,支付给职工以及为职工支付的现金,1373.57,4.49%,,
收到其他与经营活动有关的现金,129.33,0.81%,支付的各项税费,1270.89,4.16%,,
,,0.00%,支付其他与经营活动有关的现金,51.9,0.17%,,
经营活动现金流入小计,15924.33,56.76%,经营活动现金流出小计,30581.26,75.75%,-14656.94,119.01%
,,,,,,,
,,,,,,,
二、投资活动产生的现金流入量,,,二、投资活动产生的现金流出量,,,,
处置固定资产、无形资产和其他长期资产收回的现金净额,17.01,100.00%,购建固定资产、无形资产和其他长期资产支付的现金,5376.88,100.00%,,
投资活动现金流入小计,17.01,0.06%,投资活动现金流出小计,5376.88,13.32%,-5359.87,43.52%
,,,,,,,
,,,,,,,
三、筹资活动产生的现金流入量,,,三、筹资活动产生的现金流出量,,,,
取得借款收到的现金,12115.93,100.00%,偿还债务支付的现金,3569.59,80.85%,,
,,,分配股利、利润或偿付利息支付的现金,948.6,21.48%,,
,,,支付其他与筹资活动有关的现金,-102.96,-2.33%,,
筹资活动现金流入小计,12115.93,43.18%,筹资活动现金流出小计,4415.24,10.94%,7700.7,-62.53%
,,,,,,,
,,,,,,,
现金流入合计：,28057.27,100.00%,现金流出合计：,40373.38,100.00%,-12316.11,100.00%
,,,,,,,
问题；这是该公司09年的合并的现金流量表吗？你再确认一下。最后如果是这张表我验证后不是的话，后果很严重的！,,,,,,,
现金流量表的分析：,,,,,,,
1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差
1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差,1.从整体上来看，现金流量为负，企业现金流量有所减少；从现金流量的来源分析，来自于经营活动的现金流量所占总的现金流量相对较少，筹资活动中的现金流量所占比重相对较高。本期经营成果较差
2.从结构上来看，属于--+结构。即现金流的来源分为两部分，一部分是来源于经营活动，另一部分则来源于筹资活动。企业现金流量不稳定，即存在大量的借债（由资产负债表可知为短期借款）；——解释不对哦！,2.从结构上来看，属于--+结构。即现金流的来源分为两部分，一部分是来源于经营活动，另一部分则来源于筹资活动。企业现金流量不稳定，即存在大量的借债（由资产负债表可知为短期借款）；——解释不对哦！,2.从结构上来看，属于--+结构。即现金流的来源分为两部分，一部分是来源于经营活动，另一部分则来源于筹资活动。企业现金流量不稳定，即存在大量的借债（由资产负债表可知为短期借款）；——解释不对哦！,2.从结构上来看，属于--+结构。即现金流的来源分为两部分，一部分是来源于经营活动，另一部分则来源于筹资活动。企业现金流量不稳定，即存在大量的借债（由资产负债表可知为短期借款）；——解释不对哦！,2.从结构上来看，属于--+结构。即现金流的来源分为两部分，一部分是来源于经营活动，另一部分则来源于筹资活动。企业现金流量不稳定，即存在大量的借债（由资产负债表可知为短期借款）；——解释不对哦！,2.从结构上来看，属于--+结构。即现金流的来源分为两部分，一部分是来源于经营活动，另一部分则来源于筹资活动。企业现金流量不稳定，即存在大量的借债（由资产负债表可知为短期借款）；——解释不对哦！,2.从结构上来看，属于--+结构。即现金流的来源分为两部分，一部分是来源于经营活动，另一部分则来源于筹资活动。企业现金流量不稳定，即存在大量的借债（由资产负债表可知为短期借款）；——解释不对哦！,2.从结构上来看，属于--+结构。即现金流的来源分为两部分，一部分是来源于经营活动，另一部分则来源于筹资活动。企业现金流量不稳定，即存在大量的借债（由资产负债表可知为短期借款）；——解释不对哦！
