中国银行网点转型装修广告标识及材料表-序号-序号,中国银行网点转型装修广告标识及材料表-品名及材料-品名及材料,中国银行网点转型装修广告标识及材料表-规格(mm)-规格(mm),中国银行网点转型装修广告标识及材料表-单位-单位,中国银行网点转型装修广告标识及材料表-数量-数量,中国银行网点转型装修广告标识及材料表-金额-单价,中国银行网点转型装修广告标识及材料表-金额-小计,中国银行网点转型装修广告标识及材料表-备注-备注
1,双面超薄导光板灯箱,665mmX910mm,套,,¥700.00,,"亮银铝型材,专用T4灯.不锈钢拉杆.写真专用灯片制作"
2,中国银行灯箱           24小时灯箱,400mmX500mm,套,2.0,¥600.00,,"烤漆铝型材,专用日光灯灯.不锈钢拉杆.制安"
3,"铝板型材所名牌,营业时间牌",400mmX480mm     450X370,块,2.0,¥320.00,,"铝板型板,制版丝印."
4,电视机海报写真          铝管海报架,1800X600mm,幅,2.0,¥100.00,,"写真海报裱厚塑打扣,  铝管,钢丝,钢丝锁制安."
5,"有机板+刻字            (个人业务,公司业务)",,块,3.0,,,"有机板, (个人业务,公司业务)"
6,玻璃行徽腰线防撞线(红,,套,,¥100.00,,威丝柏中国银行 红.
7,"亚菲拉喷绘灯箱   (5mm有机板,不锈钢折边",,,,,,"(5mm透明有机板,不锈钢折边.喷绘制安"
8,现金柜台背景墙        亚克力喷绘形象墙,,幅,8.0,¥60.00,,"共8幅形象拼图,广告钉亚克力制安"
9,ATM机使用说明灯片,,,,¥60.00,,"有机板,写真灯片,镜钉制安"
10,招牌烤漆铁皮字,,,,,,
11,服务台刻字logo,,套,1.0,,,"奥运标志,中国行标志组合(600mm)"
12,24小时服务区刻字+玻璃门刻字,,套,1.0,,,"""推拉,自动门"""
13,,,,,,,
14,其它材料,,,,,,
15,中行遮光卷帘,,m2,,,,
16,招牌射灯制安,,套,,,,(亚明     W)10厚不锈钢撑架.
17,,,,,,,
18,,,,,,,
