订单日期,订单类别,客户单位,订单号,商品名称,付款期限,订单金额,发货日期,开票日期,付款日期,到期提醒,是否付款
2021/7/25,合同订单,HT单位-001,HTDW-10231,AAAAD-15,30,"￥72,000.00",2021/8/1,2021/8/1,2021/8/24,已到期,✔是
2021/7/26,合同订单,HT单位-002,HTDW-10232,AAAAD-16,30,"￥8,200.00",2021/8/2,2021/8/2,2021/8/25,已到期,×否
2021/7/27,合同订单,HT单位-003,HTDW-10233,AAAAD-17,30,"￥9,300.00",2021/8/3,2021/8/3,2021/8/26,已到期,✔是
2021/7/28,合同订单,HT单位-004,HTDW-10234,AAAAD-18,30,"￥6,220.00",2021/8/4,2021/8/4,2021/8/27,已到期,×否
2021/7/14,合同订单,HT单位-005,HTDW-10235,AAAAD-19,30,"￥8,200.00",2021/8/5,2021/8/5,2021/8/13,已到期,✔是
2021/7/30,合同订单,HT单位-006,HTDW-10236,AAAAD-20,30,"￥9,300.00",2021/8/6,2021/8/6,2021/8/29,已到期,×否
2021/7/31,合同订单,HT单位-007,HTDW-10237,AAAAD-21,30,"￥16,220.00",2021/8/7,2021/8/7,2021/8/30,已到期,✔是
2021/8/1,合同订单,HT单位-008,HTDW-10238,AAAAD-22,30,"￥8,542.00",2021/8/8,2021/8/8,2021/8/31,已到期,×否
2021/8/2,合同订单,HT单位-009,HTDW-10239,AAAAD-23,30,"￥8,200.00",2021/8/9,2021/8/9,2021/9/1,已到期,✔是
2021/8/3,合同订单,HT单位-010,HTDW-10240,AAAAD-24,30,"￥9,300.00",2021/8/10,2021/8/10,2021/9/2,已到期,×否
2021/8/4,合同订单,HT单位-011,HTDW-10241,AAAAD-25,30,"￥5,294.00",2021/8/11,2021/8/11,2021/9/3,已到期,✔是
2021/7/25,合同订单,HT单位-012,HTDW-10242,AAAAD-26,30,"￥-2,825.78",2021/8/12,2021/8/12,2021/8/24,已到期,✔是
2021/7/26,合同订单,HT单位-013,HTDW-10243,AAAAD-27,30,"￥-5,732.75",2021/8/13,2021/8/13,2021/8/25,已到期,×否
2021/7/27,合同订单,HT单位-014,HTDW-10244,AAAAD-28,30,"￥-8,639.71",2021/8/14,2021/8/14,2021/8/26,已到期,✔是
2021/7/28,合同订单,HT单位-015,HTDW-10245,AAAAD-29,30,"￥-11,546.67",2021/8/15,2021/8/15,2021/8/27,已到期,×否
2021/7/14,合同订单,HT单位-016,HTDW-10246,AAAAD-30,30,"￥-14,453.64",2021/8/16,2021/8/16,2021/8/13,已到期,✔是
2021/7/30,合同订单,HT单位-017,HTDW-10247,AAAAD-31,30,"￥-17,360.60",2021/8/17,2021/8/17,2021/8/29,已到期,×否
2021/7/31,合同订单,HT单位-018,HTDW-10248,AAAAD-32,30,"￥-20,267.56",2021/8/18,2021/8/18,2021/8/30,已到期,✔是
2021/8/1,合同订单,HT单位-019,HTDW-10249,AAAAD-33,30,"￥-23,174.53",2021/8/19,2021/8/19,2021/8/31,已到期,×否
2021/8/2,合同订单,HT单位-020,HTDW-10250,AAAAD-34,30,"￥-26,081.49",2021/8/20,2021/8/20,2021/9/1,已到期,✔是
2021/8/3,合同订单,HT单位-021,HTDW-10251,AAAAD-35,30,"￥-28,988.45",2021/8/21,2021/8/21,2021/9/2,已到期,×否
