市场部考核方案-岗位,市场部考核方案-姓名,市场部考核方案-岗位工资,市场部考核方案-考核项目,市场部考核方案-考核标准,市场部考核方案-权重,市场部考核方案-提成方案
市场部经理,,900元,来店量（当月销量/留有资料率/成交率=来店量）,达成率低于80%无提成，80%以上按实际达成率提成,30%,销售台数×20元
"市场部经理
",,900元,成交率,达成率低于80%无提成，80%以上按实际达成率提成,20%,销售台数×20元
"市场部经理
",,900元,活动次数,店头及外展等促进来店活动（单月2—3次，全年30次左右）,20%,销售台数×20元
"市场部经理
",,900元,总部MISS系统集分,根据总部系统积分考核进行计算评估,20%,销售台数×20元
"市场部经理
",,900元,媒体爆光率,每月引导媒体报道1-2篇,10%,销售台数×20元
活动专员,,600元,来店量（当月销量/留有资料率/成交率=来店量）,达成率低于80%无提成，80%以上按实际达成率提成,20%,销售台数×10元
活动专员,,600元,成交率,达成率低于80%无提成，80%以上按实际达成率提成,10%,销售台数×10元
活动专员,,600元,营销活动,店头及外展等促进来店活动（单月2—3次，全年30次左右）,20%,销售台数×10元
活动专员,,600元,营销活动,制定专营店季度月度营销活动计划，活动方案的策划，包括明确的活动目的、活动效果预估、活动总结、达成分析等，并按时上传总部,30%,销售台数×10元
活动专员,,600元,总部MISS系统集分,根据总部系统积分考核进行计算评估,10%,销售台数×10元
活动专员,,600元,媒体爆光率,每月引导媒体报道1-2篇,10%,销售台数×10元
广宣专员,,600元,来店量（当月销量/留有资料率/成交率=来店量）,达成率低于80%无提成，80%以上按实际达成率提成,20%,销售台数×10元
广宣专员,,600元,成交率,达成率低于80%无提成，80%以上按实际达成率提成,10%,销售台数×10元
广宣专员,,600元,展厅布置,按照总部的展厅布置规范结合实际及时更换布置物。,10%,销售台数×10元
广宣专员,,600元,广告宣传,按要求制定广宣计划实施表，及时发布相应时段的广告宣传,25%,销售台数×10元
广宣专员,,600元,广告宣传,按照商务规定以及广告补贴规范整理广补资料，季度邮寄广补资料。,15%,销售台数×10元
广宣专员,,600元,总部MISS系统集分,根据总部系统积分考核进行计算评估,10%,销售台数×10元
广宣专员,,600元,媒体爆光率,每月引导媒体报道1-2篇,10%,销售台数×10元
信息统计,,600元,数据统计,每天认真统计来店量、留有资料量、试乘试驾量等，进行及时登记汇总整理，每天六点汇总上报数据，并确保数据的准确性；,60%,来店量批次×0.5元
信息统计,,600元,数据分析,在统计中针对实际情况进行数据分析，查漏补缺完善统计工作，对来店量、试乘试驾进行日分析、周分析、月度分析工作，作为指导工作的依据；,30%,来店量批次×0.5元
信息统计,,600元,工作态度,认真负责、踏实统计数据,10%,来店量批次×0.5元
注：目标达成率低于80％当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80％当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80％当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80％当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80％当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80％当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80％当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。
