行政部考核方案-岗位-行政部经理,行政部考核方案-姓名,行政部考核方案-基本工资-900元,行政部考核方案-考核项目-1、5S检查及后勤管理（包括保洁、宿舍、食堂）。,行政部考核方案-考核标准-1、每天按日产要求对卫生间进行检查，并填写《卫生间检查记录表》。,行政部考核方案-权重-5%,行政部考核方案-提成办法-绩效工资600元,Unnamed: 7,Unnamed: 8,Unnamed: 9
行政部经理,,900元,1、5S检查及后勤管理（包括保洁、宿舍、食堂）。,2、每天按5S标准对人员和卫生进行检查。,5%,绩效工资600元,,,
行政部经理,,900元,1、5S检查及后勤管理（包括保洁、宿舍、食堂）。,3、不定时抽查宿舍卫生，掌握宿舍人员流动情况并做好登记。,5%,绩效工资600元,,,
行政部经理,,900元,1、5S检查及后勤管理（包括保洁、宿舍、食堂）。,4、每周不定时检查食堂卫生，要求食堂整体保持洁静。,5%,绩效工资600元,,,
行政部经理,,900元,1、5S检查及后勤管理（包括保洁、宿舍、食堂）。,5、对上报的安全隐患及时做出解决措施并督促勤杂工及时处理。,5%,绩效工资600元,,,
行政部经理,,900元,2、公司物业管理，包括公司固定资产的管理、检查、维修及房屋修缮。,1、定期按《公司固定资产登记表》对固定资产进行清查，资产变动随时更新。,5%,绩效工资600元,,,
行政部经理,,900元,2、公司物业管理，包括公司固定资产的管理、检查、维修及房屋修缮。,1、定期按《公司固定资产登记表》对固定资产进行清查，资产变动随时更新。,5%,绩效工资600元,,,
行政部经理,,900元,2、公司物业管理，包括公司固定资产的管理、检查、维修及房屋修缮。,2、每月对房屋及设施进行检查，填写检查记录表，并及时维修。,5%,绩效工资600元,,,
行政部经理,,900元,2、公司物业管理，包括公司固定资产的管理、检查、维修及房屋修缮。,2、每月对房屋及设施进行检查，填写检查记录表，并及时维修。,5%,绩效工资600元,,,
行政部经理,,900元,2、公司物业管理，包括公司固定资产的管理、检查、维修及房屋修缮。,3、对突发事件及时维修处理。,5%,绩效工资600元,,,
行政部经理,,900元,3、保安的管理,1、随时对保安工作质量进行抽查。,5%,绩效工资600元,,,
行政部经理,,900元,3、保安的管理,2、每天下班检查当日《门卫出入车登记表》和出门证并存档。,5%,绩效工资600元,,,
行政部经理,,900元,3、保安的管理,2、每天下班检查当日《门卫出入车登记表》和出门证并存档。,5%,绩效工资600元,,,
行政部经理,,900元,3、保安的管理,3、负责公司内部治安管理工作。维护内部治安秩序，搞好治安综合治理，预防犯罪和治安灾害事故的发生，保护公司财产的安全，确保生产、工作的顺利进行。,5%,绩效工资600元,,,
行政部经理,,900元,3、保安的管理,3、负责公司内部治安管理工作。维护内部治安秩序，搞好治安综合治理，预防犯罪和治安灾害事故的发生，保护公司财产的安全，确保生产、工作的顺利进行。,5%,绩效工资600元,,,
行政部经理,,900元,4、外联事宜,1、根据公司需要及时联络相关事宜。,5%,绩效工资600元,,,
行政部经理,,900元,4、外联事宜,2、保证联络信息无误，及时准确传达相关人员。,5%,绩效工资600元,,,
行政部经理,,900元,5、车辆及加油票的管理。,1、负责车辆使用的登记，每月查询公司车辆违章记录并督办清理。,5%,绩效工资600元,,,
行政部经理,,900元,5、车辆及加油票的管理。,2、要求开具油票详细、准确，并监督相关人员进行登记，做好存档。,5%,绩效工资600元,,,
行政部经理,,900元,5、车辆及加油票的管理。,3、每月10日向财务部上报《各部门油耗使用分析报表》,5%,绩效工资600元,,,
行政部经理,,900元,5、车辆及加油票的管理。,4、每月5日前对油票进行整理统计，并和加油站对账。,5%,绩效工资600元,,,
行政部经理,,900元,6、会议的组织和筹备,1、通知会议时间、地点准确，参会人员准时参加。,5%,绩效工资600元,,,
行政部经理,,900元,7、费用管控,1、每月对各类费用按计划进行管控,10%,绩效工资600元,,,
行政文秘,,500元,1、各类工联单的起草、审核和督办。,1、要求工联单格式、字体严格按照东风日产标准，内容清晰。,10%,绩效工资400元,,,
行政文秘,,500元,1、各类工联单的起草、审核和督办。,2、做到工联单内容完整、准确，对部门内工联单进行分类保存。,5%,绩效工资400元,,,
行政文秘,,500元,2、邮件收发和信息反馈。,1、每天随时收发内、外部相关邮件，并及时反馈相关信息。,5%,绩效工资400元,,,
行政文秘,,500元,2、邮件收发和信息反馈。,2、对东风日产重要文件进行文本和电子版保存。,5%,绩效工资400元,,,
行政文秘,,500元,3、教材、光盘的管理。,1、要求教材、光盘保存完整并分类登记。,10%,绩效工资400元,,,
行政文秘,,500元,3、教材、光盘的管理。,2、借阅登记要详细，每月进行清查。,5%,绩效工资400元,,,
行政文秘,,500元,4、公司各类文档、合同资料的管理。,1、要求合同、资料登记详细清晰，分类存档。,5%,绩效工资400元,,,
行政文秘,,500元,4、公司各类文档、合同资料的管理。,2、对各类报表、工联单分类存档，年度整理装订成册存档。,5%,绩效工资400元,,,
行政文秘,,500元,5、办公用品的管理。,1、领用办公用品并按部门登记在《办公用品领用登记表》上。,5%,绩效工资400元,,,
行政文秘,,500元,5、办公用品的管理。,2、每月10日上报《办公用品领用汇总表》。,5%,绩效工资400元,,,
行政文秘,,500元,6、仓库的管理.,"1、熟悉仓库物品存放数量、位置,及时制定短缺物品的采购计划。",10%,绩效工资400元,,,
行政文秘,,500元,6、仓库的管理.,2、领用仓库物品时监督领用人做好登记工作.做到登记准确无遗漏,5%,绩效工资400元,,,
行政文秘,,500元,7、各类报表的上报。,1、每月15日前向人力资源部上报各类扣款报表,10%,绩效工资400元,,,
行政文秘,,500元,7、各类报表的上报。,"2、做到数据统计准确无误,并对相关报表进行分析作出总结。",5%,绩效工资400元,,,
行政文秘,,500元,8、文件、信件的收发传送,1、要求文件、信件传送及时并登记在登记本上。,5%,绩效工资400元,,,
行政文秘,,500元,9、钥匙、工牌的领用。,1、各类钥匙和员工工牌的领用，登记在《领用登记表》上。,5%,绩效工资400元,,,
网管,,800元,1、负责公司计算机设备的维护及所有软件的维护。,1、保障公司网络畅通，每台计算机设备正常工作。,20%,绩效工资600元,,,
网管,,800元,1、负责公司计算机设备的维护及所有软件的维护。,2、建立详细完整的设备档案，并定期对设备进行检查、维护。,15%,绩效工资600元,,,
网管,,800元,2、负责专营店内部系统网络集中授权管理。,1、负责DMS系统的安装、升级、改造，故障检查、排除并负责DMS系统相关人员授权管理,5%,绩效工资600元,,,
网管,,800元,2、负责专营店内部系统网络集中授权管理。,2、负责E3S系统的安装、升级、改造，故障检查、排除，并对授权证书进行统一管理,5%,绩效工资600元,,,
网管,,800元,2、负责专营店内部系统网络集中授权管理。,3、负责行动业代系统的安装、升级、改造，故障检查、排除,5%,绩效工资600元,,,
网管,,800元,2、负责专营店内部系统网络集中授权管理。,4、负责PDA系统的安装、升级、改造，故障检查、排除，解决在PDA同步时的问题,5%,绩效工资600元,,,
网管,,800元,2、负责专营店内部系统网络集中授权管理。,5、负责二手车系统的安装、升级、改造，故障检查、排除。,5%,绩效工资600元,,,
网管,,800元,2、负责专营店内部系统网络集中授权管理。,6、负责用友财务通软件系统的安装、升级、改造，故障检查、排除,5%,绩效工资600元,,,
网管,,800元,3、负责计算机和打印机等办公设备、耗材的采购和维护管理工作。,1、要求办公设备保持正常工作。,5%,绩效工资600元,,,
网管,,800元,3、负责计算机和打印机等办公设备、耗材的采购和维护管理工作。,2、采购及时，外联维修及时。,5%,绩效工资600元,,,
网管,,800元,4、公司办公用品采购,1、采购及时,5%,绩效工资600元,,,
网管,,800元,5、负责通讯设备的管理，如电话安装、移机、故障检修和外联维修工作。,1、通讯线路正常，故障联系及时，不影响正常工作。,5%,绩效工资600元,,,
网管,,800元,6、电脑违规使用情况的检查,1、随时抽查，发现违规操作及时上报处罚。,5%,绩效工资600元,,,
网管,,800元,7、体育文化生活的组织开展。,1、负责定期组织员工体育文化生活，两个月组织一次。,10%,绩效工资600元,,,
保洁,,500元,1、展厅卫生,1、保持展厅玻璃干净明亮,10%,绩效工资150元,,,
保洁,,500元,1、展厅卫生,2、保持展厅门口店名，营业时间标的清洁识,10%,绩效工资150元,,,
保洁,,500元,1、展厅卫生,3、保持展厅地面，走廊，楼梯扶手，展厅外围台阶及各个角落的清洁。,20%,绩效工资150元,,,
保洁,,500元,2、一、二楼卫生间卫生,1、保持卫生的清洁,20%,绩效工资150元,,,
保洁,,500元,3、会议室和培训室卫生,1、每天打扫，保持清洁,15%,绩效工资150元,,,
保洁,,500元,4、男女更衣室卫生,1、每天打扫，保持清洁,15%,绩效工资150元,,,
保洁,,500元,5、各办公室垃圾清理,1、每天及时清理。,10%,绩效工资150元,,,
勤杂工,,500元,1、展厅外围区域的卫生,1、每天随时清扫卫生区，保持干净无明显杂务,30%,绩效工资150元,,,
勤杂工,,500元,2、草坪的修剪,1、保持草坪的美观,20%,绩效工资150元,,,
勤杂工,,500元,3、简单的房屋设施的维修,1、及时修理破寻损设施，消除安全隐患,20%,绩效工资150元,,,
勤杂工,,500元,4、公司换热战，水泵房的管理,1、保持换热站机器正常运行,10%,绩效工资150元,,,
勤杂工,,500元,4、公司换热战，水泵房的管理,2、保持公司的正常用水,10%,绩效工资150元,,,
勤杂工,,500元,4、公司换热战，水泵房的管理,3、对设备存在的安全隐患及时上报,10%,绩效工资150元,,,
食堂员,,700元,负责食堂卫生及饭菜质量工作,1、保持卫生状况的清洁,30%,绩效工资500元,,,
食堂员,,700元,负责食堂卫生及饭菜质量工作,2、保证饭菜质量,30%,绩效工资500元,,,
食堂员,,500元,负责食堂卫生及饭菜质量工作,3、品种花样,20%,绩效工资100元,,,
食堂员,,500元,负责食堂卫生及饭菜质量工作,4、饭菜数量要适当,20%,绩效工资100元,,,
注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。
