销售部绩效考核方案（其他人员）-岗位,销售部绩效考核方案（其他人员）-姓名,销售部绩效考核方案（其他人员）-基本工资,销售部绩效考核方案（其他人员）-考核项目,销售部绩效考核方案（其他人员）-考核标准,销售部绩效考核方案（其他人员）-权重,销售部绩效考核方案（其他人员）-提成办法
销售主管,,900元,1、销售车辆（交车）目标,按当月下达指标考核,20%,30元/台，交车完成率低于80%没提成，交车超出目标部分提成40元/台。
销售主管,,900元,2、新车保险出单率,≥80%,15%,30元/台，交车完成率低于80%没提成，交车超出目标部分提成40元/台。
销售主管,,900元,3、精品单台着装率,≥800元,15%,30元/台，交车完成率低于80%没提成，交车超出目标部分提成40元/台。
销售主管,,900元,4、SSI成绩,高于平均落实度92分、平均满意度90分，SSI九项重点管理因子至少达标七项,20%,30元/台，交车完成率低于80%没提成，交车超出目标部分提成40元/台。
销售主管,,900元,5、展厅管理,按5S标准考核,10%,30元/台，交车完成率低于80%没提成，交车超出目标部分提成40元/台。
销售主管,,900元,6、销售顾问PDA使用的管理、总部报表上传考核、月度工作计划总结的考核；,,5%,30元/台，交车完成率低于80%没提成，交车超出目标部分提成40元/台。
销售主管,,900元,7、销售部各项业务数据的及时统计及数据资料的管理考核,,5%,30元/台，交车完成率低于80%没提成，交车超出目标部分提成40元/台。
销售主管,,900元,8、人员工作纪律管理考核,,5%,30元/台，交车完成率低于80%没提成，交车超出目标部分提成40元/台。
销售主管,,900元,9、日常工作表现,,5%,30元/台，交车完成率低于80%没提成，交车超出目标部分提成40元/台。
大宗客户专员,,900元,1、销售目标（交车）,按当月下达指标考核,20%,1、补助工资：400元，补助发放条件：完成销售部下达销售目标。                                                                                                         2、当月销售顾问产生符合大宗政策的定单及时将大宗专员所需要的资料报备大宗专员，申报成功后销售顾问提成增加100元/台，大宗专员提成100元/台。                                                                                                                            3、大宗专员自销售车辆见销售顾问提成
大宗客户专员,,900元,2、新车保险率,≥50%,15%,1、补助工资：400元，补助发放条件：完成销售部下达销售目标。                                                                                                         2、当月销售顾问产生符合大宗政策的定单及时将大宗专员所需要的资料报备大宗专员，申报成功后销售顾问提成增加100元/台，大宗专员提成100元/台。                                                                                                                            3、大宗专员自销售车辆见销售顾问提成
大宗客户专员,,900元,3、精品单台着装率,≥400元/台,15%,1、补助工资：400元，补助发放条件：完成销售部下达销售目标。                                                                                                         2、当月销售顾问产生符合大宗政策的定单及时将大宗专员所需要的资料报备大宗专员，申报成功后销售顾问提成增加100元/台，大宗专员提成100元/台。                                                                                                                            3、大宗专员自销售车辆见销售顾问提成
大宗客户专员,,900元,4、SSI成绩,高于平均落实度92分、平均满意度90分，SSI九项重点管理因子至少达标七项,20%,1、补助工资：400元，补助发放条件：完成销售部下达销售目标。                                                                                                         2、当月销售顾问产生符合大宗政策的定单及时将大宗专员所需要的资料报备大宗专员，申报成功后销售顾问提成增加100元/台，大宗专员提成100元/台。                                                                                                                            3、大宗专员自销售车辆见销售顾问提成
大宗客户专员,,900元,5、市场开发资料上传考核,,5%,1、补助工资：400元，补助发放条件：完成销售部下达销售目标。                                                                                                         2、当月销售顾问产生符合大宗政策的定单及时将大宗专员所需要的资料报备大宗专员，申报成功后销售顾问提成增加100元/台，大宗专员提成100元/台。                                                                                                                            3、大宗专员自销售车辆见销售顾问提成
大宗客户专员,,900元,6、大宗营销活动,每月一次,10%,1、补助工资：400元，补助发放条件：完成销售部下达销售目标。                                                                                                         2、当月销售顾问产生符合大宗政策的定单及时将大宗专员所需要的资料报备大宗专员，申报成功后销售顾问提成增加100元/台，大宗专员提成100元/台。                                                                                                                            3、大宗专员自销售车辆见销售顾问提成
大宗客户专员,,900元,7、大宗信息反馈、商务政策内部培训的及时性、准确性的考核；,98%,5%,1、补助工资：400元，补助发放条件：完成销售部下达销售目标。                                                                                                         2、当月销售顾问产生符合大宗政策的定单及时将大宗专员所需要的资料报备大宗专员，申报成功后销售顾问提成增加100元/台，大宗专员提成100元/台。                                                                                                                            3、大宗专员自销售车辆见销售顾问提成
大宗客户专员,,900元,8、自身5S,,5%,1、补助工资：400元，补助发放条件：完成销售部下达销售目标。                                                                                                         2、当月销售顾问产生符合大宗政策的定单及时将大宗专员所需要的资料报备大宗专员，申报成功后销售顾问提成增加100元/台，大宗专员提成100元/台。                                                                                                                            3、大宗专员自销售车辆见销售顾问提成
大宗客户专员,,900元,9、日常工作表现,,5%,1、补助工资：400元，补助发放条件：完成销售部下达销售目标。                                                                                                         2、当月销售顾问产生符合大宗政策的定单及时将大宗专员所需要的资料报备大宗专员，申报成功后销售顾问提成增加100元/台，大宗专员提成100元/台。                                                                                                                            3、大宗专员自销售车辆见销售顾问提成
业务助理,,700元,1、上传资料计划、订车及时率,90%以上,15%,20元/台，交车完成率低于80%没提成，交车超出目标部分提成25元/台。
业务助理,,700元,2、库存周转率,80%以上,20%,20元/台，交车完成率低于80%没提成，交车超出目标部分提成25元/台。
业务助理,,700元,3、E-3S系统资料录入的准确性,98%以上,25%,20元/台，交车完成率低于80%没提成，交车超出目标部分提成25元/台。
业务助理,,700元,4、看板、资料管理准确率,98%以上,10%,20元/台，交车完成率低于80%没提成，交车超出目标部分提成25元/台。
业务助理,,700元,5、信息回复的及时准确和乘用车公司通报未交的信息反馈,98%以上,15%,20元/台，交车完成率低于80%没提成，交车超出目标部分提成25元/台。
业务助理,,700元,6、销售部文件柜内各种文件的及时储备,,5%,20元/台，交车完成率低于80%没提成，交车超出目标部分提成25元/台。
业务助理,,700元,7、日常工作表现、对统一员工的服务态度,,10%,20元/台，交车完成率低于80%没提成，交车超出目标部分提成25元/台。
新车库管,,500元,1、商品车的验收及日常管理,,20%,交车台数×2元
新车库管,,500元,2、试乘试驾车的管理（包括及时清洁及时保养等工作）,按5S标准考核,20%,交车台数×2元
新车库管,,500元,3、商品车及试乘试驾车钥匙的管理,,20%,交车台数×2元
新车库管,,500元,4、商品车及试乘试驾车油卡的管理,,20%,交车台数×2元
新车库管,,500元,5、自身5S,,10%,交车台数×2元
新车库管,,500元,6、日常工作表现、对统一员工的服务态度,,10%,交车台数×2元
培训讲师（现由销售主管兼职）,,见销售主管工资,销售主管考核内容,,,销售主管提成，培训补贴400元，补贴发放条件：完成销售部下达培训目标。
注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。
