客户服务部考核方案-岗位,客户服务部考核方案-姓名,客户服务部考核方案-基本工资,客户服务部考核方案-考核项目,客户服务部考核方案-考核标准,客户服务部考核方案-权重,客户服务部考核方案-提成办法,Unnamed: 7
客户服务部主管,,1000元,精品销售目标,按当月下达目标考核,20%,"1、完成当月任务80％以下，没有提成；                             2、完成当月任务80％－100％提成按其营业额的3％，其他部门按1%；                                            3、完成当月任务100％以上，超额部分提成按超额营业额的5％。            汽车消贷50元/车                   普通会员提成   1元                                                  金卡会员提成   2元
钻卡会员提成   4元",
客户服务部主管,,1000元,俱乐部会员入会目标,按当月下达目标考核,20%,"1、完成当月任务80％以下，没有提成；                             2、完成当月任务80％－100％提成按其营业额的3％，其他部门按1%；                                            3、完成当月任务100％以上，超额部分提成按超额营业额的5％。            汽车消贷50元/车                   普通会员提成   1元                                                  金卡会员提成   2元
钻卡会员提成   4元",
客户服务部主管,,1000元,汽车销贷目标,按当月下达目标考核,20%,"1、完成当月任务80％以下，没有提成；                             2、完成当月任务80％－100％提成按其营业额的3％，其他部门按1%；                                            3、完成当月任务100％以上，超额部分提成按超额营业额的5％。            汽车消贷50元/车                   普通会员提成   1元                                                  金卡会员提成   2元
钻卡会员提成   4元",
客户服务部主管,,1000元,精品销售各项数据的及时统计和数据资料的管理考核及月度工作计划总结的考核,,15%,"1、完成当月任务80％以下，没有提成；                             2、完成当月任务80％－100％提成按其营业额的3％，其他部门按1%；                                            3、完成当月任务100％以上，超额部分提成按超额营业额的5％。            汽车消贷50元/车                   普通会员提成   1元                                                  金卡会员提成   2元
钻卡会员提成   4元",
客户服务部主管,,1000元,新产品和新服务项目的开发及产品知识的培训,每月开拓1—2项新产品，培训1—2次,15%,"1、完成当月任务80％以下，没有提成；                             2、完成当月任务80％－100％提成按其营业额的3％，其他部门按1%；                                            3、完成当月任务100％以上，超额部分提成按超额营业额的5％。            汽车消贷50元/车                   普通会员提成   1元                                                  金卡会员提成   2元
钻卡会员提成   4元",
客户服务部主管,,1000元,日常工作表现、自身5S,自身5S符合公司要求标准、工作态度积极上进,10%,"1、完成当月任务80％以下，没有提成；                             2、完成当月任务80％－100％提成按其营业额的3％，其他部门按1%；                                            3、完成当月任务100％以上，超额部分提成按超额营业额的5％。            汽车消贷50元/车                   普通会员提成   1元                                                  金卡会员提成   2元
钻卡会员提成   4元",
活动专员,,800元,汽车销贷目标,根据销售部当月销贷数量完成目标量,30%,"办理汽车消贷200元/车
办理会员检本10元/本
办理会员车辆年检10元/车",
活动专员,,800元,会员活动,制定专营店季度、月度会员活动计划，活动方案的策划，包括明确的活动目的、活动效果预估、活动总结等,40%,"办理汽车消贷200元/车
办理会员检本10元/本
办理会员车辆年检10元/车
",
活动专员,,800元,会员活动,制定专营店季度、月度会员活动计划，活动方案的策划，包括明确的活动目的、活动效果预估、活动总结等,40%,"办理汽车消贷200元/车
办理会员检本10元/本
办理会员车辆年检10元/车
",
活动专员,,800元,俱乐部会员附加值业务的开拓,每月开拓1—2项附加值业务,10%,"办理汽车消贷200元/车
办理会员检本10元/本
办理会员车辆年检10元/车
",
活动专员,,800元,对同业竞争机构信息的收集和反馈，并做出分析报告,每月做出1—2篇分析报告,10%,"办理汽车消贷200元/车
办理会员检本10元/本
办理会员车辆年检10元/车
",
活动专员,,800元,日常工作表现、自身5S,自身5S符合公司要求标准、工作态度积极上进,10%,"办理汽车消贷200元/车
办理会员检本10元/本
办理会员车辆年检10元/车
",
会员专员,,600元,会员入会量,入会率低于当月任务80%无提成，80%以上按实际达成率提成,30%,"吸纳一名普通会员提成   4元                                                  吸纳一名金卡会员提成   8元
吸纳一名钻卡会员提成   16元
会员购买精品：完成当月任务80％以下，没有提成；完成80％－100％提成按个人总营业额的4％；完成当月任务100％以上，超额部分提成按个人超额营业额的6％。",
会员专员,,600元,精品销售额,精品销售额低于当月任务80%无提成，80%以上按实际达成率提成,20%,"吸纳一名普通会员提成   4元                                                  吸纳一名金卡会员提成   8元
吸纳一名钻卡会员提成   16元
会员购买精品：完成当月任务80％以下，没有提成；完成80％－100％提成按个人总营业额的4％；完成当月任务100％以上，超额部分提成按个人超额营业额的6％。
",
会员专员,,600元,会员资料的管理,1.各车型每月申请资料的管理                   2.各种会员单据的管理,20%,"吸纳一名普通会员提成   4元                                                  吸纳一名金卡会员提成   8元
吸纳一名钻卡会员提成   16元
会员购买精品：完成当月任务80％以下，没有提成；完成80％－100％提成按个人总营业额的4％；完成当月任务100％以上，超额部分提成按个人超额营业额的6％。
",
会员专员,,600元,会员数据分析,1.每月统计一次会员入会数量、退会数量          2.每月统计一次会员存款和积分情况,20%,"吸纳一名普通会员提成   4元                                                  吸纳一名金卡会员提成   8元
吸纳一名钻卡会员提成   16元
会员购买精品：完成当月任务80％以下，没有提成；完成80％－100％提成按个人总营业额的4％；完成当月任务100％以上，超额部分提成按个人超额营业额的6％。
",
会员专员,,600元,日常工作表现、自身5S,自身5S符合公司要求标准、工作态度积极上进,10%,"吸纳一名普通会员提成   4元                                                  吸纳一名金卡会员提成   8元
吸纳一名钻卡会员提成   16元
会员购买精品：完成当月任务80％以下，没有提成；完成80％－100％提成按个人总营业额的4％；完成当月任务100％以上，超额部分提成按个人超额营业额的6％。
",
精品销售顾问,,600元,销售目标,按当月下达目标考核,35%,1、完成当月任务80％以下，没有提成；                             2、完成80％－100％提成按个人总营业额的4％；                          3、完成当月任务100％以上，超额部分提成按个人超额营业额的6％。,
精品销售顾问,,600元,精品销售数据的及时准确率,准确率98%,20%,1、完成当月任务80％以下，没有提成；                             2、完成80％－100％提成按个人总营业额的4％；                          3、完成当月任务100％以上，超额部分提成按个人超额营业额的6％。,
精品销售顾问,,600元,精品销售账目管理,帐物相符、帐帐相符,20%,1、完成当月任务80％以下，没有提成；                             2、完成80％－100％提成按个人总营业额的4％；                          3、完成当月任务100％以上，超额部分提成按个人超额营业额的6％。,
精品销售顾问,,600元,产品知识培训的考核,考试合格,15%,1、完成当月任务80％以下，没有提成；                             2、完成80％－100％提成按个人总营业额的4％；                          3、完成当月任务100％以上，超额部分提成按个人超额营业额的6％。,
精品销售顾问,,600元,日常工作表现、自身5S,自身5S符合公司要求标准、工作态度积极上进,10%,1、完成当月任务80％以下，没有提成；                             2、完成80％－100％提成按个人总营业额的4％；                          3、完成当月任务100％以上，超额部分提成按个人超额营业额的6％。,
客服员,,600元,客休区5S维护管理,按总部考核标准,50%,1、完成当月任务80％以下，没有提成；                             2、完成80％－100％提成按个人总营业额的4％；                          3、完成当月任务100％以上，超额部分提成按个人超额营业额的6％。,
客服员,,600元,客休区精品销售,按当月下达目标考核,20%,1、完成当月任务80％以下，没有提成；                             2、完成80％－100％提成按个人总营业额的4％；                          3、完成当月任务100％以上，超额部分提成按个人超额营业额的6％。,
