日期,总投资,可用现金,股票市值,持仓盈亏,总资产,总盈亏,总盈率,日盈亏,日盈率,上证指数,Unnamed: 11,Unnamed: 12,Unnamed: 13
3月31日,10000,,,,,300,3.0%,300,3.0%,-1.02,,,
4月1日,16000,,,,,800,5.0%,500,3.1%,1.66,,,
4月2日,36000,3235.0,36015.0,3250.0,39250.0,1700,4.7%,900,2.5%,0.41,,,
4月3日,36000,3235.0,36015.0,3250.0,39250.0,3250,9.0%,1550,4.3%,1.0,,,
4月7日,36000,9988.18,30075.0,3113.07,40063.18,4063,11.3%,813,2.3%,2.52,,,
4月8日,36500,,,,41200.0,4700,12.9%,637,1.7%,0.84,今天两只涨停的股票，被我提前卖了。,,
4月9日,36500,,,,41800.0,5300,14.5%,600,1.6%,-0.93,今天上午大跌，下午又涨上来不少,,
4月10日,36500,,,,42426.0,5926,16.2%,626,1.7%,1.94,,,
4月13日,44000,,,,50263.0,6263,14.2%,337,0.8%,,,,
4月14日,44000,,,,49267.0,5267,12.0%,-996,-2.3%,,,,
4月15日,44000,,,,48374.0,4374,9.9%,-893,-2.0%,,卖完了，全是最低点卖的,,
4月16日,44000,,,,48374.0,4374,9.9%,0,0.0%,,,,
4月17日,30000,,,,35620.0,5620,18.7%,1246,4.2%,,昨天买了2w的两个涨停股,,
4月20日,45000,30552.0,21261.0,,51813.0,6813,15.1%,1193,2.7%,,涨停买入荣安地产，想买江苏三友 未买,,
4月21日,45000,30589.0,21261.0,,51850.0,6850,15.2%,37,0.1%,4.09,今天大涨，手里没买股票,,
4月22日,45000,9564.0,42355.0,116.0,51919.0,6919,15.4%,69,0.2%,2.15,今天大涨，手里没买股票,,
4月23日,45000,9345.0,42355.0,116.0,51700.0,6700,14.9%,-219,-0.4%,-0.04,,,
4月24日,45000,8974.0,42355.0,116.0,51329.0,6329,14.1%,-371,-0.7%,-0.98,,,
4月27日,45000,8801.0,42355.0,116.0,51156.0,6156,13.7%,-173,-0.3%,1.44,,,
4月28日,45000,7645.0,42355.0,116.0,50000.0,5000,11.1%,-1156,-2.3%,-0.69,昨天就该减持一点的,,
4月29日,45000,709.0,49719.0,-1374.0,50428.0,5428,12.1%,428,0.9%,1.12,中粮地产昨天大涨没卖，今天又跌回去了,,
5月4日,45000,754.0,49143.0,-1374.0,49897.0,4897,10.9%,-531,-1.1%,-0.36,中色股份跌4%，尾盘跌了不少,,
5月5日,45000,-143.0,49143.0,-1374.0,49000.0,4000,8.9%,-897,-1.8%,-4.0,,,
5月6日,45000,-843.0,49143.0,-1374.0,48300.0,3300,7.3%,-700,-1.4%,-1.0,早上该卖卖晚了,卖完了,调整行情 不该买这些有风险的、盘大的
5月7日,25000,14000.0,15000.0,,29000.0,4000,16.0%,700,1.4%,-1.0,今天大跌，买了日升兴科技,,
5月8日,25000,6000.0,24000.0,-1374.0,30000.0,5000,20.0%,1000,3.4%,2.5,今天又买了8000的日升兴科技,,
5月11日,25000,5371.0,27000.0,-1374.0,32371.0,7371,29.5%,2371,7.9%,-1.0,,,
5月12日,32000,6384.0,35520.0,-1374.0,41904.0,9904,31.0%,2533,7.8%,-1.0,,,
5月13日,32000,8204.0,35520.0,-1374.0,43724.0,11724,36.6%,1820,4.3%,-1.0,今天失误卖了日升兴，-3卖了达意隆，+7又买了回来，最后还好涨停了,,
5月14日,32000,8371.0,35520.0,-1374.0,43891.0,11891,37.2%,167,0.4%,-1.0,今天+5、+10买了日升兴，+3买了达意隆，它又跌到了-3,,
5月15日,32000,8204.0,35520.0,-1374.0,43724.0,11724,36.6%,-167,-0.4%,-1.0,,,
5月18日,32000,10004.0,35520.0,-1374.0,45524.0,13524,42.3%,1800,4.1%,-1.0,手里有600股升兴,,
5月19日,32000,12204.0,35520.0,-1374.0,47724.0,15724,49.1%,2200,4.8%,-1.0,,,
5月20日,42000,28080.0,35520.0,-1374.0,63600.0,21600,51.4%,5876,12.3%,-1.0,买了400股升兴,,
5月21日,42000,33117.0,35520.0,-1374.0,68637.0,26637,63.4%,5037,7.9%,-1.0,,,
5月22日,31000,2030.0,61230.0,-1374.0,63260.0,32260,104.1%,5623,8.2%,-1.0,,,
5月25日,31000,8770.0,61230.0,-1374.0,70000.0,39000,125.8%,6740,10.7%,-1.0,,,
5月26日,31000,15770.0,61230.0,-1374.0,77000.0,46000,148.4%,7000,10.0%,-1.0,,,
5月27日,31000,12770.0,61230.0,-1374.0,74000.0,43000,138.7%,-3000,-3.9%,-1.0,今天从涨停到跌停,,
5月28日,31000,13770.0,61230.0,-1374.0,75000.0,44000,141.9%,1000,1.4%,-1.0,"早上跌停，上午最高涨5%，在1.5%卖了,10%又买了",,
5月29日,31000,8770.0,61230.0,-1374.0,70000.0,39000,125.8%,-5000,-6.7%,-1.0,今天跌停，跌停买了一半,,
6月1日,31000,2770.0,61230.0,-1374.0,64000.0,33000,106.5%,-6000,-8.6%,-1.0,又跌停 全卖了,,
6月2日,31000,2770.0,61230.0,-1374.0,64000.0,33000,106.5%,0,0.0%,-1.0,全买新股，全未中,,
6月3日,31000,2770.0,61230.0,-1374.0,64000.0,33000,106.5%,0,0.0%,,开通广发证券,,
6月4日,31000,2770.0,61230.0,-1374.0,64000.0,33000,106.5%,0,0.0%,,推荐了一个新股就跌停了,,
6月8日,31000,5336.0,61230.0,-1374.0,66566.0,35566,114.7%,2566,4.0%,,,,
6月9日,31001,-1036.0,61230.0,-1374.0,60194.0,29193,94.2%,-6373,-9.6%,,,,
