序号,名称,数,Unnamed: 3,编,等,Unnamed: 6,Unnamed: 7,构件尺寸,Unnamed: 9,Unnamed: 10,脚手架,箍筋,平法梁钢筋量计算表-箍筋,箍筋.1,箍筋.2,主筋1,主筋1.1,主筋1.2,主筋2,主筋2.1,主筋2.2,主筋3,主筋3.1,主筋3.2,梁,梁底面,梁侧面,垫层,脚手架.1,主筋1总重,主筋2总重,主筋3总重,箍筋总长,箍筋总重
,,量,,号,级,构件长m,宽,高,保护层m,垫层,高,长,直径,间距m,加密根,根数,直径,加长,根数,直径,加长,根数,直径,加长,砼量,面积,面积,砼量,M2,㎏,㎏,㎏,m,㎏
,,1,,,Ⅱ,220.77,0.2,0.18,0.025,,,0.76,6.5,0.2,,4,12,0.5,0,0,0,0,0,0,7.95,44.15,79.48,0.0,0.0,786.2,0.0,0.0,838.9,218.69
,,2,,,Ⅱ,233.41,0.2,0.18,0.025,,,0.88,6.5,0.2,,4,12,0.5,0,0,0,0,0,0,16.81,46.68,84.03,0.0,0.0,1662.24,0.0,0.0,2054.0,1070.89
,,1,,,Ⅱ,251.48,0.3,0.18,0.025,,,0.96,6.5,0.2,,4,12,0.5,0,0,0,0,0,0,13.58,75.44,90.53,0.0,0.0,895.34,0.0,0.0,1207.1,314.67
,,,,,,,,,,,,,,,,,,,,,,,,,38.33,,,,,3343.78,,,,1604.25
,,,,,,构件尺寸,构件尺寸,构件尺寸,构件尺寸,上部通常钢筋,上部通常钢筋,下部通常钢筋,下部通常钢筋,上部纵筋,上部纵筋,上部纵筋,上部纵筋,下部纵筋,下部纵筋,下部纵筋,下部纵筋,箍筋,箍筋,箍筋,,,,,,,,,,
,,,,构件名称,跨,跨度值,宽,高,保护层,规格,根数,规格,根数,规格1,原位标注数,规格2,原位标注数,规格1,原位标注数,规格2,原位标注数,规格,@,加密@,,,,,,,,,,
,通用设置,进货钢筋长度,,构件名称,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,抗震等级,,构件名称,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,搭结长度,,构件名称,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,锚固长度,,构件名称,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,是否为屋面梁,,构件名称,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,,,构件名称,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,,,构件名称,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,,,构件名称,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,,,构件名称,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,,,构件名称,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,,,构件名称,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,,,构件名称,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,,,构件名称,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用设置,,,构件名称,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
