表C2-6-13混凝土测温记录-工程名称：赵都新城S3地块施工单位：江苏省建工集团有限公司-部位-测温时间-测温时间-测温时间,表C2-6-13混凝土测温记录-5#楼15-27轴八层-大气温度-大气温度-大气温度,表C2-6-13混凝土测温记录-5#楼15-27轴八层-浇筑温度-浇筑温度-浇筑温度,表C2-6-13混凝土测温记录-5#楼15-27轴八层-各测孔内部温度,表C2-6-13混凝土测温记录-5#楼15-27轴八层,表C2-6-13混凝土测温记录-5#楼15-27轴八层.1,表C2-6-13混凝土测温记录-5#楼15-27轴八层.2,表C2-6-13混凝土测温记录-5#楼15-27轴八层.3,表C2-6-13混凝土测温记录-5#楼15-27轴八层.4,表C2-6-13混凝土测温记录-5#楼15-27轴八层.5,表C2-6-13混凝土测温记录-5#楼15-27轴八层.6,表C2-6-13混凝土测温记录-5#楼15-27轴八层.7,表C2-6-13混凝土测温记录-5#楼15-27轴八层.8,表C2-6-13混凝土测温记录-5#楼15-27轴八层.9,表C2-6-13混凝土测温记录-5#楼15-27轴八层-各测孔内部温度（℃）-测孔编号-13,表C2-6-13混凝土测温记录-5#楼15-27轴八层-各测孔内部温度（℃）-测孔编号-14,表C2-6-13混凝土测温记录-5#楼15-27轴八层-各测孔内部温度（℃）-测孔编号-15,表C2-6-13混凝土测温记录-养护方法-各测孔内部温度（℃）-测孔编号-16,表C2-6-13混凝土测温记录-养护方法-各测孔内部温度（℃）-测孔编号-17,表C2-6-13混凝土测温记录-养护方法-各测孔内部温度（℃）-测孔编号-18,表C2-6-13混凝土测温记录-养护方法-各测孔内部温度（℃）-测孔编号-19,表C2-6-13混凝土测温记录-自然养护-各测孔内部温度（℃）-测孔编号-20,表C2-6-13混凝土测温记录-自然养护-各测孔内部温度（℃）-测孔编号-21,表C2-6-13混凝土测温记录-自然养护-各测孔内部温度（℃）-测孔编号-22,表C2-6-13混凝土测温记录-自然养护-各测孔内部温度（℃）-测孔编号-23,表C2-6-13混凝土测温记录-自然养护-各测孔内部温度（℃）-测孔编号-24,表C2-6-13混凝土测温记录-测试方式-平均温度（℃）-平均温度（℃）-平均温度（℃）,表C2-6-13混凝土测温记录-人工测试-间隔时间(h)-间隔时间(h)-间隔时间(h)
"2012-12-23
08:00:00",1,15,,,,,,,,,,,,14,16,13,14,15,14,15,14,14,16,17,18,15.0,4
"2012-12-23
12:00:00",2,15,,,,,,,,,,,,13,15,13,14,15,15,14,15,14,15,16,17,14.7,4
"2012-12-23
16:00:00",0,15,,,,,,,,,,,,13,15,13,13,14,14,13,14,14,14,15,16,14.0,4
"2012-12-23
20:00:00",1,15,,,,,,,,,,,,13,14,13,13,12,13,12,14,13,13,14,15,13.3,4
"2012-12-24
00:00:00",1,15,,,,,,,,,,,,13,12,12,11,11,13,12,11,12,12,13,12,12.0,4
"2012-12-24
04:00:00",0,15,,,,,,,,,,,,13,12,12,11,11,10,12,10,12,12,13,12,11.7,4
"2012-12-24
08:00:00",1,15,,,,,,,,,,,,13,12,14,12,12,11,12,11,12,11,11,11,11.8,4
"2012-12-24
12:00:00",0,15,,,,,,,,,,,,13,12,11,12,12,12,11,12,12,10,10,11,11.5,4
"2012-12-24
16:00:00",1,15,,,,,,,,,,,,11,12,12,11,11,10,11,11,13,11,11,11,11.3,4
测温孔布置简图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图,见附图
项目技术负责人：               质检员：                 记录人：,,,,,,,,,,,,,,,,,,,,,,,,,,,
