名称,型号,单位,数值
冷弯不等边角钢,∠25×15×2.0,kg/m,0.566
冷弯不等边角钢,∠25×15×2.5,kg/m,0.688
冷弯不等边角钢,∠25×15×3.0,kg/m,0.803
冷弯不等边角钢,∠30×20×2.0,kg/m,0.723
冷弯不等边角钢,∠30×20×2.5,kg/m,0.885
冷弯不等边角钢,∠30×20×3.0,kg/m,1.039
冷弯不等边角钢,∠35×20×2.0,kg/m,0.802
冷弯不等边角钢,∠35×20×2.5,kg/m,0.983
冷弯不等边角钢,∠35×20×3.0,kg/m,1.156
冷弯不等边角钢,∠40×25×2.5,kg/m,1.179
冷弯不等边角钢,∠40×25×3.0,kg/m,1.392
冷弯不等边角钢,∠50×30×2.5,kg/m,1.473
冷弯不等边角钢,∠50×30×3.0,kg/m,1.745
冷弯不等边角钢,∠50×30×4.0,kg/m,2.266
冷弯不等边角钢,∠60×40×2.5,kg/m,1.866
冷弯不等边角钢,∠60×40×3.0,kg/m,2.216
冷弯不等边角钢,∠60×40×4.0,kg/m,2.894
冷弯不等边角钢,∠70×40×3.0,kg/m,2.452
冷弯不等边角钢,∠70×40×4.0,kg/m,3.208
冷弯不等边角钢,∠80×50×3.0,kg/m,2.923
冷弯不等边角钢,∠80×50×4.0,kg/m,3.836
冷弯不等边角钢,∠100×60×3.0,kg/m,3.629
冷弯不等边角钢,∠100×60×4.0,kg/m,4.778
冷弯不等边角钢,∠100×60×5.0,kg/m,5.895
冷弯不等边角钢,∠120×80×4.0,kg/m,6.034
冷弯不等边角钢,∠120×80×5.0,kg/m,7.465
冷弯不等边角钢,∠120×80×6.0,kg/m,8.836
