名称,型号,单位,数值
热轧圆钢,Φ5.5,kg/m,0.186
热轧圆钢,Φ6,kg/m,0.222
热轧圆钢,Φ6.5,kg/m,0.26
热轧圆钢,Φ7,kg/m,0.302
热轧圆钢,Φ8,kg/m,0.395
热轧圆钢,Φ9,kg/m,0.499
热轧圆钢,Φ10,kg/m,0.617
热轧圆钢,Φ11,kg/m,0.476
热轧圆钢,Φ12,kg/m,0.888
热轧圆钢,Φ13,kg/m,1.04
热轧圆钢,Φ14,kg/m,1.21
热轧圆钢,Φ15,kg/m,1.39
热轧圆钢,Φ16,kg/m,1.58
热轧圆钢,Φ17,kg/m,1.78
热轧圆钢,Φ18,kg/m,2.0
热轧圆钢,Φ19,kg/m,2.23
热轧圆钢,Φ20,kg/m,2.47
热轧圆钢,Φ21,kg/m,2.72
热轧圆钢,Φ22,kg/m,2.98
热轧圆钢,Φ23,kg/m,3.26
热轧圆钢,Φ24,kg/m,3.55
热轧圆钢,Φ25,kg/m,3.85
热轧圆钢,Φ26,kg/m,4.17
热轧圆钢,Φ27,kg/m,4.49
热轧圆钢,Φ28,kg/m,4.83
热轧圆钢,Φ29,kg/m,5.18
热轧圆钢,Φ30,kg/m,5.55
热轧圆钢,Φ31,kg/m,5.92
热轧圆钢,Φ32,kg/m,6.31
热轧圆钢,Φ33,kg/m,6.71
热轧圆钢,Φ34,kg/m,7.13
热轧圆钢,Φ35,kg/m,7.55
热轧圆钢,Φ36,kg/m,7.99
热轧圆钢,Φ38,kg/m,8.9
热轧圆钢,Φ40,kg/m,9.86
热轧圆钢,Φ42,kg/m,10.9
热轧圆钢,Φ45,kg/m,12.5
热轧圆钢,Φ48,kg/m,14.2
热轧圆钢,Φ50,kg/m,15.4
热轧圆钢,Φ53,kg/m,17.3
热轧圆钢,Φ55,kg/m,18.6
热轧圆钢,Φ56,kg/m,19.3
热轧圆钢,Φ58,kg/m,20.7
热轧圆钢,Φ60,kg/m,22.2
热轧圆钢,Φ63,kg/m,24.5
热轧圆钢,Φ65,kg/m,26.0
热轧圆钢,Φ68,kg/m,28.5
热轧圆钢,Φ70,kg/m,30.2
热轧圆钢,Φ75,kg/m,34.7
热轧圆钢,Φ80,kg/m,39.5
热轧圆钢,Φ85,kg/m,44.5
热轧圆钢,Φ90,kg/m,49.9
热轧圆钢,Φ95,kg/m,55.6
热轧圆钢,Φ100,kg/m,61.7
热轧圆钢,Φ105,kg/m,68.0
热轧圆钢,Φ110,kg/m,74.6
热轧圆钢,Φ115,kg/m,81.5
热轧圆钢,Φ120,kg/m,88.8
热轧圆钢,Φ125,kg/m,96.3
热轧圆钢,Φ130,kg/m,104.0
热轧圆钢,Φ140,kg/m,121.0
热轧圆钢,Φ150,kg/m,139.0
热轧圆钢,Φ160,kg/m,158.0
热轧圆钢,Φ170,kg/m,178.0
热轧圆钢,Φ180,kg/m,200.0
热轧圆钢,Φ190,kg/m,223.0
热轧圆钢,Φ200,kg/m,247.0
热轧圆钢,Φ220,kg/m,298.0
热轧圆钢,Φ250,kg/m,385.0
