统计日期,终端类型,流量来源,来源明细,访客数,下单买家数,下单转化率,支付买家数,支付转化率,支付金额,UV价值
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘搜索,3448,222,0.0644,209,0.0606,7745.35,2.25
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘首页,1298,7,0.0054,6,0.0046,154.82,0.12
2019-10-01 ~ 2019-10-31,无线端,付费流量,直通车,799,26,0.0325,22,0.0275,827.55,1.04
2019-10-01 ~ 2019-10-31,无线端,自主访问,我的淘宝,715,187,0.2615,174,0.2434,7036.09,9.84
2019-10-01 ~ 2019-10-31,无线端,淘内免费,淘内免费其他,705,76,0.1078,72,0.1021,2951.97,4.19
2019-10-01 ~ 2019-10-31,无线端,自主访问,购物车,615,175,0.2846,167,0.2715,6334.33,10.3
2019-10-01 ~ 2019-10-31,无线端,付费流量,淘宝客,458,49,0.107,49,0.107,1603.46,3.5
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘其他店铺商品详情,420,46,0.1095,45,0.1071,1629.96,3.88
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘拍立淘,291,17,0.0584,17,0.0584,609.34,2.09
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘淘金币,210,1,0.0048,1,0.0048,24.5,0.12
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘微淘,143,4,0.028,4,0.028,204.5,1.43
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘找相似,62,9,0.1452,8,0.129,393.05,6.34
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘汇吃,40,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘旺信,38,17,0.4474,17,0.4474,759.27,19.98
2019-10-01 ~ 2019-10-31,无线端,淘内免费,支付宝小程序-每日必抢,18,3,0.1667,3,0.1667,61.68,3.43
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘问大家,17,5,0.2941,5,0.2941,150.3,8.84
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘我的评价,9,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘消息中心,9,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘扫一扫,5,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘其他店铺,2,1,0.5,1,0.5,39.8,19.9
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手淘淘宝直播,1,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手猫其他店铺,1,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,无线端,淘内免费,手猫商品详情,1,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,无线端,自主访问,直接访问,1,0,0.0,0,0.0,0.0,0.0
