数据查询-商品编号,浏览量-商品名称,1-合计,本月截止今天平圴数,1,2,3,4,5,6,7,8,9,#,#.1,#.2,#.3,#.4,#.5,#.6,#.7,#.8,#.9,#.10,#.11,#.12,#.13,#.14,#.15,#.16,#.17,#.18,#.19,#.20,31
1458258.0,产品2,4744.0,527.11,234.0,652.0,394.0,720.0,527.0,340.0,724.0,653.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1458279.0,产品3,4769.0,529.89,348.0,502.0,515.0,790.0,621.0,206.0,402.0,695.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1324429.0,产品4,5192.0,576.89,580.0,697.0,560.0,750.0,329.0,544.0,538.0,465.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1841899.0,产品5,3504.0,389.33,442.0,253.0,579.0,428.0,250.0,304.0,617.0,267.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2123647.0,产品6,3831.0,425.67,309.0,291.0,573.0,612.0,462.0,398.0,420.0,299.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1458238.0,产品7,5216.0,579.56,543.0,694.0,732.0,704.0,790.0,517.0,295.0,345.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1322013.0,产品8,4268.0,474.22,726.0,218.0,269.0,605.0,396.0,536.0,278.0,544.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1458285.0,产品9,3757.0,417.44,502.0,285.0,249.0,338.0,573.0,613.0,296.0,434.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2651127.0,产品10,4344.0,482.67,264.0,583.0,678.0,215.0,327.0,494.0,747.0,740.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321958.0,产品11,5073.0,563.67,330.0,613.0,498.0,618.0,431.0,764.0,303.0,751.0,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1804736.0,产品12,4554.0,506.0,744.0,507.0,656.0,277.0,558.0,302.0,683.0,567.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1841885.0,产品13,4101.0,455.67,671.0,449.0,739.0,478.0,204.0,238.0,481.0,409.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1449455.0,产品14,3704.0,411.56,559.0,265.0,486.0,400.0,370.0,217.0,537.0,374.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1840813.0,产品15,3817.0,424.11,674.0,452.0,602.0,225.0,531.0,240.0,296.0,522.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2151197.0,产品16,4717.0,524.11,446.0,370.0,418.0,479.0,511.0,791.0,578.0,672.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,产品2,4744.0,527.11,234.0,652.0,394.0,720.0,527.0,340.0,724.0,653.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
