日期,商品编号,商品名称,下单量,浏览量,访客数
2017/4/1,1458258,产品2,84,234,1234
2017/4/1,1458279,产品3,61,348,1143
2017/4/1,1324429,产品4,81,580,624
2017/4/1,1841899,产品5,37,442,1440
2017/4/1,2123647,产品6,47,309,1209
2017/4/1,1458238,产品7,34,543,1253
2017/4/1,1322013,产品8,33,726,1146
2017/4/1,1458285,产品9,29,502,1339
2017/4/1,2651127,产品10,35,264,751
2017/4/1,1321958,产品11,52,330,763
2017/4/1,1804736,产品12,81,744,664
2017/4/1,1841885,产品13,55,671,1364
2017/4/1,1449455,产品14,79,559,1051
2017/4/1,1840813,产品15,45,674,853
2017/4/1,2151197,产品16,69,446,943
2017/4/2,1458258,产品2,83,652,820
2017/4/2,1458279,产品3,69,502,937
2017/4/2,1324429,产品4,29,697,898
2017/4/2,1841899,产品5,33,253,952
2017/4/2,2123647,产品6,58,291,673
2017/4/2,1458238,产品7,61,694,844
2017/4/2,1322013,产品8,86,218,1224
2017/4/2,1458285,产品9,92,285,733
2017/4/2,2651127,产品10,98,583,787
2017/4/2,1321958,产品11,95,613,626
2017/4/2,1804736,产品12,97,507,724
2017/4/2,1841885,产品13,36,449,1320
2017/4/2,1449455,产品14,16,265,1013
2017/4/2,1840813,产品15,47,452,1397
2017/4/2,2151197,产品16,30,370,1255
2017/4/3,1458258,产品2,37,394,976
2017/4/3,1458279,产品3,67,515,620
2017/4/3,1324429,产品4,50,560,1300
2017/4/3,1841899,产品5,24,579,696
2017/4/3,2123647,产品6,90,573,610
2017/4/3,1458238,产品7,37,732,1470
2017/4/3,1322013,产品8,58,269,1345
2017/4/3,1458285,产品9,28,249,1019
2017/4/3,2651127,产品10,40,678,673
2017/4/3,1321958,产品11,88,498,1125
2017/4/3,1804736,产品12,57,656,1066
2017/4/3,1841885,产品13,24,739,610
2017/4/3,1449455,产品14,31,486,1439
2017/4/3,1840813,产品15,50,602,1484
2017/4/3,2151197,产品16,65,418,1352
2017/4/4,1458258,产品2,58,720,610
2017/4/4,1458279,产品3,45,790,763
2017/4/4,1324429,产品4,56,750,716
2017/4/4,1841899,产品5,12,428,1283
2017/4/4,2123647,产品6,81,612,1108
2017/4/4,1458238,产品7,15,704,1500
2017/4/4,1322013,产品8,70,605,693
2017/4/4,1458285,产品9,75,338,1395
2017/4/4,2651127,产品10,63,215,1412
2017/4/4,1321958,产品11,44,618,1448
2017/4/4,1804736,产品12,22,277,882
2017/4/4,1841885,产品13,99,478,1283
2017/4/4,1449455,产品14,92,400,1176
2017/4/4,1840813,产品15,38,225,843
2017/4/4,2151197,产品16,53,479,622
2017/4/5,1458258,产品2,99,527,605
2017/4/5,1458279,产品3,75,621,811
2017/4/5,1324429,产品4,87,329,1297
2017/4/5,1841899,产品5,94,250,1169
2017/4/5,2123647,产品6,27,462,1464
2017/4/5,1458238,产品7,48,790,1176
2017/4/5,1322013,产品8,55,396,1032
2017/4/5,1458285,产品9,44,573,1105
2017/4/5,2651127,产品10,20,327,1384
2017/4/5,1321958,产品11,70,431,661
2017/4/5,1804736,产品12,68,558,1390
2017/4/5,1841885,产品13,52,204,748
2017/4/5,1449455,产品14,40,370,821
2017/4/5,1840813,产品15,69,531,948
2017/4/5,2151197,产品16,25,511,682
2017/4/6,1458258,产品2,52,340,1416
2017/4/6,1458279,产品3,95,206,824
2017/4/6,1324429,产品4,39,544,1366
2017/4/6,1841899,产品5,19,304,1485
2017/4/6,2123647,产品6,12,398,1397
2017/4/6,1458238,产品7,53,517,1254
2017/4/6,1322013,产品8,10,536,1084
2017/4/6,1458285,产品9,91,613,1432
2017/4/6,2651127,产品10,96,494,1322
2017/4/6,1321958,产品11,59,764,1030
2017/4/6,1804736,产品12,49,302,944
2017/4/6,1841885,产品13,84,238,1175
2017/4/6,1449455,产品14,25,217,1160
2017/4/6,1840813,产品15,41,240,906
2017/4/6,2151197,产品16,15,791,657
2017/4/7,1458258,产品2,84,724,1369
2017/4/7,1458279,产品3,85,402,781
2017/4/7,1324429,产品4,41,538,1406
2017/4/7,1841899,产品5,42,617,853
2017/4/7,2123647,产品6,42,420,966
2017/4/7,1458238,产品7,54,295,1312
2017/4/7,1322013,产品8,31,278,610
2017/4/7,1458285,产品9,99,296,1250
2017/4/7,2651127,产品10,98,747,1103
2017/4/7,1321958,产品11,33,303,1134
2017/4/7,1804736,产品12,68,683,900
2017/4/7,1841885,产品13,94,481,1459
2017/4/7,1449455,产品14,77,537,1260
2017/4/7,1840813,产品15,13,296,1176
2017/4/7,2151197,产品16,93,578,707
2017/4/8,1458258,产品2,35,653,819
2017/4/8,1458279,产品3,79,695,633
2017/4/8,1324429,产品4,20,465,1219
2017/4/8,1841899,产品5,47,267,1120
2017/4/8,2123647,产品6,97,299,1427
2017/4/8,1458238,产品7,66,345,1170
2017/4/8,1322013,产品8,40,544,1432
2017/4/8,1458285,产品9,63,434,981
2017/4/8,2651127,产品10,68,740,648
2017/4/8,1321958,产品11,94,751,1426
2017/4/8,1804736,产品12,51,567,1006
2017/4/8,1841885,产品13,97,409,1190
2017/4/8,1449455,产品14,72,374,1084
2017/4/8,1840813,产品15,24,522,1392
2017/4/8,2151197,产品16,16,672,1440
2017/4/9,1458258,产品2,58,500,647
2017/4/9,1458279,产品3,73,690,1479
2017/4/9,1324429,产品4,21,729,992
2017/4/9,1841899,产品5,68,364,829
2017/4/9,2123647,产品6,65,467,699
2017/4/9,1458238,产品7,47,596,879
2017/4/9,1322013,产品8,78,696,1356
2017/4/9,1458285,产品9,23,467,1176
2017/4/9,2651127,产品10,87,296,1060
2017/4/9,1321958,产品11,55,765,777
2017/4/9,1804736,产品12,83,260,1049
2017/4/9,1841885,产品13,56,432,1467
2017/4/9,1449455,产品14,68,496,733
2017/4/9,1840813,产品15,79,275,784
2017/4/9,2151197,产品16,24,452,666
