序号,工程名称,工程金额,工程量,回款金额,回款比例,分包合同金额,分包付款金额,分包付款比例,工程完成量,工程量完成率,备注
1,工程_1,2000.0,20.0,1500.0,75.00%,1200.0,200.0,16.67%,15.0,75.00%,1
2,工程_2,3000.0,25.0,2500.0,83.33%,1500.0,300.0,20.00%,20.0,80.00%,2
3,工程_3,5000.0,35.0,1500.0,30.00%,1700.0,1000.0,58.82%,15.0,42.86%,3
4,工程_4,3500.0,40.0,2000.0,57.14%,1000.0,500.0,50.00%,11.0,27.50%,4
5,工程_5,2500.0,20.0,2000.0,80.00%,800.0,400.0,50.00%,15.0,75.00%,5
6,工程_6,1500.0,17.0,1000.0,66.67%,500.0,100.0,20.00%,10.0,58.82%,6
7,工程_7,2000.0,20.0,1000.0,50.00%,1000.0,200.0,20.00%,5.0,25.00%,7
8,工程_8,3000.0,22.0,2500.0,83.33%,1000.0,200.0,20.00%,7.0,31.82%,8
9,工程_9,4000.0,15.0,1500.0,37.50%,1200.0,100.0,8.33%,10.0,66.67%,9
10,工程_10,4500.0,20.0,1000.0,22.22%,1500.0,500.0,33.33%,10.0,50.00%,10
11,工程_11,3566.67,16.8,1300.0,36.45%,1033.33,220.0,21.29%,5.866667,34.92%,11
12,工程_12,3651.52,15.6,1236.36,33.86%,1013.94,196.36,19.37%,4.787879,30.69%,12
13,工程_13,3736.36,14.4,1172.73,31.39%,994.55,172.73,17.37%,3.709091,25.76%,13
14,工程_14,3821.21,13.2,1109.09,29.02%,975.15,149.09,15.29%,2.630303,19.93%,14
15,工程_15,3906.06,12.0,1045.45,26.76%,955.76,125.45,13.13%,1.551515,12.93%,15
16,工程_16,3990.91,10.8,,24.60%,936.36,101.82,10.87%,0.472727,4.38%,16
17,工程_17,4075.76,9.6,,22.53%,916.97,78.18,8.53%,-0.60606,-6.31%,17
18,工程_18,4160.61,8.4,,20.54%,897.58,54.55,6.08%,-1.68485,-20.06%,18
