Unnamed: 0,Unnamed: 1,订货汇总,订货汇总.1,订货汇总.2,订货汇总.3,订货汇总.4,订货汇总.5,订货汇总.6,订货汇总.7,订货汇总.8,订货汇总.9,新款,新款.1,新款.2,新款.3,新款.4,新款.5,新款.6,新款.7,新款.8,新款.9,保留款,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
款型,系 列,订货SKU,订单数量,已提SKU,提货数量,未提SKU,未提数量,仓库数量,店铺数量,发货数量,销售数量,订货SKU,订单数量,已提SKU,提货数量,未提SKU,未提数量,仓库数量,店铺数量,发货数量,销售数量,计数项:货号\颜色编号,求和项:订单数量,求和项:已提SKU,求和项:提货数量,求和项:未提SKU,求和项:未提数量,求和项:仓库数量,求和项:店铺数量,求和项:发货数量,求和项:销售数量,售罄率,存销比
内衣,春夏家居,7,542,7,324,,218,167,352,432,72,2,52,2,52,,,9,36,51,7,,,,,,,,,,,13%,27
,高支棉莱卡,4,192,2,96,2,96,48,46,47,1,4,192,2,96,2,96,48,46,47,1,,,,,,,,,,,1%,307
,高支丝光棉提花,6,163,6,74,,89,173,129,137,8,,,,,,,,,,,,,,,,,,,,,5%,125
,棉木代尔,6,2230,6,2122,,108,242,1595,1884,264,6,2230,6,2122,,108,242,1595,1884,264,,,,,,,,,,,12%,26
,特惠款,4,5300,4,4462,,838,1087,2391,3525,954,4,5300,4,4462,,838,1087,2391,3525,954,,,,,,,,,,,18%,15
,内裤,14,2488,9,1298,5,1190,819,1540,920,104,6,1770,3,810,3,960,33,727,777,50,,,,,,,,,,,4%,77
,内衣配件,7,390,7,168,,222,232,63,2,4,,,,,,,,,,,,,,,,,,,,,1%,242
内衣 汇总,,48,11305,41,8544,7,2761,2768,6116,6947,1407,22,9544,17,7542,5,2002,1419,4795,6284,1276,,,,,,,,,,,12%,24
室内运动,运动胸衣,6,600,3,196,3,404,94,160,185,107,,,,,,,,,,,,,,,,,,,,,18%,11
,跑步,14,390,6,164,8,226,18,113,137,34,14,390,6,164,8,226,18,113,137,34,,,,,,,,,,,9%,16
,舒适,15,470,14,439,1,31,130,263,348,75,15,470,14,439,1,31,130,263,348,75,,,,,,,,,,,16%,20
,胸衣,3,360,,,3,360,10,110,13,44,,,,,,,,,,,,,,,,,,,,,12%,12
,休闲,26,808,21,616,5,192,222,380,456,36,26,808,21,616,5,192,222,380,456,36,,,,,,,,,,,4%,57
,修身,14,755,14,739,,16,250,457,544,96,14,755,14,739,,16,250,457,544,96,,,,,,,,,,,13%,27
,专业,16,2425,7,1584,9,841,431,983,1216,182,16,2425,7,1584,9,841,431,983,1216,182,,,,,,,,,,,8%,28
,健身瑜珈,40,3123,35,1569,5,1554,986,1750,1388,579,7,120,3,36,4,84,36,,,,,,,,,,,,,,19%,19
,健身配件,42,905,36,688,6,217,965,674,493,239,,,,,,,,,,,,,,,,,,,,,26%,25
室内运动 汇总,,176,9836,136,5995,40,3841,3106,4890,4780,1392,92,4968,65,3578,27,1390,1087,2196,2701,423,,,,,,,,,,,14%,22
水运动,恣意花语,3,600,2,258,1,342,174,,,,3,600,2,258,1,342,174,,,,,,,,,,,,,,0%,
,碧海假日,3,800,3,750,,50,83,592,663,30,3,800,3,750,,50,83,592,663,30,,,,,,,,,,,4%,19
,果色青春,4,1260,2,429,2,831,308,,3,,4,1260,2,429,2,831,308,,3,,,,,,,,,,,,0%,
,欧陆风情系列,4,920,,,4,920,,,,,4,920,,,4,920,,,,,,,,,,,,,,,0%,
,田园风系列,4,1450,4,1092,,358,226,837,870,16,4,1450,4,1092,,358,226,837,870,16,,,,,,,,,,,1%,54
,分体平角,2,560,2,511,,49,16,449,499,27,2,560,2,511,,49,16,449,499,27,,,,,,,,,,,5%,15
,成熟系列,2,440,2,382,,58,180,131,156,11,2,440,2,382,,58,180,131,156,11,,,,,,,,,,,3%,23
,时尚运动,6,605,3,274,3,331,166,,,,6,605,3,274,3,331,166,,,,,,,,,,,,,,0%,
,童泳裤,5,1640,2,481,3,1159,229,973,787,75,3,940,,,3,940,-16,16,16,,,,,,,,,,,,5%,14
,童泳衣,5,1365,5,850,,515,236,842,882,88,3,685,3,565,,120,68,430,498,28,,,,,,,,,,,6%,11
,泳裤,12,7750,12,4734,,3016,1118,4752,4850,796,6,3650,6,2000,,1650,388,1484,1659,68,,,,,,,,,,,10%,7
,游泳配件,93,24650,60,7523,33,17127,3844,7690,6616,1445,18,3940,,,18,3940,,,,,,,,,,,,,,,6%,7
,沙滩,4,600,2,158,2,442,92,,,,4,600,2,158,2,442,92,,,,,,,,,,,,,,0%,
,沙滩配件,8,720,2,60,6,660,48,,,,6,620,2,60,4,560,48,,,,,,,,,,,,,,0%,
水运动 汇总,,155,43360,101,17502,54,25858,6720,16266,15326,2488,68,17070,31,6479,37,10591,1733,3939,4364,180,,,,,,,,,,,6%,8
总计,,379,64501,278,32041,101,32460,12594,27272,27053,5287,182,31582,113,17599,69,13983,4239,10930,13349,1879,,,,,,,,,,,8%,28
