Unnamed: 0,Unnamed: 1,1月至今,1月至今.1,1月至今.2,1月至今.3,1月至今.4,1月至今.5,1月至今.6,1月至今.7,1月至今.8,1月至今.9,1月销售,1月销售.1,1月销售.2,1月销售.3,1月销售.4,1月销售.5,1月销售.6,1月销售.7,1月销售.8,1月销售.9,2月销售,2月销售.1,2月销售.2,2月销售.3,2月销售.4,2月销售.5,2月销售.6,2月销售.7,2月销售.8,2月销售.9,3月销售,3月销售.1,3月销售.2,3月销售.3,3月销售.4,3月销售.5,3月销售.6,3月销售.7,3月销售.8,3月销售.9,4月销售,4月销售.1,4月销售.2,4月销售.3,4月销售.4,4月销售.5,4月销售.6,4月销售.7,4月销售.8,4月销售.9,5月销售,5月销售.1,5月销售.2,5月销售.3,5月销售.4,5月销售.5,5月销售.6,5月销售.7,5月销售.8,5月销售.9,5月销售.10,5月销售.11,5月销售.12,5月销售.13
10000,,去年销售,去年销售,去年销售,去年销售,今年销售,今年销售,今年销售,今年销售,折扣对比,销售对比,去年销售,去年销售,去年销售,去年销售,今年销售,今年销售,今年销售,今年销售,折扣对比,销售对比,去年销售,去年销售,去年销售,去年销售,今年销售,今年销售,今年销售,今年销售,折扣对比,销售对比,去年销售,去年销售,去年销售,去年销售,今年销售,今年销售,今年销售,今年销售,折扣对比,销售对比,去年销售,去年销售,去年销售,去年销售,今年销售,今年销售,今年销售,今年销售,折扣对比,销售对比,去年销售,去年销售,去年销售,去年销售,今年销售,今年销售,今年销售,今年销售,今年销售,预计销售,预计金额,折扣对比,生意额对比,库存
区域,店铺简称,数量,吊牌额,生意额,折扣,数量,吊牌额,生意额,折扣,折扣对比,销售对比,数量,吊牌额,生意额,折扣,数量,吊牌额,生意额,折扣,折扣对比,销售对比,数量,吊牌额,生意额,折扣,数量,吊牌额,生意额,折扣,折扣对比,销售对比,数量,吊牌额,生意额,折扣,数量,吊牌额,生意额,折扣,折扣对比,销售对比,数量,吊牌额,生意额,折扣,数量,吊牌额,生意额,折扣,折扣对比,销售对比,数量,吊牌额,生意额,折扣,数量,吊牌额,生意额,折扣,存销比,预计销售,预计金额,折扣对比,生意额对比,库存
广州一区,(广)佛山顺德顺联广场运动内衣店,,,,0.72,,13.66,11.09,0.81,0.09,85%,,4.08,2.3,0.56,,7.42,6.36,0.86,0.29,177%,,1.89,1.69,0.89,,2.57,1.66,0.64,-0.25,-2%,,0.77,0.58,0.75,,2.95,1.92,0.65,-0.1,231%,,1.04,0.91,0.88,,0.72,1.15,1.6,0.72,27%,,1.84,1.64,0.89,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,46.44
,(广)佛山顺联国际奥特莱斯内衣店,,,,0.44,,27.72,10.57,0.38,-0.06,-16%,,12.69,5.99,0.47,,11.43,4.7,0.41,-0.06,-21%,,3.93,1.95,0.5,,6.35,2.53,0.4,-0.1,30%,,6.9,2.67,0.39,,4.32,1.61,0.37,-0.01,-40%,,3.35,1.43,0.43,,5.63,1.73,0.31,-0.12,21%,,7.79,3.38,0.43,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,104.29
,(广)佛山顺联国际购物中心内衣店,,,,0.88,,54.9,36.78,0.67,-0.21,47%,,14.24,12.7,0.89,,27.63,20.98,0.76,-0.13,65%,,6.44,5.51,0.86,,15.69,8.36,0.53,-0.32,52%,,1.76,1.16,0.66,,6.63,3.74,0.56,-0.09,223%,,4.34,4.02,0.93,,3.89,2.79,0.72,-0.21,-31%,,7.23,7.14,0.99,,1.06,0.91,0.86,15,411,7.05,-0.13,-1%,119.21
,(广)广东佛山三水新大新内衣店,,,,0.68,,13.55,8.82,0.65,-0.03,-9%,,5.85,4.31,0.74,,5.96,3.78,0.63,-0.1,-12%,,3.95,2.46,0.62,,4.28,2.67,0.62,0.0,9%,,2.54,1.44,0.57,,1.42,0.96,0.68,0.11,-33%,,1.64,1.32,0.81,,1.45,1.11,0.77,-0.04,-16%,,1.57,1.3,0.83,,0.45,0.3,0.67,16,171,2.36,-0.15,82%,54.71
,(广)广东佛山兴华百货内衣店,,,,0.69,,28.15,20.75,0.74,0.04,2%,,14.42,11.66,0.81,,15.76,12.93,0.82,0.01,11%,,5.32,3.59,0.67,,5.91,3.79,0.64,-0.03,5%,,6.94,3.47,0.5,,4.04,2.47,0.61,0.11,-29%,,1.84,1.18,0.64,,2.02,1.32,0.65,0.02,12%,,2.14,1.39,0.65,,0.41,0.23,0.56,19,194,1.79,-0.09,29%,59.41
,(广)广东佛山兴华水运动店,,,,0.8,,8.13,5.73,0.7,-0.09,-16%,,1.59,1.48,0.93,,3.83,2.49,0.65,-0.28,68%,,2.61,2.05,0.79,,0.88,0.75,0.86,0.07,-63%,,1.62,1.44,0.89,,1.55,1.05,0.68,-0.21,-27%,,2.27,1.61,0.71,,1.88,1.44,0.77,0.06,-10%,,3.15,2.57,0.82,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,54.2
,(广)广东佛山友谊瑜伽健身店,,,,0.59,,13.18,6.1,0.46,-0.12,39%,,5.5,2.61,0.47,,10.73,4.22,0.39,-0.08,62%,,0.32,0.28,0.87,,0.41,0.33,0.81,-0.06,17%,,0.69,0.65,0.95,,0.67,0.54,0.81,-0.13,-16%,,0.59,0.52,0.87,,0.93,0.7,0.75,-0.12,35%,,0.67,0.58,0.87,,0.44,0.31,0.7,15,140,2.38,-0.16,308%,50.74
,(广)广东肇庆广百运动内衣店,,,,0.66,,12.69,8.27,0.65,-0.01,-12%,,5.5,3.69,0.67,,5.62,3.41,0.61,-0.06,-8%,,3.34,2.33,0.7,,3.24,2.07,0.64,-0.06,-11%,,2.89,1.75,0.6,,1.62,1.01,0.62,0.02,-42%,,2.25,1.48,0.66,,1.51,1.07,0.71,0.05,-27%,,2.11,1.43,0.68,,0.7,0.72,1.02,16,349,5.55,0.34,288%,82.61
