日期,分类,收款内容,收入金额,往来账户,备注,日期.1,分类.1,支出内容,收入金额.1,往来账户.1,备注.1
1月1日,工资,老公工资,5500.0,中国银行,1,1月1日,生活费,卖菜,2840.0,XXXXX,1
2月1日,工资,老婆工资,3500.0,光大银行,2,2月1日,人情,大学酒,2732.0,XXXXX,2
3月1日,理财,基金,5680.0,中国银行,3,3月1日,衣,连衣裙,2543.0,XXXXX,3
4月1日,工资,老公工资,5464.0,光大银行,4,4月1日,生活费,卖菜,2390.0,XXXXX,4
5月1日,工资,老婆工资,5086.0,中国银行,5,5月1日,人情,大学酒,2040.0,XXXXX,5
6月1日,理财,基金,4780.0,光大银行,6,6月1日,衣,连衣裙,1832.0,XXXXX,6
7月1日,工资,老公工资,4080.0,中国银行,7,7月1日,生活费,卖菜,1592.0,XXXXX,7
8月1日,工资,老婆工资,3664.0,光大银行,8,8月1日,人情,大学酒,1300.0,XXXXX,8
9月1日,理财,基金,3184.0,中国银行,9,9月1日,衣,连衣裙,1100.0,XXXXX,9
10月1日,工资,老公工资,2600.0,光大银行,10,10月1日,生活费,卖菜,1200.0,XXXXX,10
11月1日,工资,老婆工资,2200.0,中国银行,11,11月1日,人情,大学酒,1136.0,XXXXX,11
12月1日,理财,基金,2400.0,光大银行,12,12月1日,衣,连衣裙,900.0,XXXXX,12
1月1日,工 资,老公工资,2108.636364,中国银行,13,1月1日,生活费,卖菜,572.8030303,XXXXX,13
2月1日,工资,老婆工资,1815.888112,光大银行,14,2月1日,人情,大学酒,383.9393939,XXXXX,14
3月1日,理财,基金,1523.13986,中国银行,15,3月1日,衣,连衣裙,195.0757576,XXXXX,15
4月1日,工资,老公工资,1230.391608,光大银行,16,4月1日,生活费,卖菜,6.212121212,XXXXX,16
5月1日,工资,老婆工资,937.6433566,中国银行,17,5月1日,人情,大学酒,-182.651515,XXXXX,17
6月1日,理财,基金,644.8951049,光大银行,18,6月1日,衣,连衣裙,-371.515152,XXXXX,18
7月1日,工资,老公工资,352.1468531,中国银行,19,7月1日,生活费,卖菜,-560.378788,XXXXX,19
8月1日,工资,老婆工资,59.3986014,光大银行,20,8月1日,人情,大学酒,-749.242424,XXXXX,20
9月1日,理财,基金,-233.3496503,中国银行,21,9月1日,衣,连衣裙,-938.106061,XXXXX,21
10月1日,工资,老公工资,-526.0979021,光大银行,22,10月1日,生活费,卖菜,-1126.9697,XXXXX,22
