序号-一,项目名称-土地平整,计算单位,工程量
(一),田块平整,,
1,推土机推土(一、二类土 推土距离 30~40m）,100(m3),181.4
二,农田水利,,
(一),农沟（42809m）,,
1,人工挖土方（一、二类土）,100(m3),9.1
2,建筑物土方回填（土方回填 人工夯实）,100(m3),1.43
3,人工装自卸汽车运土 运距（1~1.5km）,100(m3),7.39
(二),灌排两用渠(14070m),,
1,人工挖土方（一、二类土）,100(m3),8.12
2,人工装自卸汽车运土 运距（0.5~1km）,100(m3),2.55
3,建筑物土方回填（土方回填 人工夯实）,100(m3),2.63
4,草皮铺种（满铺）,1(hm2),78.63
5,明渠C15砼衬砌（边坡陡于1:0.5 衬砌厚度 10~15cm）,100(m3),11.87
(三),农渠(31203m),,
1,明渠C15砼衬砌(边坡陡于1:0.75衬砌厚度 10~15cm）,100(m3),7.76
2,人工挖土方（一、二类土）,100(m3),8.96
3,人工装自卸汽车运土 运距（0.5~1km）,100(m3),10.48
4,建筑物土方回填（土方回填 人工夯实）,100(m3),4.64
(四),斗渠(1794m),,
1,明渠C20砼衬砌(边坡陡于1:0.75衬砌厚度 10~15cm）,100(m3),2.23
2,人工挖土方（一、二类土）,100(m3),6.59
3,人工装自卸汽车运土 运距（0.5~1km）,100(m3),4.44
4,建筑物土方回填（土方回填 人工夯实）,100(m3),1.92
(五),农门(110）,,
1,人工挖土方（一、二类土）,100(m3),7.66
2,建筑物土方回填（土方回填 人工夯实）,100(m3),5.61
3,中孔底板,100(m3),0.13
4,M7.5浆砌块石（基础）,100(m3),0.19
5,M7.5浆砌块石（挡土墙）,100(m3),0.56
6,闸墩（整墩墩厚 0.8m以下）,100(m3),0.09
7,钢筋制安 （人力）,1 (t),2.99
8,预制钢筋混凝土闸门（体积 ≤0.5m3）,100(m3),0.01
9,汽车运预制混凝土小型构件（体积≤0.6m3 运距 0~1km）,100(m3),0.01
(六),斗门（13个）,,
1,人工挖土方（一、二类土）,100(m3),0.42
2,建筑物土方回填（土方回填 人工夯实）,100(m3),0.27
3,中孔底板,100(m3),0.02
4,M7.5浆砌块石（基础）,100(m3),0.06
5,M7.5浆砌块石（挡土墙）,100(m3),0.19
6,闸墩（整墩墩厚 0.8m以下）,100(m3),0.02
7,钢筋制安 （人力）,1 (t),0.54
(七),农桥4*4（7）,,
1,人工挖土方（一、二类土）,100(m3),7.0
2,建筑物土方回填（土方回填 机械夯填）,100(m3),2.1
3,预制C25混凝土板,100(m3),0.4
4,双胶轮车运小型预制混凝土构件（装运50m）,100(m3),0.4
5,预制混凝土小型构件（栏杆扶手）,100(m3),0.3
6,预制混凝土板安装（单个构件体积 0.6~2m3）,100(m3),0.4
7,C20混凝土 底板,100(m3),1.5
8,干砌块石（基础）,100(m3),0.6
9,钢筋制安 （人力）,1 (t),10.8
10,M10浆砌块石（挡土墙）,100(m3),2.3
(八),生产便桥（873座）,,
1,人工挖土方（一、二类土）,100(m3),83.2
2,建筑物土方回填（土方回填 人工夯实）,100(m3),24.01
3,预制C25混凝土平板,100(m3),30.65
4,预制混凝土板安装（单个构件体积 0.6~2m3）,100(m3),30.65
5,双胶轮车运小型预制混凝土构件（装运50m）,100(m3),3.52
(九),灌排两用渠尾闸(14),,
1,人工挖土方（一、二类土）,100(m3),1.5
2,建筑物土方回填（土方回填 人工夯实）,100(m3),1.14
3,C25底板,100(m3),0.23
4,C25闸墩（整墩墩厚 0.8m以下）,100(m3),0.02
5,M10浆砌块石（基础）,100(m3),0.23
6,钢筋制安 （人力）,1 (t),2.79
