广东省2017年提前第二批本科文科第一次投档情况-院校代码,广东省2017年提前第二批本科文科第一次投档情况-院校名称,广东省2017年提前第二批本科文科第一次投档情况-计划数,广东省2017年提前第二批本科文科第一次投档情况-投档人数,广东省2017年提前第二批本科文科第一次投档情况-第一志愿投档最低分
10018,北京电子科技学院,2,1(男),554
10018,北京电子科技学院,2,1(女),556
10059,中国民航大学,4,3,426
10068,天津外国语大学,2,2,533
10175,中国刑事警察学院,3,1(男),418
10175,中国刑事警察学院,3,1(女),546
10274,上海海关学院,29,33,545
10624,中国民用航空飞行学院,15,17,479
10650,四川外国语大学,6,7,542
10829,公安海警学院,3,3(男),484
10829,公安海警学院,3,1(女),540
10856,上海工程技术大学,6,3,426
11110,广东警官学院,87,82(男),479
11110,广东警官学院,87,14(女),530
11466,南京森林警察学院,9,9(男),450
11466,南京森林警察学院,9,1(女),488
11903,中央司法警官学院,35,32(男),441
11903,中央司法警官学院,35,6(女),494
12735,铁道警察学院,11,11(男),432
12735,铁道警察学院,11,1(女),507
61110,广东警官学院,5,2(潮州市),418
61110,广东警官学院,6,7(河源市),419
61110,广东警官学院,5,6(揭阳市),429
61110,广东警官学院,6,7(茂名市),431
61110,广东警官学院,6,7(梅州市),440
61110,广东警官学院,6,1(汕尾市),418
61110,广东警官学院,6,4(韶关市),418
61110,广东警官学院,6,7(阳江市),452
61110,广东警官学院,5,3(云浮市),418
61110,广东警官学院,6,5(湛江市),418
91040,武警警官学院,8,9,509
