广东省2017年提前第一批本科文科第一次投档情况-院校代码,广东省2017年提前第一批本科文科第一次投档情况-院校名称,广东省2017年提前第一批本科文科第一次投档情况-计划数,广东省2017年提前第一批本科文科第一次投档情况-投档人数,广东省2017年提前第一批本科文科第一次投档情况-第一志愿投档最低分
10001,北京大学,8,9,636
10002,中国人民大学,3,3,621
10006,北京航空航天大学,7,2(东航),514
10006,北京航空航天大学,7,6(南航),523
10030,北京外国语大学,5,6,588
10032,北京语言大学,6,9,573
10033,中国传媒大学,6,7,586
10036,对外经济贸易大学,5,6,595
10040,外交学院,6,7,596
10041,中国人民公安大学,25,19(男),525
10041,中国人民公安大学,25,11(女),548
10042,国际关系学院,10,6(男),557
10042,国际关系学院,10,7(女),568
10175,中国刑事警察学院,3,0,-
10200,东北师范大学,2,2,563
10246,复旦大学,13,16,625
10271,上海外国语大学,4,4,599
10486,武汉大学,4,4,606
10511,华中师范大学,3,3,581
10520,中南财经政法大学,16,6(男),520
10520,中南财经政法大学,16,2(女),542
10574,华南师范大学,789,847,552
10635,西南大学,3,3,556
10652,西南政法大学,8,8(男),553
10652,西南政法大学,8,1(女),574
10718,陕西师范大学,5,8,546
11105,中国人民武装警察部队学院,9,2(男),520
11105,中国人民武装警察部队学院,9,1(女),542
16301,宁波诺丁汉大学,3,4,555
16401,北京师范大学-香港浸会大学联合国际学院,67,78,521
16407,香港中文大学(深圳),13,14,597
81002,香港中文大学,7,8,621
81006,香港城市大学,4,6,597
91002,国防科技大学,2,1(男),586
91002,国防科技大学,2,1(女),622
99001,空军航空大学,4,3,520
