广东省2017年提前第二批本科理科第一次投档情况-院校代码,广东省2017年提前第二批本科理科第一次投档情况-院校名称,广东省2017年提前第二批本科理科第一次投档情况-计划数,广东省2017年提前第二批本科理科第一次投档情况-投档人数,广东省2017年提前第二批本科理科第一次投档情况-第一志愿投档最低分
10018,北京电子科技学院,7,7(男),538
10018,北京电子科技学院,7,1(女),566
10059,中国民航大学,16,13,398
10175,中国刑事警察学院,8,5(男),360
10175,中国刑事警察学院,8,1(女),443
10274,上海海关学院,30,34,545
10624,中国民用航空飞行学院,105,119,419
10650,四川外国语大学,6,7,525
10829,公安海警学院,25,26(男),452
10829,公安海警学院,25,0(女),-
10856,上海工程技术大学,24,14,398
11110,广东警官学院,711,667(男),413
11110,广东警官学院,711,117(女),472
11466,南京森林警察学院,46,40(男),360
11466,南京森林警察学院,46,6(女),383
11903,中央司法警官学院,41,40(男),375
11903,中央司法警官学院,41,8(女),432
12735,铁道警察学院,20,14(男),360
12735,铁道警察学院,20,3(女),412
61110,广东警官学院,30,"33(潮州市,男)",396
61110,广东警官学院,29,"31(河源市,男)",365
61110,广东警官学院,30,"34(揭阳市,男)",409
61110,广东警官学院,29,"32(茂名市,男)",416
61110,广东警官学院,29,"32(梅州市,男)",409
61110,广东警官学院,29,"15(汕尾市,男)",360
61110,广东警官学院,29,"32(韶关市,男)",367
61110,广东警官学院,29,"20(阳江市,男)",360
61110,广东警官学院,30,"5(云浮市,男)",360
61110,广东警官学院,29,"22(湛江市,男)",360
61110,广东警官学院,5,"6(潮州市,女)",465
61110,广东警官学院,5,"6(河源市,女)",391
61110,广东警官学院,5,"6(揭阳市,女)",449
61110,广东警官学院,5,"6(茂名市,女)",404
61110,广东警官学院,5,"6(梅州市,女)",478
61110,广东警官学院,5,"2(汕尾市,女)",360
61110,广东警官学院,5,"6(韶关市,女)",449
61110,广东警官学院,5,"3(阳江市,女)",360
61110,广东警官学院,5,"4(云浮市,女)",360
61110,广东警官学院,5,"6(湛江市,女)",403
91040,武警警官学院,71,78,435
91041,武警特种警察学院,1,0,-
