连锁超市商品分类明细表-序号,连锁超市商品分类明细表-代码,连锁超市商品分类明细表-货品名称,连锁超市商品分类明细表-单位,连锁超市商品分类明细表-上月库存,连锁超市商品分类明细表-货架柜台结存,连锁超市商品分类明细表-赠品库存,连锁超市商品分类明细表-本月入库,连锁超市商品分类明细表-本月入库.1,连锁超市商品分类明细表-本月入库.2
序号,代码,货品名称,单位,上月库存,货架柜台结存,赠品库存,订单数量,调货数量,退货数量
1,10001,金龙鱼食用油,瓶,50,15,17,100,10,0
2,10002,康师傅方便面,箱,51,16,18,101,11,0
3,10003,金典纯牛奶,箱,52,17,19,102,12,0
4,10004,特仑苏纯牛奶,箱箱,53,18,20,103,13,0
5,10005,舒华纯牛奶,箱,54,19,21,104,14,0
6,10006,猕猴桃,KG,55,20,22,105,15,0
7,10007,洛川苹果,KG,56,21,23,106,16,0
8,10008,草莓,KG,57,22,24,107,17,0
9,10009,菠萝,KG,58,23,25,108,18,0
10,10010,木瓜,KG,59,24,26,109,19,0
11,10011,核桃,KG,60,25,27,110,20,0
12,10012,红枣,KG,61,26,28,111,21,0
13,10013,紫薯,KG,62,27,29,112,22,0
14,10014,脐橙,KG,63,28,30,113,23,0
15,10015,粑粑柑,KG,64,29,31,114,24,0
16,10016,芒果,KG,65,30,32,115,25,0
