成本费用支出分析表-项目成本,成本费用支出分析表-项目成本.1,成本费用支出分析表-项目成本.2,成本费用支出分析表-7月,成本费用支出分析表-7月.1,成本费用支出分析表-8月,成本费用支出分析表-8月.1,成本费用支出分析表-9月,成本费用支出分析表-9月.1,成本费用支出分析表-10月,成本费用支出分析表-10月.1,成本费用支出分析表-11月,成本费用支出分析表-11月.1,成本费用支出分析表-12月,成本费用支出分析表-12月.1,成本费用支出分析表-合计预算,成本费用支出分析表-实际支出,成本费用支出分析表-支出占比
项目成本,项目成本,项目成本,预算,支出,预算,支出,预算,支出,预算,支出,预算,支出,预算,支出,合计预算,实际支出,支出占比
生成成本,直接费用,直接材料,1500.0,1200.0,1500.0,1200.0,1500.0,1200.0,1500.0,1200.0,1500.0,1200.0,1500.0,1200.0,9000.0,7200.0,80.00%
生成成本,直接费用,直接工资,2500.0,1600.0,2500.0,1600.0,2500.0,1600.0,2500.0,1600.0,2500.0,1600.0,2500.0,1600.0,15000.0,9600.0,64.00%
生成成本,直接费用,福利费,1500.0,1800.0,1500.0,1800.0,1500.0,1800.0,1500.0,1800.0,1500.0,1800.0,1500.0,1800.0,9000.0,10800.0,120.00%
生成成本,直接费用,其他直接支出,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,4800.0,4800.0,100.00%
生成成本,制造费用,间接费用,1900.0,1500.0,1900.0,1500.0,1900.0,1500.0,1900.0,1500.0,1900.0,1500.0,1900.0,1500.0,11400.0,9000.0,78.95%
期间费用,管理费用,办公费,2300.0,2100.0,2300.0,2100.0,2300.0,2100.0,2300.0,2100.0,2300.0,2100.0,2300.0,2100.0,13800.0,12600.0,91.30%
期间费用,管理费用,差旅费,2500.0,2300.0,2500.0,2300.0,2500.0,2300.0,2500.0,2300.0,2500.0,2300.0,2500.0,2300.0,15000.0,13800.0,92.00%
期间费用,管理费用,折旧费,600.0,500.0,600.0,500.0,600.0,500.0,600.0,500.0,600.0,500.0,600.0,500.0,3600.0,3000.0,83.33%
期间费用,财务费用,利息支出,800.0,700.0,800.0,700.0,800.0,700.0,800.0,700.0,800.0,700.0,800.0,700.0,4800.0,4200.0,87.50%
合计,合计,合计,14400.0,12500.0,14400.0,12500.0,14400.0,12500.0,14400.0,12500.0,14400.0,12500.0,14400.0,12500.0,86400.0,75000.0,86.81%
