名称,型号,单位,数值
冷弯Z形钢,Z80×40×2.5,kg/m,2.947
冷弯Z形钢,Z80×40×3.0,kg/m,3.491
冷弯Z形钢,Z100×50×2.5,kg/m,3.732
冷弯Z形钢,Z100×50×3.0,kg/m,4.432
冷弯卷边Z形钢,Z100×40×20×2.0,kg/m,3.208
冷弯卷边Z形钢,Z100×40×20×2.5,kg/m,3.932
冷弯卷边Z形钢,Z120×50×20×2.0,kg/m,3.835
冷弯卷边Z形钢,Z120×50×20×2.5,kg/m,4.718
冷弯卷边Z形钢,Z120×50×20×3.0,kg/m,5.569
冷弯卷边Z形钢,Z140×50×20×2.5,kg/m,5.11
冷弯卷边Z形钢,Z140×50×20×3.0,kg/m,6.04
冷弯卷边Z形钢,Z160×60×20×2.5,kg/m,5.895
冷弯卷边Z形钢,Z160×60×20×3.0,kg/m,6.982
冷弯卷边Z形钢,Z160×70×20×2.5,kg/m,6.288
冷弯卷边Z形钢,Z160×70×20×3.0,kg/m,7.453
冷弯卷边Z形钢,Z180×70×20×2.5,kg/m,6.679
冷弯卷边Z形钢,Z180×70×20×3.0,kg/m,7.924
冷弯卷边Z形钢,Z200×70×20×2.5,kg/m,7.073
冷弯卷边Z形钢,Z200×70×20×3.0,kg/m,8.394
冷弯卷边Z形钢,Z230×75×25×3.0,kg/m,9.573
冷弯卷边Z形钢,Z230×75×25×4.0,kg/m,12.51
冷弯卷边Z形钢,Z250×75×25×3.0,kg/m,10.04
冷弯卷边Z形钢,Z250×75×25×4.0,kg/m,13.14
