名称,型号,单位,数值
热轧工字钢,工10(100×68×4.5),kg/m,11.26
热轧工字钢,工12.6(126×74×5.0),kg/m,14.223
热轧工字钢,工14(140×80×5.5),kg/m,16.89
热轧工字钢,工16(160×88×6.0),kg/m,20.513
热轧工字钢,工18(180×94×6.5),kg/m,21.113
热轧工字钢,工20a(200×100×7.0),kg/m,27.928
热轧工字钢,工20b(200×102×9.0),kg/m,31.068
热轧工字钢,工22a(220×110×7.5),kg/m,33.07
热轧工字钢,工22b(220×112×9.5),kg/m,36.524
热轧工字钢,工25a(250×116×8.0),kg/m,38.105
热轧工字钢,工25b(250×118×10.0),kg/m,42.03
热轧工字钢,工28a(280×122×8.5),kg/m,43.491
热轧工字钢,工28b(280×121×10.5),kg/m,47.887
热轧工字钢,工32a(320×130×9.5),kg/m,52.716
热轧工字钢,工32b(320×132×11.5),kg/m,57.741
热轧工字钢,工32c(320×134×13.5),kg/m,62.765
热轧工字钢,工36a(360×136×10.0),kg/m,60.036
热轧工字钢,工36b(360×138×12.0),kg/m,65.688
热轧工字钢,工36c(360×140×14.0),kg/m,71.34
热轧工字钢,工40a(400×142×10.5),kg/m,67.597
热轧工字钢,工40b(400×144×12.5),kg/m,73.878
热轧工字钢,工40c(400×146×14.5),kg/m,80.158
热轧工字钢,工45a(450×150×11.5),kg/m,80.42
热轧工字钢,工45b(450×152×12.0),kg/m,87.185
热轧工字钢,工45c(450×154×15.5),kg/m,91.549
热轧工字钢,工50a(500×158×12.0),kg/m,93.653
热轧工字钢,工50b(500×160×14.0),kg/m,101.5
热轧工字钢,工50c(500×162×16.0),kg/m,109.35
热轧工字钢,工56a(560×166×12.5),kg/m,106.31
热轧工字钢,工56b(560×168×14.5),kg/m,115.1
热轧工字钢,工56c(560×170×16.5),kg/m,123.9
热轧工字钢,工63a(630×176×13.0),kg/m,121.1
热轧工字钢,工63b(630×178×15.0),kg/m,131.29
热轧工字钢,工63c(630×180×17.0),kg/m,141.18
热轧工字钢,工12(120×74×5.0),kg/m,13.987
热轧工字钢,工24a(240×116×8.0),kg/m,37.476
热轧工字钢,工24b(240×118×10.0),kg/m,41.244
热轧工字钢,工27a(270×122×8.5),kg/m,42.825
热轧工字钢,工27b(270×124×10.5),kg/m,47.064
热轧工字钢,工30a(300×126×9.0),kg/m,48.084
热轧工字钢,工30b(300×128×11.0),kg/m,52.793
热轧工字钢,工30c(300×130×13.0),kg/m,57.503
热轧工字钢,工55a(550×166×12.5),kg/m,105.33
热轧工字钢,工55b(550×168×14.5),kg/m,113.97
热轧工字钢,工55c(550×170×16.5),kg/m,122.6
热轧工字钢,工10(100×55×4.2),kg/m,8.95
热轧工字钢,工12(120×56×4.4),kg/m,11.15
热轧工字钢,工14(140×75×4.6),kg/m,13.5
热轧工字钢,工16(160×80×4.8),kg/m,15.39
热轧工字钢,工18(180×85×5.0),kg/m,17.43
热轧工字钢,工20(200×90×5.2),kg/m,20.25
热轧工字钢,工22(220×100×5.5),kg/m,23.859
热轧工字钢,工25(250×110×6.0),kg/m,28.89
热轧工字钢,工28(280×120×6.5),kg/m,34.46
热轧工字钢,工32(320×130×7.0),kg/m,41.369
热轧工字钢,工36(360×140×7.5),kg/m,48.59
热轧工字钢,工40(400×150×8.0),kg/m,56.28
热轧工字钢,工45(450×160×8.5),kg/m,65.469
热轧工字钢,工50(500×170×9.0),kg/m,74.969
热轧工字钢,工56(560×180×10.0),kg/m,90.59
热轧工字钢,工63(630×190×11.0),kg/m,108.56
