现金日记账表-今天是：-序号-序号,现金日记账表-今天是：-收入明细-项目名称,现金日记账表-2024年2月26日-收入明细-内容明细,现金日记账表-2024年2月26日-收入明细-涉及金额,现金日记账表-2024年2月26日-收入明细-入账方式,现金日记账表-收入合计-收入明细-备注,现金日记账表-9666-支出明细-项目名称,现金日记账表-9666-支出明细-内容明细,现金日记账表-支出合计-支出明细-涉及金额,现金日记账表-7266-支出明细-出账方式,现金日记账表-7266-支出明细-发票张数,现金日记账表-剩余合计-支出明细-备注,现金日记账表-2400-剩余金额-剩余金额
1,收入项目1,收入项目,800,微信,///,支出项目1,支出项目,600,银行卡,1,///,200
2,收入项目2,收入项目,801,微信,///,支出项目2,支出项目,601,银行卡,2,///,200
3,收入项目3,收入项目,802,微信,///,支出项目3,支出项目,602,银行卡,3,///,200
4,收入项目4,收入项目,803,微信,///,支出项目4,支出项目,603,银行卡,4,///,200
5,收入项目5,收入项目,804,微信,///,支出项目5,支出项目,604,银行卡,5,///,200
6,收入项目6,收入项目,805,微信,///,支出项目6,支出项目,605,银行卡,6,///,200
7,收入项目7,收入项目,806,微信,///,支出项目7,支出项目,606,银行卡,7,///,200
8,收入项目8,收入项目,807,微信,///,支出项目8,支出项目,607,银行卡,8,///,200
9,收入项目9,收入项目,808,微信,///,支出项目9,支出项目,608,银行卡,9,///,200
10,收入项目10,收入项目,809,微信,///,支出项目10,支出项目,609,银行卡,10,///,200
11,收入项目11,收入项目,810,微信,///,支出项目11,支出项目,610,银行卡,11,///,200
12,收入项目12,收入项目,811,微信,///,支出项目12,支出项目,611,银行卡,12,///,200
