名称,型号,单位,数值
等边角钢,∠20×3,kg/m,0.889
等边角钢,∠20×4,kg/m,1.145
等边角钢,∠25×3,kg/m,1.124
等边角钢,∠25×4,kg/m,1.459
等边角钢,∠30×3,kg/m,1.373
等边角钢,∠30×4,kg/m,1.786
等边角钢,∠36×3,kg/m,1.656
等边角钢,∠36×4,kg/m,2.163
等边角钢,∠36×5,kg/m,2.654
等边角钢,∠40×3,kg/m,1.852
等边角钢,∠40×4,kg/m,2.422
等边角钢,∠40×5,kg/m,2.976
等边角钢,∠45×3,kg/m,2.088
等边角钢,∠45×4,kg/m,2.736
等边角钢,∠45×5,kg/m,3.369
等边角钢,∠45×6,kg/m,3.985
等边角钢,∠50×3,kg/m,2.332
等边角钢,∠50×4,kg/m,3.059
等边角钢,∠50×5,kg/m,3.77
等边角钢,∠50×6,kg/m,4.465
等边角钢,∠56×3,kg/m,2.624
等边角钢,∠56×4,kg/m,3.446
等边角钢,∠56×5,kg/m,4.251
等边角钢,∠56×8,kg/m,6.568
等边角钢,∠63×4,kg/m,3.907
等边角钢,∠63×5,kg/m,4.822
等边角钢,∠63×6,kg/m,5.721
等边角钢,∠63×8,kg/m,7.469
等边角钢,∠63×10,kg/m,9.151
等边角钢,∠70×4,kg/m,4.372
等边角钢,∠70×5,kg/m,5.397
等边角钢,∠70×6,kg/m,6.406
等边角钢,∠70×7,kg/m,7.398
等边角钢,∠70×8,kg/m,8.373
等边角钢,∠75×5,kg/m,5.818
等边角钢,∠75×6,kg/m,6.905
等边角钢,∠75×7,kg/m,7.976
等边角钢,∠75×8,kg/m,9.03
等边角钢,∠75×10,kg/m,11.089
等边角钢,∠80×5,kg/m,6.211
等边角钢,∠80×6,kg/m,7.376
等边角钢,∠80×7,kg/m,8.525
等边角钢,∠80×8,kg/m,9.658
等边角钢,∠80×10,kg/m,11.874
等边角钢,∠90×6,kg/m,8.35
等边角钢,∠90×7,kg/m,9.656
等边角钢,∠90×8,kg/m,10.946
等边角钢,∠90×10,kg/m,13.476
等边角钢,∠90×12,kg/m,15.94
等边角钢,∠100×6,kg/m,9.366
等边角钢,∠100×7,kg/m,10.83
等边角钢,∠100×8,kg/m,12.276
等边角钢,∠100×10,kg/m,15.12
等边角钢,∠100×12,kg/m,17.898
等边角钢,∠100×14,kg/m,20.611
等边角钢,∠100×16,kg/m,23.257
等边角钢,∠110×7,kg/m,11.928
等边角钢,∠110×8,kg/m,13.532
等边角钢,∠110×10,kg/m,16.69
等边角钢,∠110×12,kg/m,19.782
等边角钢,∠110×14,kg/m,22.809
等边角钢,∠120×8,kg/m,15.504
等边角钢,∠120×10,kg/m,19.133
等边角钢,∠120×12,kg/m,22.696
等边角钢,∠120×14,kg/m,26.193
等边角钢,∠140×10,kg/m,21.488
等边角钢,∠140×12,kg/m,25.522
等边角钢,∠140×14,kg/m,29.49
等边角钢,∠140×16,kg/m,33.393
等边角钢,∠160×10,kg/m,24.729
等边角钢,∠160×12,kg/m,29.391
等边角钢,∠160×14,kg/m,33.987
等边角钢,∠160×16,kg/m,38.518
等边角钢,∠180×12,kg/m,33.159
等边角钢,∠180×14,kg/m,38.383
等边角钢,∠180×16,kg/m,43.542
等边角钢,∠180×18,kg/m,48.634
等边角钢,∠200×14,kg/m,42.894
等边角钢,∠200×16,kg/m,48.68
等边角钢,∠200×18,kg/m,54.401
等边角钢,∠200×20,kg/m,60.056
等边角钢,∠200×24,kg/m,71.168
