名称,型号,单位,数值
不等边角钢,∠25×16×3,kg/m,0.912
不等边角钢,∠25×16×4,kg/m,1.176
不等边角钢,∠32×20×3,kg/m,1.171
不等边角钢,∠32×20×4,kg/m,1.522
不等边角钢,∠40×25×3,kg/m,1.484
不等边角钢,∠40×25×4,kg/m,1.936
不等边角钢,∠45×28×3,kg/m,1.687
不等边角钢,∠45×28×4,kg/m,2.203
不等边角钢,∠50×32×3,kg/m,1.908
不等边角钢,∠50×32×4,kg/m,2.494
不等边角钢,∠56×36×3,kg/m,2.153
不等边角钢,∠56×36×4,kg/m,2.818
不等边角钢,∠56×36×5,kg/m,3.466
不等边角钢,∠63×40×4,kg/m,3.185
不等边角钢,∠63×40×5,kg/m,3.92
不等边角钢,∠63×40×6,kg/m,4.638
不等边角钢,∠63×40×7,kg/m,5.339
不等边角钢,∠70×45×4,kg/m,3.57
不等边角钢,∠70×45×5,kg/m,4.403
不等边角钢,∠70×45×6,kg/m,5.218
不等边角钢,∠70×45×7,kg/m,6.011
不等边角钢,∠75×50×5,kg/m,4.808
不等边角钢,∠75×50×6,kg/m,5.699
不等边角钢,∠75×50×8,kg/m,7.431
不等边角钢,∠75×50×10,kg/m,9.098
不等边角钢,∠80×50×5,kg/m,5.005
不等边角钢,∠80×50×6,kg/m,5.935
不等边角钢,∠80×50×7,kg/m,6.848
不等边角钢,∠80×50×8,kg/m,7.745
不等边角钢,∠90×56×5,kg/m,5.661
不等边角钢,∠90×56×6,kg/m,6.717
不等边角钢,∠90×56×7,kg/m,7.756
不等边角钢,∠90×56×8,kg/m,8.779
不等边角钢,∠100×63×6,kg/m,7.55
不等边角钢,∠100×63×7,kg/m,8.722
不等边角钢,∠100×63×8,kg/m,9.878
不等边角钢,∠100×63×10,kg/m,12.142
不等边角钢,∠100×80×6,kg/m,8.35
不等边角钢,∠100×80×7,kg/m,9.656
不等边角钢,∠100×80×8,kg/m,10.946
不等边角钢,∠100×80×10,kg/m,13.476
不等边角钢,∠100×70×6,kg/m,8.35
不等边角钢,∠100×70×7,kg/m,9.656
不等边角钢,∠100×70×8,kg/m,10.946
不等边角钢,∠100×70×10,kg/m,13.476
不等边角钢,∠125×80×7,kg/m,11.066
不等边角钢,∠125×80×8,kg/m,12.551
不等边角钢,∠125×80×10,kg/m,15.474
不等边角钢,∠125×80×12,kg/m,18.33
不等边角钢,∠140×90×8,kg/m,14.16
不等边角钢,∠140×90×10,kg/m,17.475
不等边角钢,∠140×90×12,kg/m,20.724
不等边角钢,∠140×90×14,kg/m,23.908
不等边角钢,∠160×100×10,kg/m,19.872
不等边角钢,∠160×100×12,kg/m,23.592
不等边角钢,∠160×100×14,kg/m,27.247
不等边角钢,∠160×100×16,kg/m,30.835
不等边角钢,∠180×110×10,kg/m,22.273
不等边角钢,∠180×110×12,kg/m,26.464
不等边角钢,∠180×110×14,kg/m,30.589
不等边角钢,∠180×110×16,kg/m,34.649
不等边角钢,∠200×125×12,kg/m,29.761
不等边角钢,∠200×125×14,kg/m,34.436
不等边角钢,∠200×125×16,kg/m,39.045
不等边角钢,∠200×125×18,kg/m,43.588
