名称,型号,单位,数值
冷弯等边槽钢,[20×10×1.5,kg/m,0.401
冷弯等边槽钢,[20×10×2.0,kg/m,0.505
冷弯等边槽钢,[20×10×2.5,kg/m,0.593
冷弯等边槽钢,[30×10×1.5,kg/m,0.519
冷弯等边槽钢,[30×10×2.0,kg/m,0.662
冷弯等边槽钢,[30×10×2.5,kg/m,0.789
冷弯等边槽钢,[30×30×3.0,kg/m,1.843
冷弯等边槽钢,[40×20×2.0,kg/m,1.133
冷弯等边槽钢,[40×20×2.5,kg/m,1.378
冷弯等边槽钢,[40×20×3.0,kg/m,1.607
冷弯等边槽钢,[50×30×2.0,kg/m,1.604
冷弯等边槽钢,[50×30×2.5,kg/m,1.967
冷弯等边槽钢,[50×30×3.0,kg/m,2.314
冷弯等边槽钢,[50×50×3.0,kg/m,3.256
冷弯等边槽钢,[60×30×2.5,kg/m,2.163
冷弯等边槽钢,[60×30×3.0,kg/m,2.549
冷弯等边槽钢,[80×40×2.5,kg/m,2.984
冷弯等边槽钢,[80×40×3.0,kg/m,3.491
冷弯等边槽钢,[80×40×4.0,kg/m,4.532
冷弯等边槽钢,[100×50×3.0,kg/m,4.433
冷弯等边槽钢,[100×50×4.0,kg/m,5.788
冷弯等边槽钢,[120×60×3.0,kg/m,5.375
冷弯等边槽钢,[120×60×4.0,kg/m,7.044
冷弯等边槽钢,[140×60×3.0,kg/m,5.846
冷弯等边槽钢,[140×60×4.0,kg/m,7.672
冷弯等边槽钢,[140×60×5.0,kg/m,9.436
冷弯等边槽钢,[160×60×3.0,kg/m,9.317
冷弯等边槽钢,[160×60×4.0,kg/m,8.3
冷弯等边槽钢,[160×60×5.0,kg/m,10.221
冷弯等边槽钢,[160×80×3.0,kg/m,7.259
冷弯等边槽钢,[160×80×4.0,kg/m,9.556
冷弯等边槽钢,[160×80×5.0,kg/m,11.791
冷弯等边槽钢,[180×80×4.0,kg/m,10.184
冷弯等边槽钢,[180×80×5.0,kg/m,12.576
冷弯等边槽钢,[200×80×4.0,kg/m,10.812
冷弯等边槽钢,[200×80×5.0,kg/m,13.361
冷弯等边槽钢,[200×80×6.0,kg/m,15.849
