名称,型号,单位,数值
冷弯等边角钢,∠30×30×1.6,kg/m,0.714
冷弯等边角钢,∠30×30×2.0,kg/m,0.88
冷弯等边角钢,∠30×30×2.5,kg/m,1.081
冷弯等边角钢,∠30×30×3.0,kg/m,1.274
冷弯等边角钢,∠40×40×1.6,kg/m,0.965
冷弯等边角钢,∠40×40×2.0,kg/m,1.194
冷弯等边角钢,∠40×40×2.5,kg/m,1.473
冷弯等边角钢,∠40×40×3.0,kg/m,1.745
冷弯等边角钢,∠40×40×4.0,kg/m,2.266
冷弯等边角钢,∠50×50×2.0,kg/m,1.508
冷弯等边角钢,∠50×50×2.5,kg/m,1.866
冷弯等边角钢,∠50×50×3.0,kg/m,2.216
冷弯等边角钢,∠50×50×4.0,kg/m,2.894
冷弯等边角钢,∠60×60×2.0,kg/m,1.822
冷弯等边角钢,∠60×60×2.5,kg/m,2.258
冷弯等边角钢,∠60×60×3.0,kg/m,2.687
冷弯等边角钢,∠60×60×4.0,kg/m,3.522
冷弯等边角钢,∠70×70×3.0,kg/m,3.158
冷弯等边角钢,∠70×70×4.0,kg/m,4.15
冷弯等边角钢,∠70×70×5.0,kg/m,5.11
冷弯等边角钢,∠80×80×3.0,kg/m,3.629
冷弯等边角钢,∠80×80×4.0,kg/m,4.778
冷弯等边角钢,∠80×80×5.0,kg/m,5.895
冷弯等边角钢,∠80×80×6.0,kg/m,6.982
冷弯等边角钢,∠100×100×3.0,kg/m,4.571
冷弯等边角钢,∠100×100×4.0,kg/m,6.034
冷弯等边角钢,∠100×100×5.0,kg/m,7.465
冷弯等边角钢,∠100×100×6.0,kg/m,8.866
