项目名称,收入金额,支出金额,毛利金额,2023-01-22,A_003项目,130.0,XXX,Unnamed: 8,2886.0,XXXXX,8.0
A_001项目,23632.0,9350.0,14282.0,2023-01-25,A_004项目,131.0,XXX,,1806.0,XXXXX,9.0
A_002项目,24968.0,11090.0,13878.0,2023-01-28,A_005项目,132.0,XXX,,3188.0,XXXXX,10.0
A_003项目,20288.0,13389.0,6899.0,2023-01-31,A_006项目,133.0,XXX,2200.0,,XXXXX,11.0
A_004项目,17413.0,15762.0,1651.0,2023-02-03,A_007项目,134.0,XXX,2113.0,,XXXXX,12.0
A_005项目,36157.0,21473.0,14684.0,2023-02-06,A_008项目,135.0,XXX,2887.0,,XXXXX,13.0
A_006项目,20282.0,15741.0,4541.0,2023-02-09,A_009项目,136.0,XXX,4273.0,,XXXXX,14.0
A_007项目,18323.0,11688.0,6635.0,2023-02-12,A_010项目,137.0,XXX,2761.0,,XXXXX,15.0
A_008项目,19622.0,10757.0,8865.0,2023-02-15,A_005项目,138.0,XXX,,1390.0,XXXXX,16.0
A_009项目,29013.0,6669.0,22344.0,2023-02-18,A_006项目,139.0,XXX,,2586.0,XXXXX,17.0
A_010项目,28973.0,6587.0,22386.0,2023-02-21,A_007项目,140.0,XXX,,3498.0,XXXXX,18.0
A_011项目,0.0,0.0,0.0,2023-02-24,A_008项目,141.0,XXX,,1857.0,XXXXX,19.0
全部项目,238671.0,122506.0,116165.0,2023-02-27,A_009项目,142.0,XXX,2763.0,,XXXXX,20.0
