名称,型号,单位,数值
铝青铜板,8.0,kg/m2,5.99
铝青铜板,0.01,kg/m2,7.49
铝青铜板,0.012,kg/m2,8.99
铝青铜板,1.49,kg/m2,0.112
铝青铜板,0.02,kg/m2,0.14
铝青铜板,2.99,kg/m2,0.22
铝青铜板,4.0,kg/m2,0.35
铝青铜板,5.0,kg/m2,0.37
铝青铜板,5.99,kg/m2,0.45
铝青铜板,7.0,kg/m2,0.52
铝青铜板,8.0,kg/m2,0.59
铝青铜板,8.99,kg/m2,0.67
铝青铜板,0.1,kg/m2,0.75
铝青铜板,0.12,kg/m2,0.9
铝青铜板,0.14,kg/m2,1.12
铝青铜板,0.17,kg/m2,0.35
铝青铜板,0.2,kg/m2,1.5
铝青铜板,0.22,kg/m2,1.65
铝青铜板,0.25,kg/m2,1.87
铝青铜板,0.29,kg/m2,2.25
铝青铜板,0.35,kg/m2,2.62
铝青铜板,0.4,kg/m2,3.0
铝青铜板,0.45,kg/m2,3.37
铝青铜板,0.5,kg/m2,3.7
铝青铜板,0.55,kg/m2,4.12
铝青铜板,0.59,kg/m2,4.5
铝青铜板,0.65,kg/m2,4.87
铝青铜板,0.7,kg/m2,5.25
铝青铜板,0.75,kg/m2,5.62
铝青铜板,0.8,kg/m2,6.0
铝青铜板,0.84,kg/m2,6.37
铝青铜板,0.9,kg/m2,6.75
铝青铜板,0.95,kg/m2,7.12
铝青铜板,1.0,kg/m2,7.5
铝青铜板,1.1,kg/m2,8.25
铝青铜板,1.2,kg/m2,9.0
铝青铜板,1.5,kg/m2,11.25
铝青铜板,1.8,kg/m2,13.5
铝青铜板,2.0,kg/m2,15.0
铝青铜板,2.5,kg/m2,18.75
铝青铜板,3.0,kg/m2,22.5
铝青铜板,3.5,kg/m2,26.25
铝青铜板,4.0,kg/m2,30.0
铝青铜板,4.5,kg/m2,33.75
铝青铜板,5.0,kg/m2,37.0
铝青铜板,5.5,kg/m2,41.25
铝青铜板,6.0,kg/m2,45.0
铝青铜板,6.5,kg/m2,48.75
铝青铜板,7.0,kg/m2,52.5
铝青铜板,7.5,kg/m2,56.25
铝青铜板,8.0,kg/m2,60.0
铝青铜板,9.0,kg/m2,67.5
铝青铜板,10.0,kg/m2,75.0
铝青铜板,11.0,kg/m2,82.5
铝青铜板,12.0,kg/m2,90.0
