名称,型号,单位,数值
纯铜板,8.0,kg/m2,7.0999
纯铜板,0.01,kg/m2,8.8999
纯铜板,0.012,kg/m2,0.107
纯铜板,1.49,kg/m2,0.134
纯铜板,0.02,kg/m2,0.1779
纯铜板,2.99,kg/m2,0.267
纯铜板,4.0,kg/m2,0.3559
纯铜板,5.0,kg/m2,0.445
纯铜板,5.99,kg/m2,0.534
纯铜板,7.0,kg/m2,0.623
纯铜板,8.0,kg/m2,0.7119
纯铜板,8.99,kg/m2,0.801
纯铜板,0.1,kg/m2,0.89
纯铜板,0.12,kg/m2,1.07
纯铜板,0.14,kg/m2,1.34
纯铜板,0.17,kg/m2,1.6
纯铜板,0.2,kg/m2,1.78
纯铜板,0.22,kg/m2,1.96
纯铜板,0.25,kg/m2,2.23
纯铜板,0.29,kg/m2,2.6699
纯铜板,0.35,kg/m2,3.12
纯铜板,0.4,kg/m2,3.56
纯铜板,0.45,kg/m2,4.0099
纯铜板,0.5,kg/m2,4.45
纯铜板,0.55,kg/m2,4.9
纯铜板,0.59,kg/m2,5.3399
纯铜板,0.65,kg/m2,5.79
纯铜板,0.7,kg/m2,6.23
纯铜板,0.75,kg/m2,6.6799
纯铜板,0.8,kg/m2,7.12
纯铜板,0.84,kg/m2,7.57
纯铜板,0.9,kg/m2,8.0099
纯铜板,1.0,kg/m2,8.9
纯铜板,1.1,kg/m2,9.79
纯铜板,1.2,kg/m2,10.68
纯铜板,1.3,kg/m2,11.57
纯铜板,1.35,kg/m2,12.02
纯铜板,1.4,kg/m2,12.46
纯铜板,1.5,kg/m2,13.35
纯铜板,1.6,kg/m2,14.24
纯铜板,1.65,kg/m2,14.69
纯铜板,1.8,kg/m2,16.02
纯铜板,2.0,kg/m2,17.8
纯铜板,2.2,kg/m2,19.58
纯铜板,2.25,kg/m2,20.03
纯铜板,2.5,kg/m2,22.25
纯铜板,2.75,kg/m2,24.48
纯铜板,2.8,kg/m2,24.92
纯铜板,3.0,kg/m2,26.699
纯铜板,3.5,kg/m2,31.15
纯铜板,4.0,kg/m2,35.6
纯铜板,4.5,kg/m2,40.05
纯铜板,5.0,kg/m2,44.5
纯铜板,5.5,kg/m2,48.95
纯铜板,6.0,kg/m2,53.399
纯铜板,6.5,kg/m2,57.85
纯铜板,7.0,kg/m2,62.3
纯铜板,7.5,kg/m2,66.75
纯铜板,8.0,kg/m2,71.2
纯铜板,9.0,kg/m2,80.1
纯铜板,10.0,kg/m2,89.0
纯铜板,11.0,kg/m2,97.9
纯铜板,12.0,kg/m2,106.8
纯铜板,13.0,kg/m2,115.7
纯铜板,14.0,kg/m2,124.6
纯铜板,15.0,kg/m2,133.5
纯铜板,16.0,kg/m2,142.4
纯铜板,17.0,kg/m2,151.3
纯铜板,18.0,kg/m2,160.2
纯铜板,19.0,kg/m2,169.09
纯铜板,20.0,kg/m2,178.0
纯铜板,21.0,kg/m2,186.9
纯铜板,22.0,kg/m2,195.8
纯铜板,23.0,kg/m2,204.7
纯铜板,24.0,kg/m2,213.59
纯铜板,25.0,kg/m2,222.5
纯铜板,26.0,kg/m2,231.4
纯铜板,27.0,kg/m2,240.3
纯铜板,28.0,kg/m2,249.2
纯铜板,30.0,kg/m2,267.0
