名称,型号,单位,数值
圆棒,5.0,kg/m,0.055
圆棒,5.5,kg/m,6.7
圆棒,6.0,kg/m,7.9
圆棒,6.5,kg/m,9.2999
圆棒,7.0,kg/m,0.108
圆棒,7.5,kg/m,0.124
圆棒,8.0,kg/m,0.1409
圆棒,8.5,kg/m,0.159
圆棒,9.0,kg/m,0.1779
圆棒,9.5,kg/m,0.199
圆棒,10.0,kg/m,0.22
圆棒,10.5,kg/m,0.2429
圆棒,11.0,kg/m,0.266
圆棒,11.5,kg/m,0.2909
圆棒,12.0,kg/m,0.317
圆棒,13.0,kg/m,0.372
圆棒,14.0,kg/m,0.4309
圆棒,15.0,kg/m,0.495
圆棒,16.0,kg/m,0.5629
圆棒,17.0,kg/m,0.636
圆棒,18.0,kg/m,0.7129
圆棒,19.0,kg/m,0.794
圆棒,20.0,kg/m,0.88
圆棒,21.0,kg/m,0.9699
圆棒,22.0,kg/m,1.064
圆棒,24.0,kg/m,1.2669
圆棒,25.0,kg/m,1.374
圆棒,26.0,kg/m,1.487
圆棒,27.0,kg/m,1.603
圆棒,28.0,kg/m,1.724
圆棒,30.0,kg/m,1.979
圆棒,32.0,kg/m,2.2519
圆棒,34.0,kg/m,2.5419
圆棒,35.0,kg/m,2.694
圆棒,36.0,kg/m,2.85
圆棒,38.0,kg/m,3.176
圆棒,40.0,kg/m,3.519
圆棒,41.0,kg/m,3.697
圆棒,42.0,kg/m,3.879
圆棒,45.0,kg/m,4.453
圆棒,46.0,kg/m,4.6529
圆棒,48.0,kg/m,5.067
圆棒,50.0,kg/m,5.498
圆棒,51.0,kg/m,5.7199
圆棒,52.0,kg/m,5.9459
圆棒,58.0,kg/m,7.3979
圆棒,59.0,kg/m,7.655
圆棒,60.0,kg/m,7.9169
圆棒,62.0,kg/m,8.4529
圆棒,63.0,kg/m,8.7279
圆棒,65.0,kg/m,9.291
圆棒,70.0,kg/m,10.779
圆棒,75.0,kg/m,12.37
圆棒,80.0,kg/m,14.07
圆棒,85.0,kg/m,15.89
圆棒,90.0,kg/m,17.809
圆棒,95.0,kg/m,19.85
圆棒,100.0,kg/m,21.99
圆棒,105.0,kg/m,24.25
圆棒,110.0,kg/m,26.609
圆棒,115.0,kg/m,29.08
圆棒,120.0,kg/m,31.67
圆棒,125.0,kg/m,34.359
圆棒,130.0,kg/m,37.16
圆棒,135.0,kg/m,40.079
圆棒,140.0,kg/m,43.1
圆棒,145.0,kg/m,46.24
圆棒,150.0,kg/m,49.48
圆棒,160.0,kg/m,56.3
圆棒,170.0,kg/m,63.55
圆棒,180.0,kg/m,71.25
圆棒,190.0,kg/m,79.39
圆棒,200.0,kg/m,87.96
圆棒,210.0,kg/m,96.98
圆棒,220.0,kg/m,106.4
圆棒,230.0,kg/m,116.3
圆棒,240.0,kg/m,126.7
圆棒,250.0,kg/m,137.4
圆棒,260.0,kg/m,148.7
圆棒,270.0,kg/m,160.3
圆棒,280.0,kg/m,172.4
圆棒,290.0,kg/m,184.9
圆棒,300.0,kg/m,197.9
圆棒,320.0,kg/m,252.2
圆棒,340.0,kg/m,254.2
圆棒,350.0,kg/m,269.39
圆棒,360.0,kg/m,285.0
圆棒,370.0,kg/m,301.1
圆棒,380.0,kg/m,317.6
圆棒,390.0,kg/m,334.5
圆棒,400.0,kg/m,351.9
圆棒,450.0,kg/m,445.3
圆棒,480.0,kg/m,506.69
圆棒,500.0,kg/m,549.8
