2008年唐山市函授站(点)、学习中心年检安排一览表(一组)-检查时间,2008年唐山市函授站(点)、学习中心年检安排一览表(一组)-用车安排,2008年唐山市函授站(点)、学习中心年检安排一览表(一组)-依托建设单位,2008年唐山市函授站(点)、学习中心年检安排一览表(一组)-主办院校,2008年唐山市函授站(点)、学习中心年检安排一览表(一组)-办学形式,2008年唐山市函授站(点)、学习中心年检安排一览表(一组)-负责人,2008年唐山市函授站(点)、学习中心年检安排一览表(一组)-办公电话,2008年唐山市函授站(点)、学习中心年检安排一览表(一组)-联系人,2008年唐山市函授站(点)、学习中心年检安排一览表(一组)-办公电话.1,2008年唐山市函授站(点)、学习中心年检安排一览表(一组)-手机,2008年唐山市函授站(点)、学习中心年检安排一览表(一组)-地址
10月13日8: 30,职技学院出车，13日上午8: 00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。,唐山职业技术学院,河北经贸大学,函授站,李双和,2735237,陈兆武,2737535,131********,市新华西道120号
10月13日8: 30,职技学院出车，13日上午8: 00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。,唐山职业技术学院,河北医科大学,教学点,李双和,2735237,陈兆武,2737535,131********,市新华西道120号
10月13日8: 30,职技学院出车，13日上午8: 00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。,唐山职业技术学院,北京中医药大学,中心,李双和,2735237,陈兆武,2737535,131********,市新华西道120号
10月13日8: 30,职技学院出车，13日上午8: 00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。,唐山职业技术学院,吉林大学,中心,李双和,2735237,陈兆武,2737535,131********,市新华西道120号
10月13日1: 30,职技学院出车，13日上午8: 00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。,唐山市科技干部进修学院,河北工程大学,函授站,李敬森校长,2847883,孙英和,2825967,138********,新华东道103号
10月13日1: 30,职技学院出车，13日上午8: 00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。,唐山市科技干部进修学院,石家庄经济学院,函授站,李敬森校长,2847883,孙英和,2825967,138********,新华东道103号
10月13日1: 30,职技学院出车，13日上午8: 00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。,唐山市科技干部进修学院,北京大学,中心,李敬森校长,2847883,孙英和,2825967,138********,新华东道103号
10月14日8: 30-10:00,"唐山市农广校出车,14日上午8:00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。",唐山市农广校,东北农业大学,中心,闫志兴校长,2801562,田姝红,2827405,131********,市西山道
10月14日10: 30-12:00,"唐山市农广校出车,14日上午8:00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。",唐山市公路技校,河北工业大学,函授站,潘凤文,2323356,孙纳新,7210329,2209662,"路北区
西山道270号"
10月14日1: 30-3: 00,"唐山市农广校出车,14日上午8:00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。",唐山市职教中心,河北工业大学,函授站,范思东,2055784,艾淑杰,2055789,135********,市区裕华道
,"唐山市农广校出车,14日上午8:00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。",唐山市职教中心,河北科技师范学院,函授站,主任,2055784,艾淑杰,2055789,135********,市区裕华道
10月14日3: 30-5: 00,"唐山市农广校出车,14日上午8:00到八大局六号楼楼下接检查组，检查后送到下一检查单位。由最后一家检查单位负责把检查组送回八大局。","唐山新华
中等专业学校",承德石油高等专科学校,函授站,姜晓林校长,7256990,张伟,7256990,132********,路北友谊路22号
