暑假学习计划表,暑假学习计划表.1,暑假学习计划表.2,暑假学习计划表.3,暑假学习计划表.4,暑假学习计划表.5,暑假学习计划表.6,暑假学习计划表.7,暑假学习计划表.8,暑假学习计划表.9,暑假学习计划表.10,暑假学习计划表.11,暑假学习计划表.12,暑假学习计划表.13,暑假学习计划表.14,暑假学习计划表.15,暑假学习计划表.16,暑假学习计划表.17,暑假学习计划表.18,暑假学习计划表.19,暑假学习计划表.20,暑假学习计划表.21,暑假学习计划表.22,暑假学习计划表.23,暑假学习计划表.24,暑假学习计划表.25,暑假学习计划表.26,暑假学习计划表.27,暑假学习计划表.28,暑假学习计划表.29,暑假学习计划表.30,暑假学习计划表.31,暑假学习计划表.32,暑假学习计划表.33
,,放假日期：,放假日期：,放假日期：,2020/8/1,2020/8/1,2020/8/1,2020/8/1,开学日期：,开学日期：,开学日期：,2020/9/1,2020/9/1,2020/9/1,2020/9/1,放假天数：,放假天数：,放假天数：,放假天数：,31,天,,,今天是：,今天是：,今天是：,2024/2/21,2024/2/21,2024/2/21,2024/2/21,星期三,星期三,星期三
,,8月1日,8月2日,8月3日,8月4日,8月5日,8月6日,8月7日,8月8日,8月9日,8月10日,8月11日,8月12日,8月13日,8月14日,8月15日,8月16日,8月17日,8月18日,8月19日,8月20日,8月21日,8月22日,8月23日,8月24日,8月25日,8月26日,8月27日,8月28日,8月29日,8月30日,8月31日,9月1日
时间段,学习计划,六,日,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二
7:00-8:00,起床吃早餐,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
8:00-8:30,背单词,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
8:30-10:00,写暑假作业,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
10:00-11:30,上网课,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
11:30-12:00,课外阅读,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
12:00-14:00,午饭+午休,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
14:00-16:00,兴趣班,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
16:00-17:00,预习下学期内容,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
17:00-19:00,晚饭散步,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
19:00-20:00,课外阅读,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
20:00-21:00,自由活动,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
21:00-21:30,洗漱睡觉,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；,说明：完成较好打“√”，完成一般打“○”，未完成打“×”；未完成学习计划需要及时检讨；
