幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-序号-序号,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-项目名称-项目名称,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-项目特征-项目特征,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单位-单位,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-工程量-工程量,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-合价-合价,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-综合单价-综合单价,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单价-人工费,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单价-主材费,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单价-主材损耗,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单价-辅材费,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单价-机械费,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-备注-备注,答疑
一,地面工程,1间,,,,,,,,,,,
,一层,,,,,,,,,,,,
1,地面找平,1.细石砼浆找平；,m2,19.6,1058.4,54.0,17.0,25.0,1.08,8.0,2.0,,卫生间排水？
,木地板,1.1﹕2.5的水泥沙浆铺贴；                  2.强化木地板。,m2,508.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,600*600仿古砖,1.1﹕2.5的水泥沙浆铺贴；                  2.300*300黑白防滑地砖。,m2,148.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,600*600玻化砖,1.1﹕2.5的水泥沙浆铺贴；                  2.西班牙米黄石材铺贴地面。,m2,76.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,卫生间300*300防滑砖,,m2,77.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,地胶,1.1﹕2.5的水泥沙浆铺贴；                  2.西班牙米黄石材挡水线安装。,m2,148.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,黄金麻,,m2,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,,,,,,,,,,,,,
二,天棚工程,,,,,,,,,,,,
,一层,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,卫生间300*300铝扣板,1.不上人型，跌级；           2.10号镀锌铁丝连接，60型U型轻钢龙骨；                       3.15mm木工板基层造型，12mm石膏板面层。,m2,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,硅钙板,1.不上人型，跌级；           2.10号镀锌铁丝连接，60型U型轻钢龙骨；                       3.15mm木工板基层造型，12mm石膏板面层。,m2,41.2,0.0,0.0,0.0,44.0,0.0,0.0,0.0,,
4,天棚刷腻子、乳胶漆饰面,1.清理基层，修补，砂纸打磨，满刮腻子一遍，找补两遍；     2.乳胶漆底漆一遍，面漆两遍。,m2,856.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,乳胶漆：底漆宏漆、面漆立帮牌,
5,窗帘盒,1、窗帘盒的材质、规格、颜色：同吊顶材料；                                 2、窗帘轨道的材质、规格：250宽；                                 3、防护材料种类：                         4、油漆种类、遍数：    5、具体做法参阅图纸,m,3.5,250.18,71.48,25.0,38.0,1.06,5.0,1.2,木工板：天津牌、泰山牌石膏板,
6,木基层、石膏板叠级走边、白色乳胶漆饰面,,m,18.2,931.84,51.2,15.0,20.0,1.5,5.0,1.2,,
7,5×5公分黑色实木线条,,m,10.8,390.96,36.2,15.0,10.0,1.5,5.0,1.2,,
8,灯槽,,m,3.5,179.2,51.2,15.0,20.0,1.5,5.0,1.2,木工板：天津牌、泰山牌石膏板,
三,墙面工程,,,,,,,,,,,,
,一层,,,,,,,,,,,,
