公司名称,地址,联系电话
天猫商城,中国杭州市余杭区文一西路969号,(+86) 571-8502-2088
苏宁云商,南京市白下区淮海路68号,025-84418888
上海医药,上海太仓路200号上海医药大厦,021-63730908
沃尔玛（中国）,深圳市福田区农林路69号深国投广场二号楼2-5层及三号楼1-12层,0755-21512288
庞大汽贸集团,河北省唐山市滦县立交桥南侧,0315-7181566
上海百联集团股份有限公司,上海市六合路58号新一百大厦13楼,021-63223344;021-63229537
浙江物产中大元通集团股份有限公司,中国杭州中大广场A座,0571--85155000
大商集团,辽宁省大连市中山区青三街1号,0411-83880888
永辉超市,中国福建省福州市西二环中路436号,86-591-83762200
重庆百货,重庆市渝中区民权路26号英利国际大厦,023-63845206
豫园商城,上海市方浜中路269号,021-23029999
北京王府井,北京市东城区王府井大街253号,8610-85281188
南京医药股份有限公司,南京市雨花台区小行尤家凹1号,025-84552650？
武汉武商集团股份有限公司,武汉市汉口解放大道690号武汉国际广场8楼,86-27-85714165
华东医药,杭州市延安路468号1号楼1号门9、10楼,87833685（商务管理部）
中百控股,湖北武汉市硚口区古田二路南泥湾大道65-71号汇丰企业总部8号楼B座,027-82824058，027-82823568
天虹商场,深圳市南山区中心路（深圳湾段）3019号天虹大厦9-14楼、17-20楼,0755-23651000 23652000
江苏宏图高科技股份有限公司,南京市软件大道68号4楼,(025)83274777
鲁商集团,中国山东省济南市山师东路4号,（86-531）83175623
银座股份,中国 济南泺源大街66号,0531-86988888、83175518
北京华联,北京市大兴区青云店镇祥云路北四条208号,0086-010-57391688
人人乐连锁商业集团,深圳市南山区前海路东心语家园二层,0755-26093666
首商股份,北京市西城区西单北大街120号,010-66565588
步步高,湖南省湘潭市雨湖区韶山西路309号,0731-52339880
欧亚集团,长春市飞跃路2686号,0431-82751966
辉隆股份,合肥市蜀山区祁门路1777号,0551-62667301
合肥百货,合肥市长江西路689号金座A,0551-65771000
友好集团,乌鲁木齐市友好南路668号,（0991）4559201
申华控股,上海市宁波路1号申华金融大厦21楼,021-63372888
大东方股份,无锡市中山路343号 东方广场A座,0510-82766978
海王生物,深圳市南山区高新技术北区海王科研大楼1栋,0755-26968666
广百集团,广州市西湖路12号广百商务楼23楼,020-83323815
新华都购物广场,福建省福州市鼓楼区福新路28号阳光城3期4楼,0591-88502497
南京中商,江苏省南京市白下区中山南路79号中央商场,025-8008289666
文峰大世界,江苏省南通市青年东路1号,0513-85505666
新华百货,银川市解放西街2号,0951-6090713
华润万家,深圳市罗湖区水贝二路27号,0755- 25685002
国美电器,北京市 朝阳区霄云路26号鹏润大厦,86-010-84581818-6556，010-84584660
大润发,上海市江场西路255号,86-21-56657857 / 26108298
家乐福（中国）,北京市朝阳区广顺北大街16号,86-10-59124033
石家庄北国人百集团,河北省石家庄市桥东区中山东路188号,0311-6974448
农工商超市,上海市金沙江路1685号,021-52706666，021-96896
海航商业控股,北京朝阳区东三环北路乙2号大新华航空大厦9层,010-59156201
万达百货,北京市朝阳区建国路93号万达广场B座12层,010-85587400
唯品会,广州市荔湾区醉观公园西门,0757-88780678
利群集团,青岛市崂山区崂山路67号,0532-88816688
烟台振华百货集团,烟台市芝罘区西大街8号,0535-6857025
北京物美商业集团,北京市海淀区西四环北路158-1号 物美商业大厦西区,010-88259933
江苏五星电器,南京市中山北路241号华侨大厦1-2层,025-83758046
山东家家悦,山东 威海市环翠区 威海市昆明路45号,86-0631-2999929
百盛商业集团,北京复兴门内大街101号百盛大厦9层,86-10-66536868
锦江麦德龙现购自运有限公司,江苏省无锡市沪宁高速公路无锡东出口,029-85258888
浙江银泰电子商务有限公司,北京市朝阳区四惠东盛世龙源（国粹苑正北）1063-2,400-119-1111
乐天超市,上海市普陀区杨柳青路768号,021-52658666
金鹰国际商贸集团,南京市汉中路89号金鹰国际商城8楼,025-84707089
郑州丹尼斯百货,郑州市人民路2号,0371-66236688
新一佳超市,深圳市宝安区22区公园路新一佳商贸批发中心（新一佳超市一楼）,0755-82401037
屈臣氏,广州越秀区越华路112号珠江国际大厦16楼至19楼,800-900-1380 / 020-84209870
宜家家居,上海市徐汇区漕溪路126号,86-21-54254532
阜阳华联,安徽省阜阳市阜阳市清河路580号,0558-2199000
无锡商业大厦集团股份有限公司,无锡市崇安区中山路343号东方广场8层,0510-82754838
唐山百货大楼,河北省唐山市路北区新华东道125号,0315-2825164
永旺中国,北京市朝阳区雅宝路8号亚太大厦15层,86-10-8566-3500
振华集团,烟台市芝罘区西大街8号,0535-6857025
伊藤洋华堂,中国四川省成都市二环路西一段逸都路6号9楼,028-87021111
天津一商,天津市和平区唐山道54号,022 - 23317853
北京翠微大厦,北京市海淀区复兴路33号,010-68241688
山西美特好超市连锁,中国太原晋祠路一段40号,0351-5627834
山东全福元商业集团,寿光市圣城东街198号,0536-5190171
信誉楼百货集团有限公司,河北省黄骅市信誉楼南大街322号,0317-5336831
阳光集团,邯郸市中华北大街29号,0310-6055888
杭州大厦购物城,杭州下城区武林广场21号,0571-85153911
山东德百,山东 德州 德城区湖滨南路１４号,0534-2693730
家乐园,北京市丰台区南四环西路188号五区31号楼,010-63705001
青岛维客集团,李沧区京口路86号,0532-87668899
青岛利客来集团股份有限公司,青岛市李沧区京口路58号,0532-87631999
湖南佳惠集团,湖南省怀化市府星路161号,0745-2260745
长沙通程控股股份有限公司,长沙市劳动西路589号,0731-85551015
三江购物,宁波市海曙区环城西路北段197号,0574-83886888
人本超市,温州机场大道4079号商贸中心三楼,0577-86570659;0577-88085555
雄风集团,广东省佛山市顺德区容桂镇容桂大道中148号,86-513-83591111
北京超市发连锁集团,北京市海淀区双榆树东里15号,010-82111470 82128107，010-82129663
南京新百,江苏南京市中山南路3号,025-84715188？
友谊集团,广州市越秀区环市东路369号,020-83483105
百佳超市,广东深圳广东深圳东门南路28号宝丰大厦10楼（丽都酒店对面）,020-8662-0102
十堰市新合作超市有限公司,十堰市人民南路3号（三堰客运站旁）,0719-8484050/8670228
江苏新合作常客隆连锁超市有限公司,苏州常熟市海虞北路27号,0512-52846109
内蒙古民族商场,内蒙古呼和浩特市回民区中山西路7号,0471-6601513
中兴沈阳商业大厦,辽宁省抚顺市辽宁省抚顺市新抚区东一路4号,0413-2622661
河北保百集团有限公司,河北省保定市朝阳北大街916号,0312-3181693 / 0312-3180255
南宁百货,广西南宁市朝阳路39号,0771-2098888　 2833406
上海联华,上海市真光路1258号5至14楼,021-63937700
易初莲花,杨高中路2128号,021-51358888
新世界百货,中国上海市浦东新区浦建路76号由由国际广场5楼,+86 21 5094 1888
红旗连锁股份,成都市高新区西区迪康大道7号,028-87877333
岁宝百货,深圳市福田区金田路皇岗商务中心11F,0755-82491888
莱雅百货,福建省福州市鼓楼区鼓楼区井大路154号1-101,0591-87278388
SM中国,中国福建省厦门市嘉禾路468号,86-592-5517933
