设备润滑注油周期表-设备编号或名称-设备编号或名称,设备润滑注油周期表-注油部位名称-注油部位名称,设备润滑注油周期表-注油点数-（个/台）,设备润滑注油周期表-润滑油牌号-润滑油牌号,设备润滑注油周期表-注油周期-注油周期,设备润滑注油周期表-换油周期-换油周期,设备润滑注油周期表-用量-用量,设备润滑注油周期表-备注-备注
车床：CA6136、CD6140A、J1C6132、CD6263,油杯,17,46#机械油,每班一次,,,随时检查油位，及时注油
车床：CA6136、CD6140A、J1C6132、CD6263,油箱,1,15#或32#机械油,,6个月,12L,
车床：CA6136、CD6140A、J1C6132、CD6263,挂轮,1,2#锂基脂,每周一次,,,
剪板机：QB11-8×2000,上刀架,2,N22或N32机械油,1个月,,,随时检查油位，及时注油
剪板机：QB11-8×2000,连杆,2,3#钙基脂,1个月,,,随时检查油位，及时注油
剪板机：QB11-8×2000,连杆连接销,2,N22或N32机械油,1个月,,,随时检查油位，及时注油
剪板机：QB11-8×2000,主轴,2,N22或N33机械油,1个月,,,随时检查油位，及时注油
剪板机：QB11-8×2000,离合器,1,3#钙基脂,1个月,,,随时检查油位，及时注油
牛头刨床：B6085,油箱,1,N46#机械油,,6个月,10L,
牛头刨床：B6085,电机轴承、各滚动轴承,26,2#钙基脂,,12个月,,随时检查油位，及时注油
铣床：X6232CX16,油箱,2,40#机械油,,6个月,,随时检查油位，及时注油
铣床：X6232CX16,升降台、工作台油池,2,30#机械油,2天,,,
铣床：X6232CX16,立式主轴,1,3#锂基脂,1个月,,,随时检查油位，及时注油
铣床：X6232CX16,升降用梯形丝杠,1,3#锂基脂,2个月,,,
铣床：X6232CX16,铣头,1,2#特种润滑脂,12个月,,,
四柱式液压机：YR32-200,工作用油,1,N46#液压油,,6个月,,使用温度应在15-65℃
四柱式液压机：YR32-200,立柱机柱塞外漏,5,20#至60#机油,每次,,,
四柱式液压机：YR32-200,活动横梁,4,3#钙基脂,6个月,,加满为止,
空气锤：C41-75,压缩缸,1,20#至60#机油,连续,,,集中润滑气动油泵
空气锤：C41-75,工作缸,1,20#至60#机油,连续,,,集中润滑气动油泵
空气锤：C41-75,活塞销,1,20#至60#机油,连续,,,集中润滑气动油泵
空气锤：C41-75,曲轴轴承及连杆头部,2,4#钙基脂,1月,,,用黄油枪
滚丝机：ZA28-25,冷却油箱,1,N22或N32机械油,,12个月,40L,
滚丝机：ZA28-25,涡轮箱,1,N46或N68机械油,,6个月,20L,
滚丝机：ZA28-25,挂轮箱,1,N46或N69机械油,,6个月,2.5L,
滚丝机：ZA28-25,液压油箱,1,L-HM32或46#液压油,,18个月,280L,
滚丝机：ZA28-25,主轴后轴承,1,N22或N32机械油,2次/每班,,,
滚丝机：ZA28-25,中心距调整蜗轮及丝杠,2,N22或N33机械油,2次/每班,,,
滚丝机：ZA28-25,中心距调整蜗杆,1,N22或N34机械油,2次/每班,,,
滚丝机：ZA28-25,导轨,1,N22或N35机械油,2次/每班,,,
滚丝机：ZA28-25,万向节,2,N22或N36机械油,2次/每班,,,
滚丝机：ZA28-25,主轴前轴承,2,3#锂基脂,2次/每班,,,用黄油枪
起重机：5T、20T,钢丝绳,1,钙基润滑脂,1个月,,,
起重机：5T、20T,减速器,2,N46#机械油/N32#机械油,,12个月,,根据季节调整
起重机：5T、20T,齿轮联轴器,1,3#钙基脂,3个月,,,
起重机：5T、20T,滚动轴承,10,3#钙基脂,,6个月,,
起重机：5T、20T,卷筒大齿盘,1,3#钙基脂,,,,大修时加满
起重机：5T、20T,电机轴承,3×2,4#钙基脂,,12个月,,
钻床：ZN3040,主轴上下轴承,2,2#钙基脂,1个月,,,
钻床：ZN3040,主轴箱夹紧轴轴承,3,40#机械油,1个月,,,
钻床：ZN3040,升降机构箱体油池,1,10#机械油,1个月,3个月,,
钻床：ZN3040,摇臂夹紧轴承储油池,1,40#机械油,1个星期,,,
钻床：ZN3040,立柱导轨,1,40#机械油,每班一次,,,随时检查油位，及时注油
钻床：ZN3040,升降丝杠,1,40#机械油,每班一次,,,
钻床：ZN3040,摇臂导轨,,40#机械油,每班一次,,,
钻床：ZN3040,主轴箱贮油池,,10#机械油,1个月,3个月,,
钻床：ZN3040,减速箱,,10#机械油,1个月,3个月,,
钻床：ZN3040,刻度盘,,40#机械油,每班一次,,,
矿各单位：本表未涉及的设备，由各单位依据设备说明书自行制定设备润滑记录，各单位原则上不能超出本表制定的润滑周期范围，希望各单位严格执行好设备润滑工作。,矿各单位：本表未涉及的设备，由各单位依据设备说明书自行制定设备润滑记录，各单位原则上不能超出本表制定的润滑周期范围，希望各单位严格执行好设备润滑工作。,矿各单位：本表未涉及的设备，由各单位依据设备说明书自行制定设备润滑记录，各单位原则上不能超出本表制定的润滑周期范围，希望各单位严格执行好设备润滑工作。,矿各单位：本表未涉及的设备，由各单位依据设备说明书自行制定设备润滑记录，各单位原则上不能超出本表制定的润滑周期范围，希望各单位严格执行好设备润滑工作。,矿各单位：本表未涉及的设备，由各单位依据设备说明书自行制定设备润滑记录，各单位原则上不能超出本表制定的润滑周期范围，希望各单位严格执行好设备润滑工作。,矿各单位：本表未涉及的设备，由各单位依据设备说明书自行制定设备润滑记录，各单位原则上不能超出本表制定的润滑周期范围，希望各单位严格执行好设备润滑工作。,矿各单位：本表未涉及的设备，由各单位依据设备说明书自行制定设备润滑记录，各单位原则上不能超出本表制定的润滑周期范围，希望各单位严格执行好设备润滑工作。,矿各单位：本表未涉及的设备，由各单位依据设备说明书自行制定设备润滑记录，各单位原则上不能超出本表制定的润滑周期范围，希望各单位严格执行好设备润滑工作。
,,,,,,,
注：《设备润滑注油周期表》编制说明,注：《设备润滑注油周期表》编制说明,注：《设备润滑注油周期表》编制说明,注：《设备润滑注油周期表》编制说明,注：《设备润滑注油周期表》编制说明,注：《设备润滑注油周期表》编制说明,注：《设备润滑注油周期表》编制说明,注：《设备润滑注油周期表》编制说明
本《设备润滑注油周期表》的编制以设备维护说明书为依据，认真结合现场实际，并重点考虑了以下几点:,本《设备润滑注油周期表》的编制以设备维护说明书为依据，认真结合现场实际，并重点考虑了以下几点:,本《设备润滑注油周期表》的编制以设备维护说明书为依据，认真结合现场实际，并重点考虑了以下几点:,本《设备润滑注油周期表》的编制以设备维护说明书为依据，认真结合现场实际，并重点考虑了以下几点:,本《设备润滑注油周期表》的编制以设备维护说明书为依据，认真结合现场实际，并重点考虑了以下几点:,本《设备润滑注油周期表》的编制以设备维护说明书为依据，认真结合现场实际，并重点考虑了以下几点:,本《设备润滑注油周期表》的编制以设备维护说明书为依据，认真结合现场实际，并重点考虑了以下几点:,本《设备润滑注油周期表》的编制以设备维护说明书为依据，认真结合现场实际，并重点考虑了以下几点:
1、设备润滑用油品种尽量统一。,1、设备润滑用油品种尽量统一。,1、设备润滑用油品种尽量统一。,1、设备润滑用油品种尽量统一。,1、设备润滑用油品种尽量统一。,1、设备润滑用油品种尽量统一。,1、设备润滑用油品种尽量统一。,1、设备润滑用油品种尽量统一。
2#极压锂基脂：                所有脂润滑点,     2#极压锂基脂：                所有脂润滑点,     2#极压锂基脂：                所有脂润滑点,     2#极压锂基脂：                所有脂润滑点,     2#极压锂基脂：                所有脂润滑点,     2#极压锂基脂：                所有脂润滑点,     2#极压锂基脂：                所有脂润滑点,     2#极压锂基脂：                所有脂润滑点
2、除高压电动机3个月注一次油外，其它电机利用1年抽芯检查维护一次之机进行清洗换油。,2、除高压电动机3个月注一次油外，其它电机利用1年抽芯检查维护一次之机进行清洗换油。,2、除高压电动机3个月注一次油外，其它电机利用1年抽芯检查维护一次之机进行清洗换油。,2、除高压电动机3个月注一次油外，其它电机利用1年抽芯检查维护一次之机进行清洗换油。,2、除高压电动机3个月注一次油外，其它电机利用1年抽芯检查维护一次之机进行清洗换油。,2、除高压电动机3个月注一次油外，其它电机利用1年抽芯检查维护一次之机进行清洗换油。,2、除高压电动机3个月注一次油外，其它电机利用1年抽芯检查维护一次之机进行清洗换油。,2、除高压电动机3个月注一次油外，其它电机利用1年抽芯检查维护一次之机进行清洗换油。
3、皮带机机头、机尾、张紧主滚筒轴承每周注油一次，1年清洗加油一次；一般导向滚筒每周注油一次，不需清洗。,3、皮带机机头、机尾、张紧主滚筒轴承每周注油一次，1年清洗加油一次；一般导向滚筒每周注油一次，不需清洗。,3、皮带机机头、机尾、张紧主滚筒轴承每周注油一次，1年清洗加油一次；一般导向滚筒每周注油一次，不需清洗。,3、皮带机机头、机尾、张紧主滚筒轴承每周注油一次，1年清洗加油一次；一般导向滚筒每周注油一次，不需清洗。,3、皮带机机头、机尾、张紧主滚筒轴承每周注油一次，1年清洗加油一次；一般导向滚筒每周注油一次，不需清洗。,3、皮带机机头、机尾、张紧主滚筒轴承每周注油一次，1年清洗加油一次；一般导向滚筒每周注油一次，不需清洗。,3、皮带机机头、机尾、张紧主滚筒轴承每周注油一次，1年清洗加油一次；一般导向滚筒每周注油一次，不需清洗。,3、皮带机机头、机尾、张紧主滚筒轴承每周注油一次，1年清洗加油一次；一般导向滚筒每周注油一次，不需清洗。
5、减速机油池、泵站油箱随时检查油位并注油。,5、减速机油池、泵站油箱随时检查油位并注油。,5、减速机油池、泵站油箱随时检查油位并注油。,5、减速机油池、泵站油箱随时检查油位并注油。,5、减速机油池、泵站油箱随时检查油位并注油。,5、减速机油池、泵站油箱随时检查油位并注油。,5、减速机油池、泵站油箱随时检查油位并注油。,5、减速机油池、泵站油箱随时检查油位并注油。
6、凡是换油的部位，换油时，必须清洗内腔。,6、凡是换油的部位，换油时，必须清洗内腔。,6、凡是换油的部位，换油时，必须清洗内腔。,6、凡是换油的部位，换油时，必须清洗内腔。,6、凡是换油的部位，换油时，必须清洗内腔。,6、凡是换油的部位，换油时，必须清洗内腔。,6、凡是换油的部位，换油时，必须清洗内腔。,6、凡是换油的部位，换油时，必须清洗内腔。
7、对于650皮带、800皮带机等驱动滚筒轴承没有注油孔的部分，每3个月要将减速器拆下，对滚筒轴承进行一次足量注油。,7、对于650皮带、800皮带机等驱动滚筒轴承没有注油孔的部分，每3个月要将减速器拆下，对滚筒轴承进行一次足量注油。,7、对于650皮带、800皮带机等驱动滚筒轴承没有注油孔的部分，每3个月要将减速器拆下，对滚筒轴承进行一次足量注油。,7、对于650皮带、800皮带机等驱动滚筒轴承没有注油孔的部分，每3个月要将减速器拆下，对滚筒轴承进行一次足量注油。,7、对于650皮带、800皮带机等驱动滚筒轴承没有注油孔的部分，每3个月要将减速器拆下，对滚筒轴承进行一次足量注油。,7、对于650皮带、800皮带机等驱动滚筒轴承没有注油孔的部分，每3个月要将减速器拆下，对滚筒轴承进行一次足量注油。,7、对于650皮带、800皮带机等驱动滚筒轴承没有注油孔的部分，每3个月要将减速器拆下，对滚筒轴承进行一次足量注油。,7、对于650皮带、800皮带机等驱动滚筒轴承没有注油孔的部分，每3个月要将减速器拆下，对滚筒轴承进行一次足量注油。
